"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006662",2011,"Liverpool 004B","Total",1633,654,204,450,14,745,176,569,187,176,0,7,4,33
"E01006663",2011,"Liverpool 004C","Total",1153,607,107,500,10,353,131,222,173,158,5,7,3,10
"E01006664",2011,"Liverpool 004D","Total",1795,750,232,518,10,644,149,495,382,369,0,13,0,9
"E01006665",2011,"Liverpool 007A","Total",1555,1313,247,1066,33,26,2,24,183,166,10,4,3,0
"E01006666",2011,"Liverpool 007B","Total",1504,1337,252,1085,30,17,0,17,105,94,0,11,0,15
"E01006667",2011,"Liverpool 007C","Total",1413,969,292,677,18,292,83,209,127,113,4,7,3,7
"E01006668",2011,"Liverpool 007D","Total",1534,1315,220,1095,24,11,3,8,182,167,1,7,7,2
"E01006669",2011,"Liverpool 004E","Total",1470,1159,217,942,21,124,27,97,157,143,0,14,0,9
"E01006670",2011,"Liverpool 007E","Total",1520,1261,343,918,3,78,15,63,173,161,0,8,4,5
"E01006671",2011,"Liverpool 013D","Total",1349,989,266,723,0,258,88,170,88,77,0,9,2,14
"E01006672",2011,"Liverpool 010E","Total",1955,748,249,499,10,947,214,733,243,233,0,9,1,7
"E01006673",2011,"Liverpool 037D","Total",1925,159,64,95,10,1241,168,1073,481,467,0,0,14,34
"E01006674",2011,"Liverpool 039C","Total",1885,302,160,142,5,1288,290,998,231,202,0,25,4,59
"E01006675",2011,"Liverpool 043C","Total",1682,296,152,144,34,528,26,502,797,741,9,39,8,27
"E01006676",2011,"Liverpool 044D","Total",1753,388,193,195,6,1006,133,873,300,266,0,18,16,53
"E01006677",2011,"Liverpool 043D","Total",993,201,110,91,2,660,76,584,116,103,0,5,8,14
"E01006678",2011,"Liverpool 044E","Total",2126,483,195,288,57,1264,192,1072,285,278,0,1,6,37
"E01006679",2011,"Liverpool 039D","Total",2184,260,148,112,21,1521,379,1142,331,288,0,10,33,51
"E01006680",2011,"Liverpool 053B","Total",1569,1446,593,853,0,40,2,38,75,75,0,0,0,8
"E01006681",2011,"Liverpool 054D","Total",1585,1080,451,629,5,288,85,203,185,163,4,12,6,27
"E01006682",2011,"Liverpool 053C","Total",1310,1225,500,725,0,6,0,6,75,69,0,6,0,4
"E01006683",2011,"Liverpool 053D","Total",1507,1408,591,817,0,31,6,25,60,60,0,0,0,8
"E01006684",2011,"Liverpool 056B","Total",2113,1626,637,989,4,22,2,20,456,430,3,19,4,5
"E01006685",2011,"Liverpool 056C","Total",1426,1171,519,652,0,25,4,21,221,210,0,10,1,9
"E01006686",2011,"Liverpool 053E","Total",1429,1293,537,756,5,19,6,13,101,93,6,2,0,11
"E01006687",2011,"Liverpool 056D","Total",1896,1391,473,918,8,278,39,239,192,175,0,15,2,27
"E01006688",2011,"Liverpool 056E","Total",1520,1066,429,637,3,106,15,91,331,297,0,29,5,14
"E01006689",2011,"Liverpool 049D","Total",1651,1404,483,921,12,53,7,46,172,157,4,11,0,10
"E01006690",2011,"Liverpool 028A","Total",1457,443,182,261,1,461,33,428,523,495,0,17,11,29
"E01006691",2011,"Liverpool 030A","Total",1488,415,213,202,13,433,23,410,593,576,0,7,10,34
"E01006692",2011,"Liverpool 028B","Total",2180,816,331,485,35,564,34,530,747,709,0,31,7,18
"E01006693",2011,"Liverpool 024D","Total",1508,518,236,282,0,785,102,683,188,176,1,7,4,17
"E01006694",2011,"Liverpool 030B","Total",1864,460,215,245,5,378,19,359,990,959,0,26,5,31
"E01006695",2011,"Liverpool 028C","Total",1814,501,184,317,1,566,41,525,694,681,0,9,4,52
"E01006696",2011,"Liverpool 030C","Total",1744,651,230,421,17,536,61,475,500,472,0,16,12,40
"E01006697",2011,"Liverpool 030D","Total",1843,649,291,358,4,308,16,292,823,788,0,30,5,59
"E01006698",2011,"Liverpool 012D","Total",1716,1014,360,654,1,237,8,229,457,436,2,14,5,7
"E01006699",2011,"Liverpool 014A","Total",1581,391,169,222,0,933,187,746,237,221,0,16,0,20
"E01006700",2011,"Liverpool 012E","Total",1410,642,258,384,0,373,26,347,382,365,0,17,0,13
"E01006701",2011,"Liverpool 014B","Total",1380,832,335,497,13,327,58,269,193,176,0,13,4,15
"E01006702",2011,"Liverpool 014C","Total",1596,600,274,326,9,632,93,539,336,310,6,10,10,19
"E01006703",2011,"Liverpool 014D","Total",1527,476,182,294,19,819,203,616,202,189,2,9,2,11
"E01006705",2011,"Liverpool 009E","Total",1409,795,267,528,2,126,3,123,465,444,0,17,4,21
"E01006706",2011,"Liverpool 045A","Total",1346,415,183,232,1,856,142,714,66,58,0,2,6,8
"E01006707",2011,"Liverpool 045B","Total",1294,477,220,257,3,761,203,558,45,43,0,0,2,8
"E01006708",2011,"Liverpool 045C","Total",1757,933,231,702,41,628,52,576,139,106,4,18,11,16
"E01006709",2011,"Liverpool 040A","Total",1438,705,219,486,54,592,87,505,74,61,0,13,0,13
"E01006710",2011,"Liverpool 045D","Total",1490,1052,401,651,4,143,23,120,285,277,0,4,4,6
"E01006711",2011,"Liverpool 027A","Total",1500,791,283,508,4,236,23,213,443,386,9,38,10,26
"E01006712",2011,"Liverpool 029D","Total",1303,833,284,549,4,89,20,69,370,358,0,12,0,7
"E01006713",2011,"Liverpool 029E","Total",1375,1004,379,625,0,36,1,35,330,313,0,17,0,5
"E01006716",2011,"Liverpool 032E","Total",1454,706,252,454,3,344,34,310,391,367,1,23,0,10
"E01006717",2011,"Liverpool 027D","Total",1436,1169,434,735,0,42,2,40,208,197,0,11,0,17
"E01006718",2011,"Liverpool 027E","Total",1584,1139,418,721,4,180,9,171,238,229,0,8,1,23
"E01006719",2011,"Liverpool 027F","Total",1535,1039,387,652,5,116,40,76,366,329,2,30,5,9
"E01006720",2011,"Liverpool 035A","Total",2108,454,158,296,9,547,53,494,1087,1047,3,22,15,11
"E01006721",2011,"Liverpool 038C","Total",1655,390,141,249,14,598,65,533,641,621,0,11,9,12
"E01006722",2011,"Liverpool 038D","Total",1793,521,192,329,26,108,13,95,1105,1035,18,47,5,33
"E01006723",2011,"Liverpool 038E","Total",1862,527,271,256,14,232,28,204,1079,1034,0,37,8,10
"E01006724",2011,"Liverpool 038F","Total",1783,567,257,310,10,126,2,124,1057,1014,0,38,5,23
"E01006725",2011,"Liverpool 035B","Total",1537,708,306,402,0,311,21,290,502,464,2,33,3,16
"E01006726",2011,"Liverpool 035C","Total",1565,557,252,305,10,229,6,223,748,716,0,32,0,21
"E01006727",2011,"Liverpool 035D","Total",1438,893,311,582,3,66,11,55,464,435,0,29,0,12
"E01006728",2011,"Liverpool 035E","Total",1620,439,193,246,4,552,48,504,600,578,0,15,7,25
"E01006729",2011,"Liverpool 008C","Total",1400,403,157,246,7,902,205,697,66,57,0,2,7,22
"E01006730",2011,"Liverpool 011C","Total",1323,616,227,389,0,621,166,455,80,67,0,5,8,6
"E01006731",2011,"Liverpool 011D","Total",1196,581,179,402,1,433,147,286,159,151,0,5,3,22
"E01006732",2011,"Liverpool 011E","Total",1643,147,94,53,2,1421,380,1041,58,56,0,0,2,15
"E01006734",2011,"Liverpool 005C","Total",1412,372,146,226,0,886,198,688,136,132,0,0,4,18
"E01006735",2011,"Liverpool 005D","Total",1309,528,176,352,3,667,198,469,100,88,0,5,7,11
"E01006736",2011,"Liverpool 005E","Total",1460,694,259,435,0,587,175,412,164,157,0,7,0,15
"E01006737",2011,"Liverpool 005F","Total",1435,639,223,416,3,670,159,511,116,102,0,12,2,7
