"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"E01006617",2011,"Liverpool 021A","Total",667,667,0,0,667,650,17,116,257,186,85,13,10,0
"E01006618",2011,"Liverpool 016C","Total",697,697,0,0,697,692,5,14,456,198,27,2,0,0
"E01006619",2011,"Liverpool 021B","Total",749,749,0,0,749,734,15,13,318,283,79,47,9,0
"E01006620",2011,"Liverpool 021C","Total",656,656,0,0,656,625,31,44,390,40,163,2,17,0
"E01006621",2011,"Liverpool 021D","Total",607,607,0,0,607,584,23,184,227,84,96,14,2,0
"E01006622",2011,"Liverpool 021E","Total",601,601,0,0,601,586,15,31,520,22,25,1,2,0
"E01006623",2011,"Liverpool 013A","Total",536,536,0,0,536,527,9,412,110,11,3,0,0,0
"E01006624",2011,"Liverpool 013B","Total",733,733,0,0,733,702,31,160,176,259,130,7,1,0
"E01006625",2011,"Liverpool 016D","Total",623,623,0,0,623,609,14,6,401,158,43,3,12,0
"E01006626",2011,"Liverpool 016E","Total",606,606,0,0,606,593,13,39,418,97,47,0,5,0
"E01006627",2011,"Liverpool 013C","Total",609,609,0,0,609,600,9,107,293,159,43,5,2,0
"E01006628",2011,"Liverpool 052D","Total",680,680,0,0,680,651,29,174,43,370,56,29,8,0
"E01006629",2011,"Liverpool 052E","Total",592,592,0,0,592,573,19,25,363,87,96,12,9,0
"E01006630",2011,"Liverpool 044B","Total",565,565,0,0,565,555,10,25,217,235,71,4,13,0
