"lsoa11cd","date","lsoa11nm","Rural Urban","Multiple Ethnic Group: All categories: Multiple ethnic groups; measures: Value","Multiple Ethnic Group: One person household; measures: Value","Multiple Ethnic Group: All household members have the same ethnic group; measures: Value","Multiple Ethnic Group: Different ethnic groups between the generations only; measures: Value","Multiple Ethnic Group: Different ethnic groups within partnerships (whether or not different ethnic groups between generations); measures: Value","Multiple Ethnic Group: Any other combination of multiple ethnic groups; measures: Value"
"E01006772",2011,"Liverpool 040E","Total",480,168,288,6,16,2
"E01006773",2011,"Liverpool 036D","Total",554,114,408,5,24,3
"E01006774",2011,"Liverpool 036E","Total",552,124,405,9,12,2
"E01006775",2011,"Liverpool 040F","Total",556,165,360,16,11,4
"E01006776",2011,"Liverpool 022B","Total",844,386,431,5,18,4
"E01006778",2011,"Liverpool 014E","Total",1124,496,580,20,19,9
"E01006779",2011,"Liverpool 022D","Total",902,334,531,18,11,8
"E01006780",2011,"Liverpool 002D","Total",619,191,401,7,15,5
"E01006781",2011,"Liverpool 003A","Total",600,163,424,3,8,2
"E01006782",2011,"Liverpool 003B","Total",691,271,393,9,14,4
"E01006783",2011,"Liverpool 002E","Total",645,199,419,8,15,4
"E01006784",2011,"Liverpool 003C","Total",586,209,356,7,8,6
"E01006785",2011,"Liverpool 003D","Total",781,275,467,4,22,13
"E01006786",2011,"Liverpool 003E","Total",764,237,506,4,13,4
"E01006787",2011,"Liverpool 006A","Total",691,312,355,6,10,8
"E01006788",2011,"Liverpool 006B","Total",681,137,511,6,15,12
"E01006790",2011,"Liverpool 006C","Total",801,350,428,4,9,10
"E01006791",2011,"Liverpool 006D","Total",873,418,433,11,5,6
"E01006792",2011,"Liverpool 046A","Total",557,138,387,4,23,5
"E01006793",2011,"Liverpool 051A","Total",759,337,390,10,19,3
"E01006794",2011,"Liverpool 046B","Total",711,224,446,4,37,0
"E01006795",2011,"Liverpool 051B","Total",628,215,382,5,24,2
"E01006796",2011,"Liverpool 047E","Total",581,105,435,6,33,2
"E01006797",2011,"Liverpool 051C","Total",707,297,382,7,19,2
"E01006798",2011,"Liverpool 051D","Total",609,183,386,12,22,6
"E01006799",2011,"Liverpool 051E","Total",1145,719,388,10,23,5
"E01006800",2011,"Liverpool 046C","Total",679,257,402,5,13,2
"E01006801",2011,"Liverpool 046D","Total",609,171,407,4,25,2
"E01032505",2011,"Liverpool 050F","Total",563,182,325,22,26,8
"E01032506",2011,"Liverpool 050G","Total",656,260,341,15,28,12
"E01032507",2011,"Liverpool 050H","Total",666,195,383,12,37,39
"E01032508",2011,"Liverpool 027G","Total",847,399,398,22,20,8
"E01032509",2011,"Liverpool 027H","Total",665,247,384,13,12,9
"E01032510",2011,"Liverpool 008F","Total",776,262,485,6,18,5
"E01032511",2011,"Liverpool 008G","Total",616,199,394,6,16,1
"E01033747",2011,"Liverpool 018F","Total",496,233,235,13,9,6
"E01033748",2011,"Liverpool 050I","Total",772,369,351,8,25,19
"E01033749",2011,"Liverpool 042F","Total",1039,973,47,5,5,9
"E01033750",2011,"Liverpool 061A","Total",905,504,333,7,38,23
"E01033751",2011,"Liverpool 062A","Total",603,313,246,2,21,21
"E01033752",2011,"Liverpool 062B","Total",790,448,259,2,51,30
"E01033753",2011,"Liverpool 062C","Total",714,423,243,3,30,15
"E01033754",2011,"Liverpool 061B","Total",838,396,350,13,31,48
"E01033755",2011,"Liverpool 062D","Total",675,341,246,1,40,47
"E01033756",2011,"Liverpool 061C","Total",733,414,256,1,22,40
"E01033757",2011,"Liverpool 037E","Total",715,548,105,15,16,31
"E01033758",2011,"Liverpool 060B","Total",475,312,122,5,14,22
"E01033759",2011,"Liverpool 010F","Total",480,142,319,10,8,1
"E01033760",2011,"Liverpool 060C","Total",529,330,134,4,16,45
"E01033761",2011,"Liverpool 060D","Total",832,415,303,3,39,72
"E01033762",2011,"Liverpool 060E","Total",456,282,139,0,12,23
"E01033763",2011,"Liverpool 031G","Total",820,507,260,19,7,27
"E01033764",2011,"Liverpool 022E","Total",1172,607,521,21,17,6
"E01033765",2011,"Liverpool 061D","Total",659,282,316,22,26,13
"E01033766",2011,"Liverpool 042G","Total",424,104,255,15,19,31
"E01033767",2011,"Liverpool 050J","Total",562,261,264,19,15,3
"E01033768",2011,"Liverpool 037F","Total",835,599,158,27,26,25
