"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01006773",2011,"Liverpool 036D","Total",554,382,60,267,1,8,2,28,14,2,172,152,2,3,10,5
"E01006774",2011,"Liverpool 036E","Total",552,401,51,272,0,19,5,35,15,4,151,123,3,6,14,5
"E01006775",2011,"Liverpool 040F","Total",556,245,62,146,2,2,3,9,20,1,311,192,4,31,71,13
"E01006776",2011,"Liverpool 022B","Total",844,452,90,270,1,12,6,33,32,8,392,236,8,25,94,29
"E01006778",2011,"Liverpool 014E","Total",1124,608,150,314,3,10,5,28,79,19,516,234,11,50,174,47
"E01006779",2011,"Liverpool 022D","Total",902,387,110,196,0,10,3,12,52,4,515,263,3,60,147,42
"E01006780",2011,"Liverpool 002D","Total",619,408,63,268,3,8,6,37,20,3,211,168,2,10,25,6
"E01006781",2011,"Liverpool 003A","Total",600,431,56,298,1,13,4,45,9,5,169,133,1,6,21,8
"E01006782",2011,"Liverpool 003B","Total",691,480,58,314,0,8,14,25,47,14,211,136,5,12,43,15
"E01006783",2011,"Liverpool 002E","Total",645,446,75,293,0,6,4,23,39,6,199,134,1,18,32,14
"E01006784",2011,"Liverpool 003C","Total",586,439,52,310,0,4,7,38,21,7,147,106,2,9,20,10
"E01006785",2011,"Liverpool 003D","Total",781,500,47,340,1,11,7,37,47,10,281,180,10,21,57,13
"E01006786",2011,"Liverpool 003E","Total",764,544,80,360,4,11,11,40,31,7,220,163,0,9,40,8
"E01006787",2011,"Liverpool 006A","Total",691,469,52,266,0,12,13,44,61,21,222,89,14,20,79,20
"E01006788",2011,"Liverpool 006B","Total",681,471,76,307,0,7,9,39,32,1,210,150,4,20,30,6
"E01006790",2011,"Liverpool 006C","Total",801,451,104,223,1,7,13,25,74,4,350,151,9,31,127,32
"E01006791",2011,"Liverpool 006D","Total",873,479,101,245,0,6,13,21,85,8,394,227,5,29,105,28
"E01006792",2011,"Liverpool 046A","Total",557,334,38,197,2,37,16,38,3,3,223,216,0,0,3,4
"E01006793",2011,"Liverpool 051A","Total",759,445,74,265,1,18,17,33,30,7,314,238,10,9,47,10
"E01006794",2011,"Liverpool 046B","Total",711,471,65,286,5,31,10,52,17,5,240,200,3,6,22,9
"E01006795",2011,"Liverpool 051B","Total",628,431,52,271,3,33,17,35,16,4,197,167,1,5,12,12
"E01006796",2011,"Liverpool 047E","Total",581,386,42,214,3,54,22,47,3,1,195,179,3,5,5,3
"E01006797",2011,"Liverpool 051C","Total",707,400,73,230,2,15,7,34,34,5,307,184,2,19,87,15
"E01006798",2011,"Liverpool 051D","Total",609,379,39,266,3,15,7,39,9,1,230,196,4,8,13,9
"E01006799",2011,"Liverpool 051E","Total",1145,503,77,324,1,19,17,29,34,2,642,500,7,9,109,17
"E01006800",2011,"Liverpool 046C","Total",679,342,56,207,2,19,14,36,7,1,337,312,5,1,14,5
"E01006801",2011,"Liverpool 046D","Total",609,340,46,233,0,14,7,32,7,1,269,251,3,2,7,6
"E01032505",2011,"Liverpool 050F","Total",563,359,59,196,1,23,12,33,27,8,204,133,6,9,34,22
"E01032506",2011,"Liverpool 050G","Total",656,428,52,280,2,7,5,28,42,12,228,145,9,16,53,5
"E01032507",2011,"Liverpool 050H","Total",666,498,61,342,2,10,8,30,24,21,168,105,9,17,25,12
"E01032508",2011,"Liverpool 027G","Total",847,481,85,265,2,4,13,20,83,9,366,172,10,41,115,28
"E01032509",2011,"Liverpool 027H","Total",665,434,90,247,0,1,7,23,59,7,231,129,4,31,55,12
"E01032510",2011,"Liverpool 008F","Total",776,525,96,346,4,7,10,31,22,9,251,149,5,21,59,17
"E01032511",2011,"Liverpool 008G","Total",616,393,87,206,1,5,11,33,47,3,223,142,6,14,49,12
"E01033747",2011,"Liverpool 018F","Total",496,210,44,90,2,12,4,10,48,0,286,129,8,33,83,33
"E01033748",2011,"Liverpool 050I","Total",772,676,34,528,0,4,14,39,31,26,96,36,35,5,8,12
"E01033749",2011,"Liverpool 042F","Total",1039,284,19,42,1,0,1,4,9,208,755,13,737,1,3,1
"E01033750",2011,"Liverpool 061A","Total",905,773,47,555,3,25,18,72,22,31,132,43,62,1,13,13
"E01033751",2011,"Liverpool 062A","Total",603,438,30,292,5,21,10,34,21,25,165,74,34,8,35,14
"E01033752",2011,"Liverpool 062B","Total",790,680,22,502,0,20,6,45,27,58,110,9,85,2,11,3
"E01033753",2011,"Liverpool 062C","Total",714,610,25,467,1,19,7,41,21,29,104,5,86,1,6,6
"E01033754",2011,"Liverpool 061B","Total",838,621,40,439,6,17,6,40,25,48,217,97,63,9,37,11
"E01033755",2011,"Liverpool 062D","Total",675,595,27,449,4,7,4,39,10,55,80,8,58,3,4,7
"E01033756",2011,"Liverpool 061C","Total",733,552,28,379,0,18,9,40,24,54,181,25,137,2,8,9
"E01033757",2011,"Liverpool 037E","Total",715,341,42,120,3,2,8,11,36,119,374,29,277,8,53,7
"E01033758",2011,"Liverpool 060B","Total",475,238,40,123,3,3,2,9,21,37,237,26,158,6,40,7
"E01033759",2011,"Liverpool 010F","Total",480,283,46,174,0,6,8,18,24,7,197,127,2,19,39,10
"E01033760",2011,"Liverpool 060C","Total",529,374,26,211,1,7,2,18,24,85,155,9,122,2,16,6
"E01033761",2011,"Liverpool 060D","Total",832,677,40,463,3,8,11,32,19,101,155,2,128,1,18,6
"E01033762",2011,"Liverpool 060E","Total",456,291,21,191,0,7,2,4,20,46,165,51,76,2,27,9
"E01033763",2011,"Liverpool 031G","Total",820,408,89,161,3,6,6,16,74,53,412,208,31,17,119,37
"E01033764",2011,"Liverpool 022E","Total",1172,521,127,234,4,8,11,24,100,13,651,336,11,55,188,61
"E01033765",2011,"Liverpool 061D","Total",659,381,70,213,0,12,7,30,36,13,278,129,11,29,89,20
"E01033766",2011,"Liverpool 042G","Total",424,320,35,210,0,4,7,21,9,34,104,63,22,6,9,4
"E01033767",2011,"Liverpool 050J","Total",562,332,76,169,0,1,4,25,49,8,230,108,10,30,64,18
"E01033768",2011,"Liverpool 037F","Total",835,525,84,263,4,10,11,21,92,40,310,60,79,8,138,25
