"lsoa11cd","date","lsoa11nm","Social Grade: All categories: Approximated social grade; measures: Value","Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value","Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value","Social Grade: C2 Skilled manual occupations; measures: Value","Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value"
"E01006697",2011,"Liverpool 030D",1257,95,347,186,629
"E01006698",2011,"Liverpool 012D",1123,55,364,268,436
"E01006699",2011,"Liverpool 014A",1059,53,226,167,613
"E01006700",2011,"Liverpool 012E",974,71,194,196,513
"E01006701",2011,"Liverpool 014B",979,71,215,258,435
"E01006702",2011,"Liverpool 014C",1047,52,238,173,584
"E01006703",2011,"Liverpool 014D",1051,58,195,184,614
"E01006705",2011,"Liverpool 009E",1004,61,293,243,407
"E01006706",2011,"Liverpool 045A",842,40,170,191,441
"E01006707",2011,"Liverpool 045B",771,28,136,193,414
"E01006708",2011,"Liverpool 045C",1118,118,283,259,458
"E01006709",2011,"Liverpool 040A",951,91,280,197,383
"E01006710",2011,"Liverpool 045D",987,63,272,245,407
"E01006711",2011,"Liverpool 027A",988,112,307,221,348
"E01006712",2011,"Liverpool 029D",839,92,291,175,281
"E01006713",2011,"Liverpool 029E",888,100,327,182,279
"E01006716",2011,"Liverpool 032E",979,98,314,186,381
"E01006717",2011,"Liverpool 027D",964,168,312,241,243
"E01006718",2011,"Liverpool 027E",1063,132,322,264,345
"E01006719",2011,"Liverpool 027F",1011,116,336,195,364
"E01006720",2011,"Liverpool 035A",1537,180,593,173,591
"E01006721",2011,"Liverpool 038C",1177,153,403,161,460
"E01006722",2011,"Liverpool 038D",1484,146,932,135,271
"E01006723",2011,"Liverpool 038E",1532,152,866,166,348
"E01006724",2011,"Liverpool 038F",1530,176,969,121,264
"E01006725",2011,"Liverpool 035B",1086,128,383,224,351
"E01006726",2011,"Liverpool 035C",1203,153,524,171,355
"E01006727",2011,"Liverpool 035D",1055,187,345,207,316
"E01006728",2011,"Liverpool 035E",1139,115,390,174,460
"E01006729",2011,"Liverpool 008C",839,38,199,192,410
"E01006730",2011,"Liverpool 011C",836,55,202,204,375
"E01006731",2011,"Liverpool 011D",772,23,164,197,388
"E01006732",2011,"Liverpool 011E",968,33,209,203,523
"E01006734",2011,"Liverpool 005C",870,31,191,157,491
"E01006735",2011,"Liverpool 005D",844,46,203,168,427
"E01006736",2011,"Liverpool 005E",976,44,288,218,426
"E01006737",2011,"Liverpool 005F",941,49,209,207,476
"E01006738",2011,"Liverpool 058A",952,41,180,211,520
"E01006739",2011,"Liverpool 058B",1110,67,243,243,557
"E01006740",2011,"Liverpool 057A",846,51,171,155,469
"E01006741",2011,"Liverpool 058C",1201,57,248,284,612
"E01006742",2011,"Liverpool 057B",937,132,288,202,315
"E01006743",2011,"Liverpool 058D",1504,177,477,375,475
"E01006744",2011,"Liverpool 057C",1019,176,318,153,372
"E01006745",2011,"Liverpool 057D",1316,159,360,303,494
"E01006746",2011,"Liverpool 030E",1044,52,414,153,425
"E01006747",2011,"Liverpool 031B",1393,121,783,115,374
"E01006748",2011,"Liverpool 031C",1616,117,949,141,409
"E01006751",2011,"Liverpool 031F",1415,76,570,130,639
"E01006752",2011,"Liverpool 035F",728,44,231,145,308
"E01006753",2011,"Liverpool 059A",976,48,195,214,519
"E01006754",2011,"Liverpool 059B",1078,46,190,234,608
"E01006755",2011,"Liverpool 059C",1006,51,210,172,573
"E01006756",2011,"Liverpool 059D",1153,55,189,281,628
"E01006757",2011,"Liverpool 059E",932,41,175,192,524
"E01006758",2011,"Liverpool 059F",970,57,216,217,480
"E01006759",2011,"Liverpool 028D",752,104,203,206,239
"E01006760",2011,"Liverpool 028E",1227,118,397,234,478
"E01006761",2011,"Liverpool 020B",1081,83,291,250,457
"E01006762",2011,"Liverpool 015E",1094,78,231,231,554
"E01006763",2011,"Liverpool 020C",963,98,308,212,345
"E01006764",2011,"Liverpool 020D",1051,116,307,191,437
"E01006765",2011,"Liverpool 020E",982,90,312,249,331
"E01006766",2011,"Liverpool 019E",841,29,176,165,471
"E01006767",2011,"Liverpool 019F",1226,122,385,250,469
"E01006768",2011,"Liverpool 020F",997,158,327,214,298
"E01006769",2011,"Liverpool 040B",738,45,195,140,358
"E01006770",2011,"Liverpool 040C",613,27,150,148,288
"E01006771",2011,"Liverpool 040D",871,30,211,162,468
"E01006772",2011,"Liverpool 040E",713,102,165,183,263
"E01006773",2011,"Liverpool 036D",918,180,323,221,194
"E01006774",2011,"Liverpool 036E",992,251,349,197,195
"E01006775",2011,"Liverpool 040F",809,28,168,174,439
"E01006776",2011,"Liverpool 022B",1101,135,283,170,513
"E01006778",2011,"Liverpool 014E",1579,116,311,280,872
"E01006779",2011,"Liverpool 022D",1230,51,238,217,724
"E01006780",2011,"Liverpool 002D",956,107,357,251,241
"E01006781",2011,"Liverpool 003A",1040,140,351,266,283
"E01006782",2011,"Liverpool 003B",1088,102,418,239,329
"E01006783",2011,"Liverpool 002E",1021,117,319,238,347
"E01006784",2011,"Liverpool 003C",943,136,371,199,237
"E01006785",2011,"Liverpool 003D",1175,159,397,245,374
"E01006786",2011,"Liverpool 003E",1221,171,437,321,292
"E01006787",2011,"Liverpool 006A",1110,127,361,272,350
"E01006788",2011,"Liverpool 006B",1178,114,415,271,378
