"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006797",2011,"Liverpool 051C","Total",1499,1499,1344,38,636,670,155,119,25,11,0,0
"E01006798",2011,"Liverpool 051D","Total",1410,1410,1315,406,798,111,95,95,0,0,0,0
"E01006799",2011,"Liverpool 051E","Total",1796,1796,1002,123,351,528,794,755,20,19,0,0
"E01006800",2011,"Liverpool 046C","Total",1401,1401,1293,304,959,30,108,99,5,4,0,0
"E01006801",2011,"Liverpool 046D","Total",1344,1344,1331,150,1126,55,13,13,0,0,0,0
"E01032505",2011,"Liverpool 050F","Total",1315,1315,1288,535,196,557,27,15,2,10,0,0
"E01032506",2011,"Liverpool 050G","Total",1344,1334,1223,27,41,1155,109,56,26,27,2,10
"E01032507",2011,"Liverpool 050H","Total",1539,1539,1422,11,54,1357,117,32,28,57,0,0
"E01032508",2011,"Liverpool 027G","Total",1723,1723,1450,58,513,879,273,152,82,39,0,0
"E01032509",2011,"Liverpool 027H","Total",1432,1432,1406,20,238,1148,26,20,3,3,0,0
"E01032510",2011,"Liverpool 008F","Total",1809,1809,1662,160,561,941,147,142,5,0,0,0
"E01032511",2011,"Liverpool 008G","Total",1378,1378,1335,132,1029,174,43,39,4,0,0,0
"E01033747",2011,"Liverpool 018F","Total",1035,1035,817,44,257,516,218,146,32,40,0,0
"E01033748",2011,"Liverpool 050I","Total",1276,1276,233,13,27,193,1043,1035,8,0,0,0
"E01033749",2011,"Liverpool 042F","Total",1151,631,160,16,7,137,471,467,3,1,0,520
"E01033750",2011,"Liverpool 061A","Total",1448,1448,84,6,19,59,1364,1354,4,6,0,0
"E01033751",2011,"Liverpool 062A","Total",1039,1039,287,31,100,156,721,656,46,19,31,0
"E01033752",2011,"Liverpool 062B","Total",1195,1183,16,8,5,3,1163,961,54,148,4,12
"E01033753",2011,"Liverpool 062C","Total",1051,1042,17,0,4,13,1025,1005,2,18,0,9
"E01033754",2011,"Liverpool 061B","Total",1448,1444,401,45,259,97,1043,975,62,6,0,4
"E01033755",2011,"Liverpool 062D","Total",1082,1082,16,6,0,10,1066,1020,30,16,0,0
"E01033756",2011,"Liverpool 061C","Total",1136,1135,38,5,11,22,1097,913,45,139,0,1
"E01033757",2011,"Liverpool 037E","Total",1015,881,191,16,29,146,689,539,135,15,1,134
"E01033758",2011,"Liverpool 060B","Total",703,671,136,12,65,59,534,494,6,34,1,32
"E01033759",2011,"Liverpool 010F","Total",1147,1147,1116,46,398,672,31,29,2,0,0,0
"E01033760",2011,"Liverpool 060C","Total",856,850,23,4,16,3,827,686,69,72,0,6
"E01033761",2011,"Liverpool 060D","Total",1340,1310,48,11,16,21,1262,1148,52,62,0,30
"E01033762",2011,"Liverpool 060E","Total",722,719,41,8,19,14,678,624,34,20,0,3
"E01033763",2011,"Liverpool 031G","Total",1471,1463,888,60,186,642,575,432,137,6,0,8
"E01033764",2011,"Liverpool 022E","Total",2191,2185,1616,146,631,839,569,555,10,4,0,6
"E01033765",2011,"Liverpool 061D","Total",1351,1351,1162,91,633,438,189,188,0,1,0,0
"E01033766",2011,"Liverpool 042G","Total",1072,1068,1040,0,44,996,28,5,17,6,0,4
"E01033767",2011,"Liverpool 050J","Total",1067,1067,996,37,72,887,71,70,0,1,0,0
"E01033768",2011,"Liverpool 037F","Total",1219,1139,253,11,21,221,886,342,543,1,0,80
