"lsoa11cd","date","lsoa11nm","Rural Urban","Passports Held: All usual residents; measures: Value","Passports Held: No passport; measures: Value","Passports Held: United Kingdom; measures: Value","Passports Held: Republic of Ireland; measures: Value","Passports Held: Other Europe: EU countries; measures: Value","Passports Held: Other Europe: Non EU countries; measures: Value","Passports Held: Africa; measures: Value","Passports Held: Middle East and Asia; measures: Value","Passports Held: North America and the Caribbean; measures: Value","Passports Held: Central America; measures: Value","Passports Held: South America; measures: Value","Passports Held: Antarctica and Oceania; measures: Value","Passports Held: British Overseas Territories; measures: Value"
"E01006664",2011,"Liverpool 004D","Total",1795,500,1184,8,68,2,9,22,1,0,1,1,0
"E01006665",2011,"Liverpool 007A","Total",1555,183,1347,4,11,4,3,7,3,0,0,1,0
"E01006666",2011,"Liverpool 007B","Total",1504,104,1347,10,15,0,13,28,3,0,0,0,0
"E01006667",2011,"Liverpool 007C","Total",1453,234,1184,7,23,0,5,4,2,0,0,2,0
"E01006668",2011,"Liverpool 007D","Total",1534,135,1376,2,6,0,6,15,1,0,0,6,0
"E01006669",2011,"Liverpool 004E","Total",1470,132,1288,3,13,1,21,24,0,0,0,1,0
"E01006670",2011,"Liverpool 007E","Total",1526,174,1301,3,29,1,5,15,1,0,0,3,0
"E01006671",2011,"Liverpool 013D","Total",1355,163,1164,5,7,0,13,15,0,0,0,1,0
"E01006672",2011,"Liverpool 010E","Total",1955,561,1300,3,62,1,6,23,1,0,1,2,0
"E01006673",2011,"Liverpool 037D","Total",1937,363,1306,18,78,3,79,83,18,0,6,2,0
"E01006674",2011,"Liverpool 039C","Total",1885,369,1267,8,70,5,82,101,7,0,1,0,0
"E01006675",2011,"Liverpool 043C","Total",1824,273,1316,31,105,3,39,60,19,1,5,4,0
"E01006676",2011,"Liverpool 044D","Total",1753,410,1133,11,67,7,62,65,7,0,2,6,0
"E01006677",2011,"Liverpool 043D","Total",1040,262,721,3,12,2,19,23,4,0,0,1,0
"E01006678",2011,"Liverpool 044E","Total",2127,487,1544,17,32,2,19,28,6,0,2,1,0
"E01006679",2011,"Liverpool 039D","Total",2232,375,1576,5,86,9,97,87,7,0,0,10,0
"E01006680",2011,"Liverpool 053B","Total",1569,127,1422,6,14,1,0,4,1,0,0,0,0
"E01006681",2011,"Liverpool 054D","Total",1585,219,1331,8,10,2,5,17,0,0,1,0,0
"E01006682",2011,"Liverpool 053C","Total",1310,98,1186,18,6,0,3,5,2,0,1,2,0
"E01006683",2011,"Liverpool 053D","Total",1510,120,1362,9,14,1,0,5,2,0,1,1,0
"E01006684",2011,"Liverpool 056B","Total",2138,199,1860,39,24,2,0,16,6,0,2,5,0
"E01006685",2011,"Liverpool 056C","Total",1484,165,1267,16,29,6,2,4,2,0,0,0,0
"E01006686",2011,"Liverpool 053E","Total",1433,135,1274,10,10,0,2,4,3,0,0,0,0
"E01006687",2011,"Liverpool 056D","Total",1952,248,1611,21,29,3,33,25,5,0,0,6,0
"E01006688",2011,"Liverpool 056E","Total",1524,175,1266,10,44,6,2,11,11,0,0,4,0
"E01006689",2011,"Liverpool 049D","Total",1651,168,1445,20,10,0,5,2,5,0,0,6,0
"E01006690",2011,"Liverpool 028A","Total",1492,293,958,27,132,8,61,13,6,2,1,1,0
"E01006691",2011,"Liverpool 030A","Total",1503,306,889,18,107,4,107,78,5,1,2,3,0
"E01006692",2011,"Liverpool 028B","Total",2180,474,1449,13,136,10,74,43,4,0,1,1,0
"E01006693",2011,"Liverpool 024D","Total",1511,377,1056,7,29,0,18,22,4,0,0,1,0
"E01006694",2011,"Liverpool 030B","Total",1864,443,978,16,138,0,254,44,9,0,0,2,0
"E01006695",2011,"Liverpool 028C","Total",1821,394,1112,34,152,3,90,47,8,0,1,0,0
"E01006696",2011,"Liverpool 030C","Total",1744,355,1132,9,64,4,103,89,5,0,0,1,0
"E01006697",2011,"Liverpool 030D","Total",1845,474,1062,8,120,2,89,74,20,1,1,0,0
"E01006698",2011,"Liverpool 012D","Total",1716,366,1322,12,7,1,5,3,2,0,0,2,0
"E01006699",2011,"Liverpool 014A","Total",1594,461,1061,12,55,0,11,1,1,0,0,0,0
"E01006700",2011,"Liverpool 012E","Total",1438,352,1048,7,12,0,7,15,1,0,3,0,0
"E01006701",2011,"Liverpool 014B","Total",1380,239,1111,2,14,1,5,7,3,0,0,1,0
"E01006702",2011,"Liverpool 014C","Total",1618,428,1139,5,21,1,14,13,0,0,0,0,0
"E01006703",2011,"Liverpool 014D","Total",1561,442,1050,13,38,3,17,3,1,0,0,0,0
"E01006705",2011,"Liverpool 009E","Total",1409,329,1034,10,27,4,11,2,1,0,0,2,0
"E01006706",2011,"Liverpool 045A","Total",1346,328,1006,3,1,1,5,0,4,0,0,0,0
"E01006707",2011,"Liverpool 045B","Total",1323,335,972,4,5,1,2,1,1,0,7,0,0
"E01006708",2011,"Liverpool 045C","Total",1805,385,1390,5,22,0,1,4,1,0,0,1,0
"E01006709",2011,"Liverpool 040A","Total",1438,346,1066,12,2,1,2,10,2,0,0,4,0
"E01006710",2011,"Liverpool 045D","Total",1496,295,1187,3,3,0,6,0,3,0,0,0,0
"E01006711",2011,"Liverpool 027A","Total",1538,346,1134,4,16,4,22,17,0,1,4,0,0
"E01006712",2011,"Liverpool 029D","Total",1339,266,1042,7,10,0,0,14,0,0,0,1,0
"E01006713",2011,"Liverpool 029E","Total",1377,236,1113,5,14,1,2,4,2,0,0,2,0
"E01006716",2011,"Liverpool 032E","Total",1589,394,1139,16,22,2,4,12,3,0,0,3,0
"E01006717",2011,"Liverpool 027D","Total",1436,182,1212,6,21,0,1,13,1,0,3,0,0
"E01006718",2011,"Liverpool 027E","Total",1587,276,1273,11,17,0,4,12,1,0,0,3,0
"E01006719",2011,"Liverpool 027F","Total",1535,255,1257,5,10,3,0,4,1,0,0,1,0
"E01006720",2011,"Liverpool 035A","Total",2108,323,1265,55,264,3,77,118,8,0,7,5,1
"E01006721",2011,"Liverpool 038C","Total",1655,407,1097,36,49,6,23,43,3,0,1,1,0
"E01006722",2011,"Liverpool 038D","Total",1793,167,1392,63,64,1,23,86,9,1,0,5,0
"E01006723",2011,"Liverpool 038E","Total",1875,287,1348,74,68,2,20,82,18,1,1,3,0
"E01006724",2011,"Liverpool 038F","Total",1790,124,1513,71,35,4,23,29,10,1,0,7,0
"E01006725",2011,"Liverpool 035B","Total",1537,295,1145,39,26,3,7,21,4,0,0,3,0
"E01006726",2011,"Liverpool 035C","Total",1565,231,1109,62,77,5,32,62,6,0,0,3,0
"E01006727",2011,"Liverpool 035D","Total",1441,200,1141,18,47,5,8,21,5,0,0,3,0
"E01006728",2011,"Liverpool 035E","Total",1623,383,1113,16,52,2,6,56,5,2,1,0,0
"E01006729",2011,"Liverpool 008C","Total",1400,384,987,3,13,0,10,6,1,0,0,1,0
"E01006730",2011,"Liverpool 011C","Total",1326,346,958,2,12,1,6,1,0,0,1,1,0
"E01006731",2011,"Liverpool 011D","Total",1196,285,884,4,17,0,2,7,0,0,0,0,0
"E01006732",2011,"Liverpool 011E","Total",1643,474,1126,2,32,1,3,4,0,0,1,0,0
"E01006734",2011,"Liverpool 005C","Total",1412,394,942,2,56,0,14,7,1,0,0,3,0
"E01006735",2011,"Liverpool 005D","Total",1309,344,930,1,5,0,13,23,0,0,0,0,0
"E01006736",2011,"Liverpool 005E","Total",1460,403,998,1,38,1,11,12,1,0,0,1,0
"E01006737",2011,"Liverpool 005F","Total",1435,328,1090,5,4,1,8,2,1,0,0,0,0
"E01006738",2011,"Liverpool 058A","Total",1501,345,1142,3,4,0,6,3,0,0,0,0,0
"E01006739",2011,"Liverpool 058B","Total",1769,535,1190,9,17,0,5,11,2,0,0,0,0
"E01006740",2011,"Liverpool 057A","Total",1280,366,827,6,59,0,1,19,0,0,4,0,0
"E01006741",2011,"Liverpool 058C","Total",1815,431,1360,3,15,0,1,3,4,0,0,0,0
"E01006742",2011,"Liverpool 057B","Total",1394,295,1072,3,20,0,2,2,1,0,0,1,0
"E01006743",2011,"Liverpool 058D","Total",2175,386,1654,20,85,0,10,19,4,1,0,1,0
"E01006744",2011,"Liverpool 057C","Total",1482,275,1156,11,33,0,7,4,0,0,2,2,0
"E01006745",2011,"Liverpool 057D","Total",1879,402,1363,15,82,0,2,16,4,2,0,0,0
"E01006746",2011,"Liverpool 030E","Total",1513,305,1045,23,36,6,23,75,3,1,0,0,0
"E01006747",2011,"Liverpool 031B","Total",3552,258,2261,155,123,13,116,645,21,0,0,5,0
"E01006748",2011,"Liverpool 031C","Total",1936,191,1300,53,77,3,47,241,7,34,1,5,0
"E01006751",2011,"Liverpool 031F","Total",2572,399,1532,30,68,4,60,491,6,0,1,1,0
"E01006752",2011,"Liverpool 035F","Total",1012,185,698,13,41,0,36,60,3,0,0,0,0
"E01006753",2011,"Liverpool 059A","Total",1557,424,1112,1,10,0,5,5,1,0,0,1,0
"E01006754",2011,"Liverpool 059B","Total",1627,440,1056,16,114,0,1,0,1,0,0,0,0
"E01006755",2011,"Liverpool 059C","Total",1587,462,1065,3,31,2,17,6,3,0,0,0,0
"E01006756",2011,"Liverpool 059D","Total",1820,595,1111,6,82,0,15,12,0,0,0,2,0
"E01006757",2011,"Liverpool 059E","Total",1491,436,1010,5,38,0,1,0,2,0,0,0,0
"E01006758",2011,"Liverpool 059F","Total",1527,422,1067,3,19,0,13,3,1,0,0,0,0
"E01006759",2011,"Liverpool 028D","Total",1095,214,814,7,47,1,7,5,2,0,1,0,0
"E01006760",2011,"Liverpool 028E","Total",1611,418,1001,38,96,6,27,26,5,0,2,2,0
"E01006761",2011,"Liverpool 020B","Total",1644,402,1184,12,18,3,3,26,0,0,0,1,0
"E01006762",2011,"Liverpool 015E","Total",1692,376,1278,5,19,0,6,9,1,0,0,4,0
"E01006763",2011,"Liverpool 020C","Total",1471,278,1177,6,1,1,4,5,1,0,0,1,0
"E01006764",2011,"Liverpool 020D","Total",1522,329,1096,2,46,4,17,31,5,0,0,2,0
"E01006765",2011,"Liverpool 020E","Total",1468,305,1122,7,24,0,4,9,2,0,0,2,0
"E01006766",2011,"Liverpool 019E","Total",1266,387,781,7,50,1,21,19,1,0,0,0,0
"E01006767",2011,"Liverpool 019F","Total",1787,399,1258,13,51,0,43,18,4,4,0,2,0
"E01006768",2011,"Liverpool 020F","Total",1359,250,1034,10,31,0,8,25,2,0,0,0,0
"E01006769",2011,"Liverpool 040B","Total",1270,347,894,6,8,0,4,10,7,0,1,2,0
"E01006770",2011,"Liverpool 040C","Total",1002,242,750,3,2,0,0,8,0,0,0,0,0
"E01006771",2011,"Liverpool 040D","Total",1425,361,1049,6,7,2,2,0,0,0,0,3,0
"E01006772",2011,"Liverpool 040E","Total",1091,194,879,3,10,1,1,6,0,0,0,4,0
"E01006773",2011,"Liverpool 036D","Total",1379,117,1238,3,9,0,0,10,2,0,3,1,0
"E01006774",2011,"Liverpool 036E","Total",1445,108,1296,4,8,0,4,23,7,0,0,1,0
"E01006775",2011,"Liverpool 040F","Total",1319,328,972,12,4,0,1,4,0,0,0,0,0
"E01006776",2011,"Liverpool 022B","Total",1677,283,1340,11,24,4,7,9,4,0,0,3,0
"E01006778",2011,"Liverpool 014E","Total",2205,549,1510,11,77,0,33,25,3,0,0,1,0
"E01006779",2011,"Liverpool 022D","Total",1968,466,1446,16,33,2,6,10,1,0,0,0,0
"E01006780",2011,"Liverpool 002D","Total",1465,211,1231,6,6,0,3,8,2,0,1,1,0
"E01006781",2011,"Liverpool 003A","Total",1470,163,1299,3,4,2,0,2,0,0,0,0,0
"E01006782",2011,"Liverpool 003B","Total",1560,310,1216,6,11,3,2,15,0,0,0,1,0
"E01006783",2011,"Liverpool 002E","Total",1548,285,1232,6,10,0,1,14,2,0,0,0,0
"E01006784",2011,"Liverpool 003C","Total",1347,247,1085,7,4,0,2,4,0,0,0,0,0
"E01006785",2011,"Liverpool 003D","Total",1769,324,1385,15,17,3,24,5,1,0,0,3,0
"E01006786",2011,"Liverpool 003E","Total",1820,231,1567,6,13,0,2,5,3,0,0,1,0
"E01006787",2011,"Liverpool 006A","Total",2330,601,1567,21,59,1,23,58,7,0,0,1,0
"E01006788",2011,"Liverpool 006B","Total",1825,302,1483,8,19,0,0,12,2,0,0,1,0
"E01006790",2011,"Liverpool 006C","Total",1587,410,1136,7,28,0,4,3,1,0,1,1,0
