"lsoa11cd","date","lsoa11nm","Rural Urban","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"E01006606",2011,"Liverpool 020A","Total",1521,1481,1441,14,0,26,12,7,0,2,3,13,0,1,0,2,10,13,9,3,1,2,1,1
"E01006607",2011,"Liverpool 008A","Total",1531,1512,1496,7,0,9,12,5,3,2,2,1,0,1,0,0,0,2,0,2,0,4,0,4
"E01006608",2011,"Liverpool 009A","Total",1215,1203,1186,3,0,14,1,0,0,0,1,6,1,0,0,5,0,5,4,1,0,0,0,0
"E01006609",2011,"Liverpool 009B","Total",1283,1236,1211,7,0,18,11,3,5,3,0,19,0,0,0,19,0,5,5,0,0,12,10,2
"E01006610",2011,"Liverpool 009C","Total",1397,1343,1320,12,0,11,20,12,4,0,4,16,5,0,0,3,8,12,9,2,1,6,0,6
"E01006611",2011,"Liverpool 012A","Total",1291,1251,1209,8,0,34,9,3,1,1,4,12,1,0,0,7,4,19,15,1,3,0,0,0
"E01006612",2011,"Liverpool 008B","Total",1495,1458,1443,7,0,8,15,7,3,1,4,4,0,0,0,0,4,13,10,1,2,5,5,0
"E01006613",2011,"Liverpool 009D","Total",1360,1338,1325,10,0,3,13,2,5,3,3,6,0,1,0,0,5,1,0,0,1,2,2,0
"E01006614",2011,"Liverpool 012B","Total",1322,1280,1255,6,0,19,10,6,1,2,1,21,0,6,2,11,2,6,1,3,2,5,4,1
"E01006615",2011,"Liverpool 012C","Total",1302,1260,1241,12,0,7,15,9,1,0,5,23,0,0,0,18,5,3,3,0,0,1,0,1
"E01006616",2011,"Liverpool 015D","Total",1428,1393,1358,19,1,15,12,3,2,3,4,5,0,0,0,4,1,6,6,0,0,12,12,0
"E01006617",2011,"Liverpool 021A","Total",1421,1375,1352,9,0,14,11,4,3,1,3,22,4,10,0,5,3,3,3,0,0,10,9,1
"E01006618",2011,"Liverpool 016C","Total",1639,1609,1602,5,0,2,20,5,1,3,11,1,0,1,0,0,0,2,0,1,1,7,6,1
"E01006619",2011,"Liverpool 021B","Total",1599,1556,1518,20,0,18,7,2,2,3,0,10,2,0,0,1,7,9,8,0,1,17,1,16
"E01006620",2011,"Liverpool 021C","Total",1417,1380,1370,9,0,1,7,6,1,0,0,13,1,0,0,8,4,10,5,2,3,7,7,0
"E01006621",2011,"Liverpool 021D","Total",1468,1383,1350,17,0,16,6,4,2,0,0,50,27,3,0,15,5,9,6,1,2,20,14,6
"E01006622",2011,"Liverpool 021E","Total",1519,1501,1469,15,1,16,10,6,0,1,3,8,2,0,4,0,2,0,0,0,0,0,0,0
"E01006623",2011,"Liverpool 013A","Total",1462,1355,1335,8,1,11,12,3,0,5,4,82,19,3,0,58,2,6,5,0,1,7,6,1
"E01006624",2011,"Liverpool 013B","Total",1556,1453,1407,17,0,29,14,4,4,2,4,56,4,12,0,38,2,32,27,4,1,1,1,0
"E01006625",2011,"Liverpool 016D","Total",1416,1388,1375,10,0,3,7,2,5,0,0,19,0,0,0,13,6,2,1,0,1,0,0,0
"E01006626",2011,"Liverpool 016E","Total",1448,1401,1375,9,1,16,12,1,2,3,6,23,4,1,0,7,11,6,1,3,2,6,3,3
"E01006627",2011,"Liverpool 013C","Total",1378,1329,1307,6,0,16,15,4,2,3,6,16,1,1,0,11,3,14,11,2,1,4,3,1
"E01006628",2011,"Liverpool 052D","Total",1874,1611,1462,96,0,53,90,23,30,22,15,101,18,14,1,58,10,60,44,7,9,12,6,6
"E01006629",2011,"Liverpool 052E","Total",1255,1144,1112,18,0,14,37,15,6,3,13,38,7,8,0,16,7,29,8,9,12,7,5,2
