"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006668",2011,"Liverpool 007D","Total",1534,119,32,87,1309,52,807,150,210,316,131,0,0,0,0,0,240,92,48,83,17,210,64,111,35,106,37,47,0,0,22
"E01006669",2011,"Liverpool 004E","Total",1470,123,28,95,1218,30,823,144,212,310,157,0,0,0,0,0,200,58,42,81,19,165,76,44,45,129,41,39,3,2,44
"E01006670",2011,"Liverpool 007E","Total",1520,133,38,95,1286,88,767,156,188,261,162,0,0,0,0,0,186,50,57,65,14,245,91,102,52,101,20,24,0,0,57
"E01006671",2011,"Liverpool 013D","Total",1349,115,52,63,1049,74,681,106,124,243,208,3,0,0,0,3,108,22,19,47,20,183,71,68,44,185,49,71,0,3,62
"E01006672",2011,"Liverpool 010E","Total",1955,238,80,158,1558,74,678,96,122,278,182,6,6,0,0,0,307,58,82,138,29,493,151,239,103,159,35,81,0,5,38
"E01006673",2011,"Liverpool 037D","Total",1925,482,125,357,1077,14,419,50,83,265,21,4,0,0,0,4,148,82,9,48,9,492,174,206,112,366,29,112,75,6,144
"E01006674",2011,"Liverpool 039C","Total",1885,400,113,287,1200,26,580,48,90,411,31,0,0,0,0,0,75,34,24,14,3,519,129,259,131,285,39,144,17,8,77
"E01006675",2011,"Liverpool 043C","Total",1682,766,71,695,602,8,238,104,49,48,37,2,2,0,0,0,214,168,30,16,0,140,77,34,29,314,35,40,49,6,184
"E01006676",2011,"Liverpool 044D","Total",1753,290,83,207,1171,34,484,66,87,264,67,2,2,0,0,0,139,34,31,65,9,512,198,207,107,292,58,107,24,4,99
"E01006677",2011,"Liverpool 043D","Total",993,210,58,152,643,20,234,30,29,144,31,0,0,0,0,0,58,16,12,27,3,331,135,124,72,140,42,38,0,2,58
"E01006678",2011,"Liverpool 044E","Total",2126,513,115,398,1287,70,558,98,105,178,177,0,0,0,0,0,172,56,43,61,12,487,155,173,159,326,72,57,43,14,140
"E01006679",2011,"Liverpool 039D","Total",2184,392,91,301,1448,22,762,58,144,507,53,2,2,0,0,0,95,30,22,36,7,567,178,256,133,344,53,156,6,10,119
"E01006680",2011,"Liverpool 053B","Total",1569,140,89,51,1308,124,898,152,193,293,260,4,0,0,4,0,108,28,25,33,22,174,40,67,67,121,29,25,0,2,65
"E01006681",2011,"Liverpool 054D","Total",1585,276,107,169,1154,120,692,146,133,191,222,0,0,0,0,0,139,36,46,57,0,203,80,64,59,155,34,48,2,6,65
"E01006682",2011,"Liverpool 053C","Total",1310,96,58,38,1142,110,816,146,116,310,244,0,0,0,0,0,103,26,26,51,0,113,33,32,48,72,11,31,0,4,26
"E01006683",2011,"Liverpool 053D","Total",1507,136,80,56,1272,128,893,160,164,367,202,0,0,0,0,0,126,50,29,37,10,125,33,25,67,99,44,6,9,2,38
"E01006684",2011,"Liverpool 056B","Total",2113,361,106,255,1574,138,922,220,194,339,169,2,2,0,0,0,296,180,72,31,13,216,88,78,50,178,51,27,2,8,90
"E01006685",2011,"Liverpool 056C","Total",1426,181,88,93,1130,98,772,166,110,283,213,2,2,0,0,0,125,34,36,39,16,133,38,31,64,115,12,11,51,0,41
"E01006686",2011,"Liverpool 053E","Total",1429,122,77,45,1106,108,796,138,96,314,248,5,0,0,5,0,73,18,7,38,10,124,33,33,58,201,63,41,27,4,66
"E01006687",2011,"Liverpool 056D","Total",1896,391,149,242,1374,108,854,176,200,275,203,7,4,3,0,0,240,126,56,49,9,165,56,35,74,131,21,18,0,11,81
"E01006688",2011,"Liverpool 056E","Total",1520,282,84,198,1062,102,641,142,95,250,154,2,2,0,0,0,174,66,36,54,18,143,47,50,46,176,25,25,10,5,111
"E01006689",2011,"Liverpool 049D","Total",1651,228,98,130,1331,124,857,154,163,332,208,17,8,0,9,0,178,84,46,43,5,155,53,43,59,92,20,21,4,4,43
"E01006690",2011,"Liverpool 028A","Total",1457,436,57,379,753,32,313,66,52,88,107,2,2,0,0,0,103,60,19,20,4,303,114,93,96,268,40,39,54,3,132
"E01006691",2011,"Liverpool 030A","Total",1488,247,59,188,919,46,436,54,83,217,82,0,0,0,0,0,102,44,22,33,3,335,114,159,62,322,48,36,49,4,185
"E01006692",2011,"Liverpool 028B","Total",2180,400,94,306,1408,78,598,100,115,291,92,3,0,0,0,3,301,88,68,111,34,428,137,168,123,372,48,78,29,10,207
"E01006693",2011,"Liverpool 024D","Total",1508,463,182,281,835,108,360,80,68,106,106,2,2,0,0,0,133,44,44,33,12,232,65,72,95,210,55,32,0,12,111
"E01006694",2011,"Liverpool 030B","Total",1864,375,65,310,1211,48,523,90,98,223,112,0,0,0,0,0,155,60,30,49,16,485,192,167,126,278,50,49,37,4,138
"E01006695",2011,"Liverpool 028C","Total",1814,637,58,579,866,28,403,78,117,141,67,4,4,0,0,0,171,82,32,42,15,260,119,103,38,311,30,74,37,2,168
"E01006696",2011,"Liverpool 030C","Total",1744,290,78,212,1173,46,588,110,82,243,153,0,0,0,0,0,159,40,30,83,6,380,127,151,102,281,32,86,89,2,72
"E01006697",2011,"Liverpool 030D","Total",1843,319,68,251,1199,76,505,82,77,242,104,4,4,0,0,0,241,62,41,122,16,373,147,149,77,325,34,53,70,5,163
"E01006698",2011,"Liverpool 012D","Total",1716,244,70,174,1345,74,624,98,139,193,194,0,0,0,0,0,211,62,29,97,23,436,140,224,72,127,25,46,2,0,54
"E01006699",2011,"Liverpool 014A","Total",1581,322,78,244,1125,70,308,88,41,106,73,0,0,0,0,0,232,66,65,82,19,515,194,195,126,134,17,46,0,4,67
"E01006700",2011,"Liverpool 012E","Total",1410,265,61,204,1011,52,446,90,91,134,131,0,0,0,0,0,162,48,32,75,7,351,95,155,101,134,40,29,0,6,59
"E01006701",2011,"Liverpool 014B","Total",1380,290,80,210,1017,60,511,116,93,84,218,5,2,3,0,0,120,32,26,44,18,321,89,128,104,73,34,14,0,4,21
"E01006702",2011,"Liverpool 014C","Total",1596,263,84,179,1137,60,385,84,38,116,147,0,0,0,0,0,209,56,48,92,13,483,158,186,139,196,46,48,12,7,83
"E01006703",2011,"Liverpool 014D","Total",1527,447,114,333,935,56,364,86,41,125,112,0,0,0,0,0,154,48,39,40,27,361,120,128,113,145,32,51,0,2,60
"E01006705",2011,"Liverpool 009E","Total",1409,299,57,242,969,48,433,90,88,113,142,0,0,0,0,0,170,50,50,55,15,318,120,114,84,141,20,34,9,5,73
"E01006706",2011,"Liverpool 045A","Total",1346,186,77,109,994,78,383,76,60,112,135,0,0,0,0,0,128,20,34,62,12,405,126,152,127,166,72,19,7,3,65
"E01006707",2011,"Liverpool 045B","Total",1294,163,89,74,975,80,363,76,25,122,140,0,0,0,0,0,141,24,42,60,15,391,113,129,149,156,50,60,0,0,46
"E01006708",2011,"Liverpool 045C","Total",1757,249,96,153,1328,90,633,140,111,253,129,0,0,0,0,0,246,60,73,101,12,359,79,166,114,180,41,54,0,10,75
"E01006709",2011,"Liverpool 040A","Total",1438,293,118,175,990,54,425,70,103,134,118,4,4,0,0,0,194,52,60,66,16,313,75,111,127,155,21,20,0,8,106
"E01006710",2011,"Liverpool 045D","Total",1490,136,67,69,1223,64,627,138,109,162,218,0,0,0,0,0,161,30,22,78,31,371,124,160,87,131,23,54,0,2,52
"E01006711",2011,"Liverpool 027A","Total",1500,277,83,194,1035,66,470,88,101,189,92,2,2,0,0,0,187,42,53,76,16,310,123,115,72,188,39,68,5,3,73
"E01006712",2011,"Liverpool 029D","Total",1303,194,68,126,1008,52,449,86,116,166,81,0,0,0,0,0,222,62,41,108,11,285,69,134,82,101,36,16,0,5,44
"E01006713",2011,"Liverpool 029E","Total",1375,196,95,101,1045,66,515,106,85,190,134,0,0,0,0,0,201,66,69,57,9,263,113,67,83,134,38,38,0,8,50
"E01006716",2011,"Liverpool 032E","Total",1454,285,71,214,1056,42,421,98,87,165,71,3,0,3,0,0,213,82,59,56,16,377,154,148,75,113,33,22,2,2,54
"E01006717",2011,"Liverpool 027D","Total",1436,168,67,101,1134,64,719,96,125,277,221,0,0,0,0,0,117,40,33,30,14,234,91,62,81,134,26,44,0,6,58
"E01006718",2011,"Liverpool 027E","Total",1584,245,86,159,1163,80,625,110,120,245,150,0,0,0,0,0,195,48,70,55,22,263,63,108,92,176,24,43,0,2,107
"E01006719",2011,"Liverpool 027F","Total",1535,193,69,124,1227,67,599,84,171,190,154,2,2,0,0,0,215,72,62,64,17,344,87,162,95,115,44,22,3,0,46
"E01006720",2011,"Liverpool 035A","Total",2108,361,73,288,1132,10,560,74,104,310,72,0,0,0,0,0,179,66,31,72,10,383,151,165,67,615,53,59,240,0,263
"E01006721",2011,"Liverpool 038C","Total",1655,453,136,317,913,26,279,66,58,118,37,0,0,0,0,0,198,108,39,42,9,410,228,112,70,289,16,19,136,4,114
"E01006722",2011,"Liverpool 038D","Total",1793,155,56,99,616,24,323,26,53,167,77,0,0,0,0,0,85,36,20,23,6,184,59,71,54,1022,31,34,645,3,309
"E01006723",2011,"Liverpool 038E","Total",1862,264,63,201,636,42,287,58,45,106,78,0,0,0,0,0,112,58,15,33,6,195,58,69,68,962,59,37,567,2,297
"E01006724",2011,"Liverpool 038F","Total",1783,113,36,77,500,32,265,52,62,77,74,0,0,0,0,0,86,54,3,29,0,117,30,38,49,1170,33,60,746,11,320
"E01006725",2011,"Liverpool 035B","Total",1537,308,84,224,970,56,438,90,80,144,124,0,0,0,0,0,181,78,42,49,12,295,115,91,89,259,45,43,48,4,119
"E01006726",2011,"Liverpool 035C","Total",1565,226,50,176,781,40,340,78,36,136,90,0,0,0,0,0,125,68,24,26,7,276,102,108,66,558,55,37,254,0,212
"E01006727",2011,"Liverpool 035D","Total",1438,238,63,175,971,48,453,94,82,139,138,4,4,0,0,0,220,130,30,47,13,246,98,78,70,229,37,37,51,0,104
"E01006728",2011,"Liverpool 035E","Total",1620,399,103,296,984,42,326,82,97,106,41,0,0,0,0,0,209,108,36,65,0,407,201,110,96,237,22,21,97,7,90
"E01006729",2011,"Liverpool 008C","Total",1400,121,74,47,1128,50,366,60,67,129,110,2,2,0,0,0,192,24,39,112,17,518,142,243,133,151,44,56,0,2,49
"E01006730",2011,"Liverpool 011C","Total",1323,165,90,75,1019,42,426,60,102,143,121,0,0,0,0,0,165,30,33,86,16,386,113,139,134,139,32,39,0,9,59
"E01006731",2011,"Liverpool 011D","Total",1196,142,61,81,920,44,405,80,71,144,110,0,0,0,0,0,165,28,52,82,3,306,95,99,112,134,54,23,9,5,43
"E01006732",2011,"Liverpool 011E","Total",1643,170,69,101,1293,72,373,54,47,150,122,0,0,0,0,0,242,32,38,152,20,606,155,298,153,180,69,68,0,2,41
"E01006734",2011,"Liverpool 005C","Total",1412,187,79,108,1086,54,347,70,52,119,106,0,0,0,0,0,167,32,43,72,20,518,189,207,122,139,44,45,2,2,46
"E01006735",2011,"Liverpool 005D","Total",1309,207,71,136,941,50,348,48,68,113,119,2,2,0,0,0,164,36,48,68,12,377,120,148,109,161,72,45,0,2,42
"E01006736",2011,"Liverpool 005E","Total",1460,158,57,101,1096,48,477,74,112,143,148,0,0,0,0,0,162,30,50,63,19,409,112,174,123,206,53,45,0,6,102
"E01006737",2011,"Liverpool 005F","Total",1435,142,62,80,1089,66,499,80,84,163,172,0,0,0,0,0,144,18,41,76,9,380,119,131,130,204,41,78,5,10,70
"E01006738",2011,"Liverpool 058A","Total",1501,220,97,123,1125,70,371,80,57,131,103,0,0,0,0,0,227,40,33,118,36,457,144,159,154,156,66,43,3,0,44
"E01006739",2011,"Liverpool 058B","Total",1738,225,91,134,1359,56,479,66,103,167,143,0,0,0,0,0,317,46,83,171,17,507,180,203,124,154,47,49,0,12,46
"E01006740",2011,"Liverpool 057A","Total",1280,273,83,190,838,52,281,64,39,115,63,0,0,0,0,0,170,42,47,58,23,335,128,149,58,169,35,30,0,2,102
"E01006741",2011,"Liverpool 058C","Total",1815,251,105,146,1396,70,564,116,85,165,198,0,0,0,0,0,305,32,70,167,36,457,156,143,158,168,53,30,0,15,70
"E01006742",2011,"Liverpool 057B","Total",1394,195,75,120,1046,68,544,82,123,188,151,2,2,0,0,0,198,48,31,92,27,234,74,67,93,153,42,22,0,4,85
"E01006743",2011,"Liverpool 058D","Total",2175,385,99,286,1523,60,757,152,190,268,147,2,2,0,0,0,288,104,75,84,25,416,163,156,97,267,78,57,6,6,120
"E01006744",2011,"Liverpool 057C","Total",1482,321,81,240,1024,66,402,106,73,136,87,0,0,0,0,0,238,86,63,82,7,318,117,108,93,137,14,33,0,2,88
"E01006745",2011,"Liverpool 057D","Total",1854,407,65,342,1254,60,526,116,105,178,127,2,2,0,0,0,227,96,67,41,23,439,166,202,71,193,53,29,8,8,95
"E01006746",2011,"Liverpool 030E","Total",1506,216,88,128,853,86,331,66,64,117,84,0,0,0,0,0,113,38,24,47,4,323,104,83,136,437,38,26,248,8,117
"E01006747",2011,"Liverpool 031B","Total",1655,460,69,391,586,16,306,70,75,94,67,0,0,0,0,0,99,66,21,12,0,165,54,51,60,609,38,4,416,0,151
"E01006748",2011,"Liverpool 031C","Total",1936,239,75,164,643,32,284,76,50,85,73,0,0,0,0,0,87,38,22,24,3,240,92,76,72,1054,28,23,729,2,272
"E01006751",2011,"Liverpool 031F","Total",2043,301,118,183,1070,42,431,62,93,165,111,0,0,0,0,0,125,52,14,49,10,472,146,195,131,672,82,131,305,7,147
"E01006752",2011,"Liverpool 035F","Total",1012,232,54,178,621,28,307,60,69,102,76,0,0,0,0,0,109,42,11,53,3,177,76,51,50,159,16,41,40,0,62
"E01006753",2011,"Liverpool 059A","Total",1557,211,75,136,1143,58,387,90,84,86,127,0,0,0,0,0,235,36,49,130,20,463,146,214,103,203,82,51,0,5,65
"E01006754",2011,"Liverpool 059B","Total",1627,322,110,212,1119,56,456,112,81,138,125,0,0,0,0,0,168,46,49,64,9,439,165,170,104,186,46,37,0,6,97
"E01006755",2011,"Liverpool 059C","Total",1552,257,76,181,1131,34,361,78,69,115,99,4,4,0,0,0,192,38,57,86,11,540,167,251,122,164,53,39,0,2,70
"E01006756",2011,"Liverpool 059D","Total",1820,220,66,154,1413,50,516,88,73,181,174,0,0,0,0,0,251,50,77,117,7,596,202,277,117,187,73,53,0,9,52
"E01006757",2011,"Liverpool 059E","Total",1491,203,73,130,1142,48,427,78,75,156,118,0,0,0,0,0,233,36,77,107,13,434,130,225,79,146,25,70,0,2,49
"E01006758",2011,"Liverpool 059F","Total",1527,199,71,128,1156,50,441,78,67,146,150,0,0,0,0,0,200,38,50,98,14,465,142,213,110,172,53,49,0,8,62
"E01006759",2011,"Liverpool 028D","Total",1052,180,41,139,706,34,382,64,71,146,101,0,0,0,0,0,109,32,28,42,7,181,72,70,39,166,54,25,9,2,76
"E01006760",2011,"Liverpool 028E","Total",1548,498,70,428,676,22,317,50,62,102,103,2,2,0,0,0,159,70,40,41,8,176,58,85,33,374,33,33,53,0,255
"E01006761",2011,"Liverpool 020B","Total",1583,383,98,285,1036,62,530,100,91,171,168,0,0,0,0,0,134,38,39,54,3,310,121,100,89,164,29,39,4,2,90
"E01006762",2011,"Liverpool 015E","Total",1692,226,80,146,1303,88,583,120,84,186,193,0,0,0,0,0,192,36,52,77,27,440,135,169,136,163,72,51,0,4,36
"E01006763",2011,"Liverpool 020C","Total",1471,217,72,145,1115,64,490,108,102,164,116,0,0,0,0,0,192,62,55,68,7,369,116,155,98,139,22,41,0,2,74
"E01006764",2011,"Liverpool 020D","Total",1522,259,47,212,1023,54,462,86,81,194,101,0,0,0,0,0,182,52,38,78,14,325,114,136,75,240,41,75,7,6,111
"E01006765",2011,"Liverpool 020E","Total",1468,243,85,158,1069,60,516,104,120,169,123,0,0,0,0,0,140,50,16,63,11,353,118,137,98,156,34,48,0,2,72
"E01006766",2011,"Liverpool 019E","Total",1265,232,49,183,849,30,283,46,41,127,69,0,0,0,0,0,191,44,58,79,10,345,135,132,78,184,40,51,5,5,83
"E01006767",2011,"Liverpool 019F","Total",1784,294,64,230,1197,46,469,66,88,182,133,3,0,3,0,0,278,70,77,124,7,401,121,200,80,293,42,48,31,4,168
"E01006768",2011,"Liverpool 020F","Total",1347,234,37,197,928,70,579,78,103,235,163,0,0,0,0,0,119,48,25,30,16,160,63,41,56,185,24,32,3,2,124
"E01006769",2011,"Liverpool 040B","Total",1270,401,199,202,804,66,289,64,48,105,72,2,2,0,0,0,139,40,39,48,12,308,102,102,104,65,11,23,0,7,24
"E01006770",2011,"Liverpool 040C","Total",1002,160,77,83,736,52,287,54,73,84,76,0,0,0,0,0,136,18,35,58,25,261,68,101,92,106,29,37,0,9,31
"E01006771",2011,"Liverpool 040D","Total",1425,296,141,155,968,68,333,74,57,99,103,0,0,0,0,0,156,42,36,56,22,411,116,158,137,161,39,57,0,11,54
"E01006772",2011,"Liverpool 040E","Total",1081,168,81,87,811,60,471,110,87,123,151,0,0,0,0,0,80,26,12,36,6,200,56,70,74,102,19,43,2,0,38
"E01006773",2011,"Liverpool 036D","Total",1378,114,48,66,1196,104,751,138,178,248,187,2,2,0,0,0,152,58,36,48,10,187,58,50,79,68,23,5,0,0,40
"E01006774",2011,"Liverpool 036E","Total",1445,124,62,62,1216,66,858,128,247,284,199,2,2,0,0,0,98,32,19,37,10,192,37,83,72,105,25,31,6,2,41
"E01006775",2011,"Liverpool 040F","Total",1302,165,82,83,966,84,360,84,49,92,135,0,0,0,0,0,116,18,24,44,30,406,71,148,187,171,88,45,0,8,30
"E01006776",2011,"Liverpool 022B","Total",1646,386,154,232,1077,56,473,142,102,95,134,3,0,0,0,3,176,80,49,36,11,369,119,122,128,183,44,54,4,20,61
"E01006778",2011,"Liverpool 014E","Total",2205,496,132,364,1352,62,392,104,69,116,103,2,2,0,0,0,222,94,61,45,22,674,235,208,231,357,87,65,6,23,176
"E01006779",2011,"Liverpool 022D","Total",1934,334,160,174,1322,58,403,70,88,90,155,0,0,0,0,0,146,56,37,43,10,715,186,309,220,278,82,48,3,12,133
"E01006780",2011,"Liverpool 002D","Total",1465,191,80,111,1100,78,579,112,105,202,160,0,0,0,0,0,203,66,43,76,18,240,65,101,74,174,60,42,0,7,65
"E01006781",2011,"Liverpool 003A","Total",1469,163,60,103,1185,72,739,144,189,179,227,0,0,0,0,0,199,46,54,79,20,175,69,55,51,121,36,23,0,2,60
"E01006782",2011,"Liverpool 003B","Total",1541,271,79,192,1130,48,612,112,120,201,179,2,2,0,0,0,180,62,37,77,4,288,99,103,86,140,26,40,6,6,62
"E01006783",2011,"Liverpool 002E","Total",1548,199,73,126,1208,68,641,92,127,247,175,2,2,0,0,0,191,58,38,82,13,306,105,130,71,141,29,34,0,0,78
"E01006784",2011,"Liverpool 003C","Total",1344,209,57,152,1010,38,566,92,123,218,133,0,0,0,0,0,184,80,34,61,9,222,50,87,85,125,27,43,0,5,50
"E01006785",2011,"Liverpool 003D","Total",1769,275,87,188,1221,84,586,96,115,195,180,2,2,0,0,0,227,78,52,87,10,322,95,147,80,273,61,50,0,13,149
"E01006786",2011,"Liverpool 003E","Total",1820,237,67,170,1447,100,867,156,196,326,189,2,2,0,0,0,243,100,50,68,25,235,78,83,74,136,31,48,0,4,53
"E01006787",2011,"Liverpool 006A","Total",1534,312,43,269,890,46,469,76,94,201,98,0,0,0,0,0,128,28,25,67,8,247,91,116,40,332,52,76,14,6,184
"E01006788",2011,"Liverpool 006B","Total",1825,137,62,75,1448,72,731,120,155,250,206,0,0,0,0,0,265,50,57,142,16,380,119,167,94,240,60,59,2,9,110
"E01006790",2011,"Liverpool 006C","Total",1587,350,108,242,1099,46,388,92,71,126,99,0,0,0,0,0,173,46,69,49,9,492,213,164,115,138,30,20,0,2,86
"E01006791",2011,"Liverpool 006D","Total",1674,418,127,291,1044,78,434,114,73,109,138,0,0,0,0,0,150,40,33,65,12,382,113,130,139,212,49,45,0,16,102
"E01006792",2011,"Liverpool 046A","Total",1364,138,100,38,1133,190,760,124,128,285,223,0,0,0,0,0,102,44,6,42,10,81,23,31,27,93,21,32,0,4,36
"E01006793",2011,"Liverpool 051A","Total",1494,337,134,203,1048,136,524,144,80,185,115,0,0,0,0,0,163,76,29,48,10,225,60,100,65,109,28,26,0,6,49
"E01006794",2011,"Liverpool 046B","Total",1590,224,85,139,1252,144,811,186,145,267,213,0,0,0,0,0,126,60,52,11,3,171,59,52,60,114,8,29,0,9,68
"E01006795",2011,"Liverpool 051B","Total",1407,215,89,126,1099,100,724,152,152,263,157,2,2,0,0,0,158,78,38,29,13,115,42,31,42,93,10,28,0,9,46
"E01006796",2011,"Liverpool 047E","Total",1586,105,71,34,1396,154,1101,180,194,466,261,0,0,0,0,0,86,24,15,27,20,55,13,10,32,85,7,31,0,6,41
"E01006797",2011,"Liverpool 051C","Total",1499,297,101,196,1099,90,589,112,108,199,170,0,0,0,0,0,151,42,33,70,6,269,85,93,91,103,33,33,0,2,35
"E01006798",2011,"Liverpool 051D","Total",1410,183,74,109,1132,136,722,140,119,242,221,0,0,0,0,0,156,80,37,33,6,118,41,37,40,95,18,16,0,10,51
"E01006799",2011,"Liverpool 051E","Total",1796,719,351,368,936,128,434,138,73,123,100,2,2,0,0,0,154,92,37,13,12,218,64,56,98,141,22,22,0,31,66
"E01006800",2011,"Liverpool 046C","Total",1401,257,137,120,1019,238,567,146,86,176,159,0,0,0,0,0,91,32,13,39,7,123,28,22,73,125,34,39,4,9,39
"E01006801",2011,"Liverpool 046D","Total",1344,171,106,65,1099,196,685,174,104,185,222,2,2,0,0,0,112,56,31,19,6,104,30,12,62,74,9,21,0,10,34
"E01032505",2011,"Liverpool 050F","Total",1315,182,68,114,955,74,546,118,91,208,129,0,0,0,0,0,117,32,28,45,12,218,94,58,66,178,17,65,6,5,85
"E01032506",2011,"Liverpool 050G","Total",1344,260,72,188,875,58,415,94,107,76,138,4,4,0,0,0,190,74,46,67,3,208,95,41,72,209,28,17,29,4,131
"E01032507",2011,"Liverpool 050H","Total",1539,195,43,152,962,60,454,88,85,149,132,2,2,0,0,0,238,136,49,41,12,208,68,74,66,382,24,36,63,8,251
"E01032508",2011,"Liverpool 027G","Total",1723,399,102,297,1084,50,437,68,73,158,138,2,2,0,0,0,187,60,38,78,11,408,138,152,118,240,74,59,4,15,88
"E01032509",2011,"Liverpool 027H","Total",1432,247,67,180,1017,68,368,64,90,111,103,0,0,0,0,0,220,62,81,77,0,361,154,112,95,168,53,40,10,11,54
"E01032510",2011,"Liverpool 008F","Total",1809,262,69,193,1360,84,721,104,193,226,198,0,0,0,0,0,255,68,82,95,10,300,106,94,100,187,49,57,4,5,72
"E01032511",2011,"Liverpool 008G","Total",1378,199,61,138,1119,74,631,146,92,172,221,3,0,0,0,3,138,62,42,31,3,273,78,115,80,60,21,13,0,2,24
"E01033747",2011,"Liverpool 018F","Total",1035,233,78,155,639,40,232,52,50,69,61,0,0,0,0,0,95,18,17,60,0,272,77,125,70,163,53,57,0,3,50
"E01033748",2011,"Liverpool 050I","Total",1276,369,15,354,608,8,213,90,59,40,24,2,2,0,0,0,286,266,16,4,0,99,50,28,21,299,0,4,50,2,243
"E01033749",2011,"Liverpool 042F","Total",1151,973,5,968,126,8,47,16,6,18,7,0,0,0,0,0,39,12,13,14,0,32,15,13,4,52,5,0,22,0,25
"E01033750",2011,"Liverpool 061A","Total",1448,504,17,487,600,20,253,110,59,65,19,0,0,0,0,0,269,250,15,4,0,58,30,6,22,344,10,5,57,0,272
"E01033751",2011,"Liverpool 062A","Total",1039,313,47,266,495,8,187,102,29,22,34,0,0,0,0,0,174,128,12,31,3,126,41,61,24,231,27,5,75,0,124
"E01033752",2011,"Liverpool 062B","Total",1195,448,4,444,419,0,141,68,42,24,7,9,6,3,0,0,259,250,6,0,3,10,6,0,4,328,13,0,99,0,216
"E01033753",2011,"Liverpool 062C","Total",1051,423,6,417,352,4,114,58,33,16,7,2,2,0,0,0,219,204,12,0,3,13,2,3,8,276,10,0,84,0,182
"E01033754",2011,"Liverpool 061B","Total",1448,396,50,346,591,36,178,84,24,24,46,2,2,0,0,0,259,214,10,32,3,116,37,39,40,461,26,17,109,6,303
"E01033755",2011,"Liverpool 062D","Total",1082,341,6,335,360,2,111,46,36,25,4,0,0,0,0,0,230,212,18,0,0,17,8,3,6,381,0,0,98,0,283
"E01033756",2011,"Liverpool 061C","Total",1136,414,10,404,366,16,181,110,31,40,0,2,2,0,0,0,151,144,3,4,0,16,6,10,0,356,0,0,180,0,176
"E01033757",2011,"Liverpool 037E","Total",1015,548,15,533,187,2,60,26,7,27,0,2,2,0,0,0,48,36,3,9,0,75,38,9,28,280,13,15,188,6,58
"E01033758",2011,"Liverpool 060B","Total",703,312,15,297,232,4,88,36,18,28,6,0,0,0,0,0,77,70,3,4,0,63,28,14,21,159,12,0,92,0,55
"E01033759",2011,"Liverpool 010F","Total",1147,142,65,77,937,48,364,80,66,99,119,0,0,0,0,0,205,38,67,84,16,320,87,145,88,68,33,10,0,0,25
"E01033760",2011,"Liverpool 060C","Total",856,330,5,325,173,4,40,28,3,9,0,0,0,0,0,0,104,104,0,0,0,25,15,8,2,353,0,0,246,0,107
"E01033761",2011,"Liverpool 060D","Total",1340,415,3,412,339,0,69,40,15,8,6,0,0,0,0,0,248,248,0,0,0,22,12,6,4,586,7,0,249,0,330
"E01033762",2011,"Liverpool 060E","Total",722,282,38,244,198,4,70,32,15,16,7,0,0,0,0,0,104,98,3,0,3,20,10,0,10,242,7,5,123,0,107
"E01033763",2011,"Liverpool 031G","Total",1471,507,140,367,585,40,255,54,56,60,85,0,0,0,0,0,45,20,0,9,16,245,56,68,121,379,54,24,159,10,132
"E01033764",2011,"Liverpool 022E","Total",2191,607,197,410,1295,76,462,102,71,121,168,2,2,0,0,0,141,66,22,41,12,614,165,244,205,289,69,50,9,16,145
"E01033765",2011,"Liverpool 061D","Total",1351,282,68,214,889,36,329,104,61,74,90,2,2,0,0,0,147,56,34,46,11,375,109,178,88,180,34,46,15,2,83
"E01033766",2011,"Liverpool 042G","Total",1072,104,28,76,561,26,277,62,42,90,83,0,0,0,0,0,113,66,24,12,11,145,41,53,51,407,11,6,185,2,203
