"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01006751",2011,"Liverpool 031F","Total",831,198,205,251,130,47
"E01006752",2011,"Liverpool 035F","Total",489,92,176,145,47,29
"E01006753",2011,"Liverpool 059A","Total",666,291,184,135,50,6
"E01006754",2011,"Liverpool 059B","Total",781,287,180,222,75,17
"E01006755",2011,"Liverpool 059C","Total",690,209,171,259,43,8
"E01006756",2011,"Liverpool 059D","Total",757,308,238,152,52,7
"E01006757",2011,"Liverpool 059E","Total",621,273,186,132,23,7
"E01006758",2011,"Liverpool 059F","Total",639,281,184,135,29,10
"E01006759",2011,"Liverpool 028D","Total",460,277,92,68,17,6
"E01006760",2011,"Liverpool 028E","Total",826,229,199,234,106,58
"E01006761",2011,"Liverpool 020B","Total",793,271,190,251,62,19
"E01006762",2011,"Liverpool 015E","Total",725,318,224,135,39,9
"E01006763",2011,"Liverpool 020C","Total",652,346,190,84,26,6
"E01006764",2011,"Liverpool 020D","Total",667,304,131,152,58,22
"E01006765",2011,"Liverpool 020E","Total",659,385,167,73,26,8
"E01006766",2011,"Liverpool 019E","Total",574,234,175,119,34,12
"E01006767",2011,"Liverpool 019F","Total",779,334,248,140,44,13
"E01006768",2011,"Liverpool 020F","Total",587,305,118,107,41,16
"E01006769",2011,"Liverpool 040B","Total",712,201,288,189,25,9
"E01006770",2011,"Liverpool 040C","Total",445,195,119,94,23,14
"E01006771",2011,"Liverpool 040D","Total",694,238,214,196,38,8
"E01006772",2011,"Liverpool 040E","Total",480,271,123,63,22,1
"E01006773",2011,"Liverpool 036D","Total",554,401,98,39,12,4
"E01006774",2011,"Liverpool 036E","Total",552,409,104,32,5,2
"E01006775",2011,"Liverpool 040F","Total",556,253,175,99,25,4
"E01006776",2011,"Liverpool 022B","Total",844,262,301,217,48,16
"E01006778",2011,"Liverpool 014E","Total",1124,314,347,289,120,54
"E01006779",2011,"Liverpool 022D","Total",902,226,325,268,60,23
"E01006780",2011,"Liverpool 002D","Total",619,392,127,67,28,5
"E01006781",2011,"Liverpool 003A","Total",600,414,109,63,11,3
"E01006782",2011,"Liverpool 003B","Total",691,391,142,110,32,16
"E01006783",2011,"Liverpool 002E","Total",645,359,172,84,20,10
