"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01006599",2011,"Liverpool 010B","Total",1121,119,67,35,76,10,41,28,85,103,208,184,48,81,32,3,1,32.4,29
"E01006600",2011,"Liverpool 011A","Total",1407,66,44,29,76,19,47,52,85,91,226,341,63,125,114,23,6,41.3,43
"E01006603",2011,"Liverpool 011B","Total",1410,58,37,36,81,21,33,50,102,93,229,305,69,144,120,23,9,41.8,43
"E01006604",2011,"Liverpool 016A","Total",1367,59,34,31,89,24,43,36,103,91,231,323,63,129,82,22,7,40.5,42
"E01006605",2011,"Liverpool 016B","Total",1531,67,40,34,97,23,34,44,122,96,282,334,83,126,120,20,9,40.9,41
"E01006606",2011,"Liverpool 020A","Total",1521,87,40,41,72,14,29,43,89,107,304,363,75,145,89,16,7,40.6,42
"E01006607",2011,"Liverpool 008A","Total",1531,78,44,42,120,20,55,44,108,97,283,303,83,111,111,25,7,39.2,39
"E01006608",2011,"Liverpool 009A","Total",1215,80,34,23,60,20,24,39,81,87,261,269,73,92,53,14,5,38.7,39
"E01006609",2011,"Liverpool 009B","Total",1283,80,38,27,62,16,39,39,89,106,282,256,62,102,59,20,6,38.4,37
"E01006610",2011,"Liverpool 009C","Total",1397,79,46,22,91,18,47,50,79,123,270,264,73,109,76,39,11,39.3,38
"E01006611",2011,"Liverpool 012A","Total",1291,107,53,13,51,12,23,38,122,134,272,242,59,104,41,11,9,36.5,33
"E01006612",2011,"Liverpool 008B","Total",1495,86,48,32,95,20,23,55,99,94,282,310,83,127,113,24,4,40.2,40
"E01006613",2011,"Liverpool 009D","Total",1360,67,27,30,73,11,37,35,101,81,215,309,93,145,93,25,18,42.9,45
"E01006614",2011,"Liverpool 012B","Total",1322,87,46,32,63,10,20,30,114,97,299,256,80,93,76,11,8,38.5,37
"E01006615",2011,"Liverpool 012C","Total",1302,102,37,22,58,12,28,44,105,133,263,260,75,90,59,10,4,37.3,36
"E01006616",2011,"Liverpool 015D","Total",1428,59,52,23,83,26,45,39,97,72,263,337,90,125,81,27,9,41.1,42
"E01006617",2011,"Liverpool 021A","Total",1421,71,24,28,64,18,41,30,96,117,283,336,78,112,97,17,9,41.1,42
"E01006618",2011,"Liverpool 016C","Total",1639,59,37,32,102,18,52,41,104,80,260,378,98,192,142,25,19,44,46
"E01006619",2011,"Liverpool 021B","Total",1599,85,51,32,77,15,36,37,102,99,307,359,95,161,107,25,11,41.7,43
"E01006620",2011,"Liverpool 021C","Total",1417,50,42,26,90,12,33,31,74,70,220,306,115,172,118,45,13,45.3,47
"E01006621",2011,"Liverpool 021D","Total",1468,52,42,26,81,18,39,43,94,78,230,354,125,160,101,19,6,43.4,47
"E01006622",2011,"Liverpool 021E","Total",1519,66,51,26,112,26,42,35,73,66,279,329,116,157,113,21,7,42.2,44
"E01006623",2011,"Liverpool 013A","Total",1462,48,48,21,101,21,43,49,86,70,242,372,127,161,59,13,1,41.6,45
"E01006624",2011,"Liverpool 013B","Total",1556,92,51,27,74,18,41,40,110,117,299,338,86,143,90,22,8,40.2,40
"E01006625",2011,"Liverpool 016D","Total",1416,61,40,24,94,26,47,29,75,63,232,322,100,142,124,23,14,43.4,45
"E01006626",2011,"Liverpool 016E","Total",1448,60,40,19,63,20,37,52,94,96,205,385,98,149,102,24,4,43.1,46
"E01006627",2011,"Liverpool 013C","Total",1378,69,46,29,59,23,31,34,96,97,253,328,75,119,94,19,6,41.1,42
"E01006628",2011,"Liverpool 052D","Total",1874,80,41,26,80,15,39,150,280,185,369,318,87,97,77,23,7,35.9,31
"E01006629",2011,"Liverpool 052E","Total",1255,44,19,21,39,16,25,24,99,109,226,294,100,131,77,22,9,43.5,45
"E01006630",2011,"Liverpool 044B","Total",1338,86,54,38,109,22,48,53,88,94,222,319,62,84,54,3,2,35.6,35
"E01006632",2011,"Liverpool 044C","Total",1842,122,64,47,115,29,43,46,153,180,411,296,91,132,99,8,6,36.2,33
"E01006633",2011,"Liverpool 050B","Total",1432,83,42,34,96,26,42,41,83,93,255,280,97,145,87,19,9,40,40
"E01006637",2011,"Liverpool 017A","Total",1596,166,69,52,119,29,47,44,135,120,333,277,52,101,44,4,4,32.4,30
"E01006638",2011,"Liverpool 017B","Total",1219,107,40,37,84,17,36,46,76,85,238,232,63,96,50,11,1,35.9,35
"E01006639",2011,"Liverpool 017C","Total",1509,113,57,36,105,21,39,38,95,117,330,300,69,109,71,6,3,36.4,35
"E01006640",2011,"Liverpool 021F","Total",1880,133,62,49,111,29,42,40,105,103,396,400,118,154,119,16,3,39.2,40
"E01006641",2011,"Liverpool 025C","Total",1740,210,104,48,94,17,27,26,78,156,548,233,51,68,56,17,7,32.2,32.5
