"lsoa11cd","date","lsoa11nm","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"E01006647",2011,"Liverpool 024C","Total",1000,337,663,15,50,23,16,14,12,67,231,235
"E01006648",2011,"Liverpool 023D","Total",1780,933,847,27,100,64,48,17,18,53,252,268
"E01006651",2011,"Liverpool 001A","Total",1214,920,294,22,37,23,14,15,12,39,56,76
"E01006652",2011,"Liverpool 002A","Total",1118,733,385,14,46,29,22,16,9,53,114,82
"E01006653",2011,"Liverpool 001B","Total",1100,620,480,9,38,29,21,15,19,62,155,132
"E01006654",2011,"Liverpool 005A","Total",1080,744,336,8,34,27,26,10,20,47,101,63
"E01006655",2011,"Liverpool 001C","Total",1272,766,506,23,45,25,28,22,22,64,146,131
"E01006656",2011,"Liverpool 002B","Total",1135,740,395,14,47,34,20,14,16,58,113,79
"E01006657",2011,"Liverpool 002C","Total",905,550,355,7,39,24,15,9,14,57,111,79
"E01006658",2011,"Liverpool 001D","Total",971,489,482,11,48,23,21,14,15,63,149,138
"E01006659",2011,"Liverpool 005B","Total",1476,571,905,26,156,90,80,44,35,97,145,232
"E01006660",2011,"Liverpool 001E","Total",1008,583,425,5,35,20,15,13,13,53,170,101
"E01006661",2011,"Liverpool 004A","Total",1176,545,631,6,64,36,27,21,21,63,225,168
"E01006662",2011,"Liverpool 004B","Total",1165,596,569,13,53,30,23,14,19,69,208,140
"E01006663",2011,"Liverpool 004C","Total",820,514,306,8,28,13,17,8,8,38,96,90
"E01006664",2011,"Liverpool 004D","Total",1264,663,601,17,59,55,30,20,16,64,167,173
"E01006665",2011,"Liverpool 007A","Total",1172,855,317,11,52,21,13,5,7,34,87,87
"E01006666",2011,"Liverpool 007B","Total",1107,819,288,20,48,12,14,11,5,31,59,88
"E01006667",2011,"Liverpool 007C","Total",1079,661,418,13,58,21,17,15,21,67,114,92
"E01006668",2011,"Liverpool 007D","Total",1118,847,271,13,41,24,9,7,7,31,69,70
"E01006669",2011,"Liverpool 004E","Total",1109,764,345,12,59,33,21,14,9,33,70,94
"E01006670",2011,"Liverpool 007E","Total",1150,789,361,10,38,25,18,12,14,51,107,86
"E01006671",2011,"Liverpool 013D","Total",1046,636,410,10,35,29,14,15,13,47,125,122
"E01006672",2011,"Liverpool 010E","Total",1353,702,651,12,61,40,24,15,17,92,200,190
"E01006673",2011,"Liverpool 037D","Total",1425,629,796,41,102,51,51,15,22,47,119,348
"E01006674",2011,"Liverpool 039C","Total",1277,441,836,14,63,32,34,14,13,62,155,449
"E01006675",2011,"Liverpool 043C","Total",1604,936,668,42,105,52,43,13,10,71,135,197
"E01006676",2011,"Liverpool 044D","Total",1208,518,690,19,57,39,33,19,22,56,148,297
"E01006677",2011,"Liverpool 043D","Total",704,274,430,6,32,20,13,12,12,41,100,194
"E01006678",2011,"Liverpool 044E","Total",1657,731,926,31,81,56,46,22,29,87,285,289
