"lsoa11cd","date","lsoa11nm","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006705",2011,"Liverpool 009E","Total",1157,459,340,119,698,488,21,49,73,67
"E01006706",2011,"Liverpool 045A","Total",1086,424,334,90,662,420,9,24,103,106
"E01006707",2011,"Liverpool 045B","Total",1038,403,316,87,635,374,10,45,95,111
"E01006708",2011,"Liverpool 045C","Total",1386,688,510,178,698,433,11,30,117,107
"E01006709",2011,"Liverpool 040A","Total",1211,478,330,148,733,438,15,34,129,117
"E01006710",2011,"Liverpool 045D","Total",1185,585,480,105,600,414,5,24,73,84
"E01006711",2011,"Liverpool 027A","Total",1187,516,374,142,671,428,20,35,115,73
"E01006712",2011,"Liverpool 029D","Total",1009,490,340,150,519,335,10,24,82,68
"E01006713",2011,"Liverpool 029E","Total",1112,562,406,156,550,350,16,26,70,88
"E01006716",2011,"Liverpool 032E","Total",1128,490,318,172,638,408,14,48,107,61
"E01006717",2011,"Liverpool 027D","Total",1173,600,502,98,573,382,23,30,74,64
"E01006718",2011,"Liverpool 027E","Total",1294,622,484,138,672,424,17,45,101,85
"E01006719",2011,"Liverpool 027F","Total",1209,598,434,164,611,394,11,22,96,88
"E01006720",2011,"Liverpool 035A","Total",1663,506,350,156,1157,896,51,50,90,70
"E01006721",2011,"Liverpool 038C","Total",1376,370,204,166,1006,727,12,40,129,98
"E01006722",2011,"Liverpool 038D","Total",1591,302,222,80,1289,1136,30,21,46,56
"E01006723",2011,"Liverpool 038E","Total",1688,354,240,114,1334,1130,21,31,82,70
"E01006724",2011,"Liverpool 038F","Total",1664,326,226,100,1338,1207,24,18,41,48
"E01006725",2011,"Liverpool 035B","Total",1284,518,364,154,766,533,17,38,88,90
"E01006726",2011,"Liverpool 035C","Total",1325,384,272,112,941,751,30,33,74,53
"E01006727",2011,"Liverpool 035D","Total",1212,546,356,190,666,467,9,31,91,68
"E01006728",2011,"Liverpool 035E","Total",1325,442,268,174,883,602,14,42,123,102
"E01006729",2011,"Liverpool 008C","Total",1018,402,294,108,616,413,17,36,58,92
"E01006730",2011,"Liverpool 011C","Total",1045,411,306,105,634,403,24,42,57,108
"E01006731",2011,"Liverpool 011D","Total",940,424,318,106,516,346,5,23,55,87
"E01006732",2011,"Liverpool 011E","Total",1177,461,312,149,716,489,11,34,99,83
"E01006734",2011,"Liverpool 005C","Total",1058,396,284,112,662,433,6,50,94,79
"E01006735",2011,"Liverpool 005D","Total",1030,390,280,110,640,419,15,35,86,85
"E01006736",2011,"Liverpool 005E","Total",1167,470,344,126,697,471,10,37,89,90
"E01006737",2011,"Liverpool 005F","Total",1152,488,394,94,664,466,10,30,81,77
"E01006738",2011,"Liverpool 058A","Total",1183,482,328,154,701,457,11,35,87,111
"E01006739",2011,"Liverpool 058B","Total",1311,539,338,201,772,501,10,39,132,90
"E01006740",2011,"Liverpool 057A","Total",1018,352,226,126,666,413,11,45,118,79
"E01006741",2011,"Liverpool 058C","Total",1470,622,428,194,848,579,14,28,101,126
"E01006742",2011,"Liverpool 057B","Total",1152,550,418,132,602,411,14,18,69,90
"E01006743",2011,"Liverpool 058D","Total",1727,808,578,230,919,629,18,49,114,109
"E01006744",2011,"Liverpool 057C","Total",1209,530,346,184,679,468,11,38,89,73
"E01006745",2011,"Liverpool 057D","Total",1495,610,414,196,885,630,9,60,120,66
"E01006746",2011,"Liverpool 030E","Total",1310,395,300,95,915,660,25,43,91,96
"E01006747",2011,"Liverpool 031B","Total",1525,334,230,104,1191,1005,24,30,76,56
"E01006748",2011,"Liverpool 031C","Total",1768,322,236,86,1446,1246,31,32,66,71
"E01006751",2011,"Liverpool 031F","Total",1685,454,350,104,1231,910,33,36,138,114
"E01006752",2011,"Liverpool 035F","Total",839,318,236,82,521,377,9,22,71,42
"E01006753",2011,"Liverpool 059A","Total",1184,470,326,144,714,505,9,34,88,78
"E01006754",2011,"Liverpool 059B","Total",1317,486,356,130,831,497,18,47,140,129
"E01006755",2011,"Liverpool 059C","Total",1166,418,278,140,748,499,15,47,106,81
"E01006756",2011,"Liverpool 059D","Total",1348,568,396,172,780,538,11,40,103,88
"E01006757",2011,"Liverpool 059E","Total",1095,478,332,146,617,425,4,36,78,74
"E01006758",2011,"Liverpool 059F","Total",1157,458,328,130,699,462,10,48,94,85
"E01006759",2011,"Liverpool 028D","Total",859,364,276,88,495,346,16,32,61,40
"E01006760",2011,"Liverpool 028E","Total",1363,392,238,154,971,729,34,55,115,38
"E01006761",2011,"Liverpool 020B","Total",1313,513,402,111,800,522,34,42,105,97
"E01006762",2011,"Liverpool 015E","Total",1345,598,454,144,747,503,11,33,81,119
"E01006763",2011,"Liverpool 020C","Total",1159,518,380,138,641,422,7,44,101,67
"E01006764",2011,"Liverpool 020D","Total",1214,464,328,136,750,548,11,41,93,57
"E01006765",2011,"Liverpool 020E","Total",1192,526,410,116,666,444,10,29,89,94
