"lsoa11cd","date","lsoa11nm","Rural Urban","Second Address: Any address; measures: Value","Second Address: No second address; measures: Value","Second Address: Second address (total); measures: Value","Second Address: Second address within the UK; measures: Value","Second Address: Second address outside the UK; measures: Value"
"E01006709",2011,"Liverpool 040A","Total",1438,1414,24,20,4
"E01006710",2011,"Liverpool 045D","Total",1496,1460,36,25,11
"E01006711",2011,"Liverpool 027A","Total",1538,1489,49,38,11
"E01006712",2011,"Liverpool 029D","Total",1339,1325,14,12,2
"E01006713",2011,"Liverpool 029E","Total",1377,1354,23,21,2
"E01006716",2011,"Liverpool 032E","Total",1589,1545,44,36,8
"E01006717",2011,"Liverpool 027D","Total",1436,1404,32,24,8
"E01006718",2011,"Liverpool 027E","Total",1587,1544,43,27,16
"E01006719",2011,"Liverpool 027F","Total",1535,1506,29,27,2
"E01006720",2011,"Liverpool 035A","Total",2108,1781,327,293,34
"E01006721",2011,"Liverpool 038C","Total",1655,1474,181,163,18
"E01006722",2011,"Liverpool 038D","Total",1793,1095,698,665,33
"E01006723",2011,"Liverpool 038E","Total",1875,1247,628,582,46
"E01006724",2011,"Liverpool 038F","Total",1790,966,824,792,32
"E01006725",2011,"Liverpool 035B","Total",1537,1428,109,89,20
"E01006726",2011,"Liverpool 035C","Total",1565,1266,299,278,21
"E01006727",2011,"Liverpool 035D","Total",1441,1355,86,73,13
"E01006728",2011,"Liverpool 035E","Total",1623,1488,135,123,12
"E01006729",2011,"Liverpool 008C","Total",1400,1380,20,19,1
"E01006730",2011,"Liverpool 011C","Total",1326,1306,20,16,4
"E01006731",2011,"Liverpool 011D","Total",1196,1171,25,24,1
"E01006732",2011,"Liverpool 011E","Total",1643,1614,29,23,6
"E01006734",2011,"Liverpool 005C","Total",1412,1391,21,18,3
"E01006735",2011,"Liverpool 005D","Total",1309,1291,18,14,4
"E01006736",2011,"Liverpool 005E","Total",1460,1444,16,15,1
"E01006737",2011,"Liverpool 005F","Total",1435,1408,27,22,5
"E01006738",2011,"Liverpool 058A","Total",1501,1480,21,17,4
"E01006739",2011,"Liverpool 058B","Total",1769,1751,18,13,5
"E01006740",2011,"Liverpool 057A","Total",1280,1264,16,11,5
"E01006741",2011,"Liverpool 058C","Total",1815,1790,25,23,2
"E01006742",2011,"Liverpool 057B","Total",1394,1369,25,19,6
"E01006743",2011,"Liverpool 058D","Total",2175,2106,69,57,12
"E01006744",2011,"Liverpool 057C","Total",1482,1445,37,32,5
"E01006745",2011,"Liverpool 057D","Total",1879,1818,61,46,15
"E01006746",2011,"Liverpool 030E","Total",1513,1261,252,208,44
"E01006747",2011,"Liverpool 031B","Total",3552,1555,1997,1615,382
"E01006748",2011,"Liverpool 031C","Total",1936,1161,775,620,155
"E01006751",2011,"Liverpool 031F","Total",2572,1856,716,468,248
"E01006752",2011,"Liverpool 035F","Total",1012,933,79,62,17
"E01006753",2011,"Liverpool 059A","Total",1557,1535,22,19,3
