"lsoa11cd","date","lsoa11nm","Rural Urban","Age of Arrival in UK: All categories: Age of arrival in the UK; measures: Value","Age of Arrival in UK: Born in the UK; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 0 to 4; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 5 to 7; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 8 to 9; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 10 to 14; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 15; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 16 to 17; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 18 to 19; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 20 to 24; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 25 to 29; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 30 to 44; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 45 to 59; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 60 to 64; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 65 to 74; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 75 to 84; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 85 to 89; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 90 and over; measures: Value"
"E01006697",2011,"Liverpool 030D","Total",1845,1364,49,35,16,24,5,17,27,98,82,105,20,2,1,0,0,0
"E01006698",2011,"Liverpool 012D","Total",1716,1663,15,1,2,4,1,0,3,10,6,7,3,0,1,0,0,0
"E01006699",2011,"Liverpool 014A","Total",1594,1498,18,2,3,4,2,1,1,19,26,17,3,0,0,0,0,0
"E01006700",2011,"Liverpool 012E","Total",1438,1366,14,2,0,8,1,7,3,10,9,15,3,0,0,0,0,0
"E01006701",2011,"Liverpool 014B","Total",1380,1319,6,7,3,5,2,2,6,14,7,8,1,0,0,0,0,0
"E01006702",2011,"Liverpool 014C","Total",1618,1521,7,7,3,8,6,6,4,15,25,15,1,0,0,0,0,0
"E01006703",2011,"Liverpool 014D","Total",1561,1458,6,4,0,8,6,7,3,22,21,20,6,0,0,0,0,0
"E01006705",2011,"Liverpool 009E","Total",1409,1325,9,2,1,4,1,2,9,17,23,13,3,0,0,0,0,0
"E01006706",2011,"Liverpool 045A","Total",1346,1312,5,0,2,0,0,2,3,7,5,10,0,0,0,0,0,0
"E01006707",2011,"Liverpool 045B","Total",1323,1278,7,3,0,4,1,2,3,10,4,6,5,0,0,0,0,0
"E01006708",2011,"Liverpool 045C","Total",1805,1750,9,2,3,3,0,2,4,11,8,11,0,0,2,0,0,0
"E01006709",2011,"Liverpool 040A","Total",1438,1400,7,3,2,3,1,1,4,4,7,4,2,0,0,0,0,0
"E01006710",2011,"Liverpool 045D","Total",1496,1459,13,3,0,3,1,2,1,4,6,3,1,0,0,0,0,0
"E01006711",2011,"Liverpool 027A","Total",1538,1418,14,6,7,9,3,1,11,16,18,27,8,0,0,0,0,0
"E01006712",2011,"Liverpool 029D","Total",1339,1265,17,2,3,5,1,0,2,8,16,19,1,0,0,0,0,0
"E01006713",2011,"Liverpool 029E","Total",1377,1307,12,5,2,4,0,0,4,9,15,17,2,0,0,0,0,0
"E01006716",2011,"Liverpool 032E","Total",1589,1452,18,4,4,7,3,6,6,30,29,22,6,1,1,0,0,0
"E01006717",2011,"Liverpool 027D","Total",1436,1347,13,3,1,6,5,6,11,6,17,18,3,0,0,0,0,0
