"lsoa11cd","date","lsoa11nm","Rural Urban","Adults in Household: All categories: Number of adults in household; measures: Value","Adults in Household: 1 adult in household; measures: Value","Adults in Household: 0 or multiple adults in household; measures: Value"
"E01006776",2011,"Liverpool 022B","Total",1063,301,762
"E01006778",2011,"Liverpool 014E","Total",1514,496,1018
"E01006779",2011,"Liverpool 022D","Total",1175,320,855
"E01006780",2011,"Liverpool 002D","Total",912,174,738
"E01006781",2011,"Liverpool 003A","Total",1006,144,862
"E01006782",2011,"Liverpool 003B","Total",1045,257,788
"E01006783",2011,"Liverpool 002E","Total",973,200,773
"E01006784",2011,"Liverpool 003C","Total",910,196,714
"E01006785",2011,"Liverpool 003D","Total",1129,271,858
"E01006786",2011,"Liverpool 003E","Total",1186,217,969
"E01006787",2011,"Liverpool 006A","Total",1068,334,734
"E01006788",2011,"Liverpool 006B","Total",1137,161,976
"E01006790",2011,"Liverpool 006C","Total",1041,388,653
"E01006791",2011,"Liverpool 006D","Total",1087,379,708
"E01006792",2011,"Liverpool 046A","Total",752,54,698
"E01006793",2011,"Liverpool 051A","Total",887,260,627
"E01006794",2011,"Liverpool 046B","Total",988,180,808
"E01006795",2011,"Liverpool 051B","Total",901,151,750
"E01006796",2011,"Liverpool 047E","Total",935,41,894
"E01006797",2011,"Liverpool 051C","Total",956,252,704
"E01006798",2011,"Liverpool 051D","Total",901,135,766
"E01006799",2011,"Liverpool 051E","Total",1038,413,625
"E01006800",2011,"Liverpool 046C","Total",738,142,596
"E01006801",2011,"Liverpool 046D","Total",793,80,713
"E01032505",2011,"Liverpool 050F","Total",852,161,691
"E01032506",2011,"Liverpool 050G","Total",961,239,722
"E01032507",2011,"Liverpool 050H","Total",1153,189,964
"E01032508",2011,"Liverpool 027G","Total",1122,387,735
"E01032509",2011,"Liverpool 027H","Total",924,284,640
"E01032510",2011,"Liverpool 008F","Total",1187,259,928
"E01032511",2011,"Liverpool 008G","Total",933,204,729
"E01033747",2011,"Liverpool 018F","Total",616,225,391
"E01033748",2011,"Liverpool 050I","Total",1148,383,765
"E01033749",2011,"Liverpool 042F","Total",1083,965,118
"E01033750",2011,"Liverpool 061A","Total",1319,505,814
"E01033751",2011,"Liverpool 062A","Total",864,301,563
"E01033752",2011,"Liverpool 062B","Total",1153,447,706
"E01033753",2011,"Liverpool 062C","Total",1008,419,589
"E01033754",2011,"Liverpool 061B","Total",1225,367,858
"E01033755",2011,"Liverpool 062D","Total",1035,340,695
"E01033756",2011,"Liverpool 061C","Total",1066,409,657
"E01033757",2011,"Liverpool 037E","Total",925,554,371
"E01033758",2011,"Liverpool 060B","Total",626,311,315
"E01033759",2011,"Liverpool 010F","Total",699,144,555
"E01033760",2011,"Liverpool 060C","Total",823,330,493
"E01033761",2011,"Liverpool 060D","Total",1311,421,890
"E01033762",2011,"Liverpool 060E","Total",649,250,399
"E01033763",2011,"Liverpool 031G","Total",1070,406,664
"E01033764",2011,"Liverpool 022E","Total",1363,529,834
"E01033765",2011,"Liverpool 061D","Total",893,296,597
"E01033766",2011,"Liverpool 042G","Total",852,106,746
"E01033767",2011,"Liverpool 050J","Total",709,293,416
"E01033768",2011,"Liverpool 037F","Total",1048,585,463
