"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: count of Household; All households; measures: Value","Household Composition: No adults in employment in household; measures: Value","Household Composition: No adults in employment in household: With dependent children; measures: Value","Household Composition: No adults in employment in household: No dependent children; measures: Value","Household Composition: Dependent children in household: All ages; measures: Value","Household Composition: Dependent children in household: Age 0 to 4; measures: Value","Household Composition: One person in household with a long-term health problem or disability; measures: Value","Household Composition: One person in household with a long-term health problem or disability: With dependent children; measures: Value","Household Composition: One person in household with a long-term health problem or disability: No dependent children; measures: Value"
"E01006568",2011,"Liverpool 026B","Total",629,192,36,156,212,77,168,41,127
"E01006569",2011,"Liverpool 029B","Total",613,309,36,273,144,38,241,44,197
"E01006570",2011,"Liverpool 026C","Total",595,209,24,185,187,49,163,34,129
"E01006571",2011,"Liverpool 026D","Total",612,294,48,246,178,50,229,48,181
"E01006572",2011,"Liverpool 025A","Total",501,247,80,167,186,79,195,51,144
"E01006573",2011,"Liverpool 029C","Total",778,374,71,303,205,89,282,48,234
"E01006574",2011,"Liverpool 025B","Total",612,289,53,236,195,71,240,41,199
"E01006575",2011,"Liverpool 034A","Total",578,238,25,213,153,52,200,42,158
"E01006576",2011,"Liverpool 034B","Total",713,220,18,202,213,81,177,28,149
"E01006577",2011,"Liverpool 034C","Total",597,168,5,163,194,63,142,34,108
"E01006578",2011,"Liverpool 036A","Total",554,149,17,132,181,75,143,39,104
"E01006579",2011,"Liverpool 034D","Total",618,204,10,194,209,78,175,27,148
"E01006580",2011,"Liverpool 036B","Total",515,140,3,137,170,50,112,16,96
"E01006581",2011,"Liverpool 036C","Total",607,175,9,166,199,70,130,17,113
"E01006582",2011,"Liverpool 041A","Total",585,148,7,141,225,69,116,28,88
"E01006583",2011,"Liverpool 047C","Total",467,139,6,133,153,53,91,14,77
"E01006584",2011,"Liverpool 034E","Total",611,225,15,210,172,59,168,22,146
"E01006585",2011,"Liverpool 032B","Total",641,334,42,292,150,55,280,36,244
"E01006586",2011,"Liverpool 032C","Total",921,370,38,332,214,82,286,50,236
"E01006587",2011,"Liverpool 032D","Total",717,249,30,219,178,75,208,32,176
"E01006588",2011,"Liverpool 042C","Total",702,196,13,183,118,50,186,21,165
"E01006589",2011,"Liverpool 041B","Total",599,166,2,164,204,75,163,30,133
"E01006590",2011,"Liverpool 042D","Total",701,185,14,171,132,53,162,29,133
"E01006591",2011,"Liverpool 041C","Total",671,174,16,158,185,69,150,28,122
"E01006592",2011,"Liverpool 041D","Total",624,215,7,208,158,49,168,31,137
"E01006593",2011,"Liverpool 042E","Total",662,159,11,148,143,70,131,14,117
"E01006594",2011,"Liverpool 047D","Total",579,210,9,201,151,40,148,20,128
"E01006595",2011,"Liverpool 049B","Total",812,286,28,258,184,91,226,31,195
"E01006596",2011,"Liverpool 049C","Total",597,183,9,174,149,45,154,24,130
"E01006597",2011,"Liverpool 041E","Total",683,206,12,194,184,68,159,28,131
"E01006598",2011,"Liverpool 010A","Total",604,356,82,274,202,78,259,62,197
"E01006599",2011,"Liverpool 010B","Total",482,239,94,145,202,96,152,48,104
"E01006600",2011,"Liverpool 011A","Total",592,261,50,211,178,52,242,56,186
"E01006603",2011,"Liverpool 011B","Total",594,270,43,227,166,55,237,41,196
"E01006604",2011,"Liverpool 016A","Total",571,222,35,187,162,45,209,45,164
"E01006605",2011,"Liverpool 016B","Total",696,335,48,287,187,57,284,50,234
"E01006606",2011,"Liverpool 020A","Total",723,303,50,253,186,72,238,38,200
"E01006607",2011,"Liverpool 008A","Total",641,290,73,217,206,65,243,55,188
