"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All usual residents; measures: Value","Country of Birth: United Kingdom; measures: Value","Country of Birth: England; measures: Value","Country of Birth: Northern Ireland; measures: Value","Country of Birth: Scotland; measures: Value","Country of Birth: Wales; measures: Value","Country of Birth: United Kingdom not otherwise specified; measures: Value","Country of Birth: Ireland; measures: Value","Country of Birth: Other EU; measures: Value","Country of Birth: Other EU: Member countries in March 2001; measures: Value","Country of Birth: Other EU: Accession countries April 2001 to March 2011; measures: Value","Country of Birth: Other countries; measures: Value"
"E01006637",2011,"Liverpool 017A","Total",1596,1412,1393,5,4,10,0,6,56,5,51,122
"E01006638",2011,"Liverpool 017B","Total",1219,1132,1119,1,6,6,0,0,19,3,16,68
"E01006639",2011,"Liverpool 017C","Total",1509,1450,1436,0,8,6,0,4,7,3,4,48
"E01006640",2011,"Liverpool 021F","Total",1880,1763,1737,5,9,12,0,14,28,7,21,75
"E01006641",2011,"Liverpool 025C","Total",1740,1482,1440,13,15,14,0,8,30,15,15,220
"E01006642",2011,"Liverpool 025D","Total",1290,1230,1217,3,7,3,0,9,11,4,7,40
"E01006643",2011,"Liverpool 025E","Total",1822,1719,1695,7,11,6,0,11,23,8,15,69
"E01006644",2011,"Liverpool 017D","Total",2040,1947,1922,2,13,10,0,8,24,10,14,61
"E01006645",2011,"Liverpool 017E","Total",1424,1364,1353,0,4,7,0,8,24,10,14,28
"E01006646",2011,"Liverpool 023C","Total",1899,1618,1560,20,20,17,1,20,117,39,78,144
"E01006647",2011,"Liverpool 024C","Total",1422,1350,1322,8,6,14,0,4,33,5,28,35
"E01006648",2011,"Liverpool 023D","Total",2175,1892,1790,60,18,24,0,32,104,30,74,147
"E01006651",2011,"Liverpool 001A","Total",1642,1578,1562,2,5,9,0,11,13,3,10,40
"E01006652",2011,"Liverpool 002A","Total",1505,1432,1417,2,8,5,0,11,15,4,11,47
"E01006653",2011,"Liverpool 001B","Total",1520,1463,1447,4,6,6,0,6,10,5,5,41
"E01006654",2011,"Liverpool 005A","Total",1513,1451,1436,5,4,6,0,4,13,6,7,45
"E01006655",2011,"Liverpool 001C","Total",1758,1593,1571,4,9,9,0,10,14,4,10,141
"E01006656",2011,"Liverpool 002B","Total",1493,1448,1436,5,6,1,0,16,11,3,8,18
"E01006657",2011,"Liverpool 002C","Total",1211,1178,1166,4,2,6,0,4,6,4,2,23
"E01006658",2011,"Liverpool 001D","Total",1300,1250,1239,1,5,5,0,1,18,6,12,31
"E01006659",2011,"Liverpool 005B","Total",1765,1648,1436,9,13,190,0,5,34,5,29,78
"E01006660",2011,"Liverpool 001E","Total",1433,1303,1286,0,9,8,0,7,4,1,3,119
"E01006661",2011,"Liverpool 004A","Total",1663,1575,1547,6,10,12,0,10,19,3,16,59
"E01006662",2011,"Liverpool 004B","Total",1775,1667,1643,2,9,13,0,10,32,7,25,66
"E01006663",2011,"Liverpool 004C","Total",1153,1117,1104,4,7,2,0,1,7,3,4,28
"E01006664",2011,"Liverpool 004D","Total",1795,1635,1613,5,10,7,0,7,80,12,68,73
"E01006665",2011,"Liverpool 007A","Total",1555,1503,1474,5,9,15,0,5,11,6,5,36
"E01006666",2011,"Liverpool 007B","Total",1504,1401,1382,1,7,11,0,6,18,8,10,79
"E01006667",2011,"Liverpool 007C","Total",1453,1389,1368,5,8,8,0,9,19,8,11,36
"E01006668",2011,"Liverpool 007D","Total",1534,1474,1454,5,12,3,0,3,8,7,1,49
"E01006669",2011,"Liverpool 004E","Total",1470,1356,1332,4,10,10,0,3,16,4,12,95
"E01006670",2011,"Liverpool 007E","Total",1526,1438,1419,2,9,8,0,3,32,18,14,53
"E01006671",2011,"Liverpool 013D","Total",1355,1256,1240,4,6,6,0,6,14,7,7,79
"E01006672",2011,"Liverpool 010E","Total",1955,1834,1814,4,8,8,0,1,62,2,60,58
"E01006673",2011,"Liverpool 037D","Total",1937,1255,1217,9,17,12,0,17,67,41,26,598
"E01006674",2011,"Liverpool 039C","Total",1885,1118,1101,5,8,4,0,16,44,23,21,707
"E01006675",2011,"Liverpool 043C","Total",1824,1351,1252,37,33,28,1,27,107,62,45,339
"E01006676",2011,"Liverpool 044D","Total",1753,1231,1202,12,5,12,0,11,47,18,29,464
"E01006677",2011,"Liverpool 043D","Total",1040,791,781,1,1,6,2,5,10,6,4,234
"E01006678",2011,"Liverpool 044E","Total",2127,1857,1812,16,12,17,0,14,26,15,11,230
"E01006679",2011,"Liverpool 039D","Total",2232,1252,1230,3,5,12,2,17,63,29,34,900
"E01006680",2011,"Liverpool 053B","Total",1569,1508,1476,1,15,16,0,6,13,10,3,42
"E01006681",2011,"Liverpool 054D","Total",1585,1482,1449,11,11,11,0,10,15,10,5,78
"E01006682",2011,"Liverpool 053C","Total",1310,1249,1208,12,12,17,0,20,11,8,3,30
"E01006683",2011,"Liverpool 053D","Total",1510,1448,1416,9,5,18,0,10,21,15,6,31
"E01006684",2011,"Liverpool 056B","Total",2138,2010,1945,23,19,23,0,27,32,21,11,69
"E01006685",2011,"Liverpool 056C","Total",1484,1403,1342,23,8,30,0,12,31,17,14,38
"E01006686",2011,"Liverpool 053E","Total",1433,1362,1333,4,13,12,0,9,14,11,3,48
"E01006687",2011,"Liverpool 056D","Total",1952,1756,1659,22,21,49,5,21,37,18,19,138
"E01006688",2011,"Liverpool 056E","Total",1524,1427,1379,18,8,22,0,9,45,25,20,43
"E01006689",2011,"Liverpool 049D","Total",1651,1589,1531,21,11,25,1,8,10,9,1,44
"E01006690",2011,"Liverpool 028A","Total",1492,1132,1095,21,7,9,0,29,133,26,107,198
"E01006691",2011,"Liverpool 030A","Total",1503,1013,955,32,13,13,0,14,104,14,90,372
"E01006692",2011,"Liverpool 028B","Total",2180,1804,1743,30,15,15,1,12,149,16,133,215
"E01006693",2011,"Liverpool 024D","Total",1511,1358,1325,9,15,9,0,10,32,9,23,111
"E01006694",2011,"Liverpool 030B","Total",1864,1287,1245,17,16,5,4,17,136,14,122,424
"E01006695",2011,"Liverpool 028C","Total",1821,1329,1273,16,23,17,0,31,160,28,132,301
"E01006696",2011,"Liverpool 030C","Total",1744,1349,1304,19,8,18,0,6,79,16,63,310
"E01006697",2011,"Liverpool 030D","Total",1845,1364,1320,13,11,19,1,13,121,25,96,347
"E01006698",2011,"Liverpool 012D","Total",1716,1663,1652,4,1,6,0,14,14,8,6,25
"E01006699",2011,"Liverpool 014A","Total",1594,1498,1486,6,3,3,0,7,57,5,52,32
"E01006700",2011,"Liverpool 012E","Total",1438,1366,1352,0,9,5,0,8,15,5,10,49
"E01006701",2011,"Liverpool 014B","Total",1380,1319,1302,2,8,7,0,8,16,2,14,37
"E01006702",2011,"Liverpool 014C","Total",1618,1521,1502,4,8,7,0,3,23,4,19,71
"E01006703",2011,"Liverpool 014D","Total",1561,1458,1434,5,10,9,0,15,30,7,23,58
"E01006705",2011,"Liverpool 009E","Total",1409,1325,1299,7,6,13,0,10,26,11,15,48
"E01006706",2011,"Liverpool 045A","Total",1346,1312,1292,4,7,9,0,5,4,4,0,25
"E01006707",2011,"Liverpool 045B","Total",1323,1278,1259,1,7,11,0,12,7,4,3,26
"E01006708",2011,"Liverpool 045C","Total",1805,1750,1723,12,11,4,0,9,28,11,17,18
"E01006709",2011,"Liverpool 040A","Total",1438,1400,1376,3,14,7,0,11,8,6,2,19
"E01006710",2011,"Liverpool 045D","Total",1496,1459,1429,9,13,8,0,6,8,3,5,23
"E01006711",2011,"Liverpool 027A","Total",1538,1418,1393,1,18,6,0,3,18,3,15,99
"E01006712",2011,"Liverpool 029D","Total",1339,1265,1245,6,8,6,0,8,17,6,11,49
"E01006713",2011,"Liverpool 029E","Total",1377,1307,1287,7,3,10,0,5,15,4,11,50
"E01006716",2011,"Liverpool 032E","Total",1589,1452,1425,11,5,11,0,12,28,5,23,97
"E01006717",2011,"Liverpool 027D","Total",1436,1347,1323,9,9,6,0,5,27,13,14,57
"E01006718",2011,"Liverpool 027E","Total",1587,1487,1455,10,12,10,0,12,30,6,24,58
"E01006719",2011,"Liverpool 027F","Total",1535,1494,1475,5,4,10,0,7,13,5,8,21
