"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01006588",2011,"Liverpool 042C","Total",702,42,660,40,17,2.2,5.7,2.9
"E01006589",2011,"Liverpool 041B","Total",599,11,588,5,8,2.5,6.2,3.1
"E01006590",2011,"Liverpool 042D","Total",701,53,648,34,29,2.3,5.9,3.1
"E01006591",2011,"Liverpool 041C","Total",671,39,632,23,17,2.4,6.3,3.2
"E01006592",2011,"Liverpool 041D","Total",624,11,613,18,13,2.5,7,3.5
"E01006593",2011,"Liverpool 042E","Total",662,45,617,34,18,2.3,5.9,3.1
"E01006594",2011,"Liverpool 047D","Total",579,11,568,6,3,2.4,6.8,3.5
"E01006595",2011,"Liverpool 049B","Total",812,34,778,20,13,2.1,5.5,2.9
"E01006596",2011,"Liverpool 049C","Total",597,17,580,18,12,2.4,6.3,3.2
"E01006597",2011,"Liverpool 041E","Total",683,19,664,8,9,2.4,6.6,3.3
"E01006598",2011,"Liverpool 010A","Total",604,24,580,42,23,2.3,4.9,2.7
"E01006599",2011,"Liverpool 010B","Total",482,25,457,31,19,2.3,5,2.9
"E01006600",2011,"Liverpool 011A","Total",592,25,567,26,23,2.4,5.8,3
"E01006603",2011,"Liverpool 011B","Total",594,29,565,21,24,2.3,5.5,3
"E01006604",2011,"Liverpool 016A","Total",571,36,535,24,20,2.4,5.5,3
"E01006605",2011,"Liverpool 016B","Total",696,22,674,40,37,2.2,5.2,2.7
"E01006606",2011,"Liverpool 020A","Total",723,42,681,33,19,2.1,5.2,2.8
"E01006607",2011,"Liverpool 008A","Total",641,22,619,42,21,2.4,5.3,2.9
"E01006608",2011,"Liverpool 009A","Total",563,32,531,35,20,2.2,5.4,2.8
