"lsoa11cd","date","lsoa11nm","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"E01006746",2011,"Liverpool 030E","Total",458,26,154,72,206
"E01006747",2011,"Liverpool 031B","Total",754,85,386,64,219
"E01006748",2011,"Liverpool 031C","Total",633,57,322,66,188
"E01006751",2011,"Liverpool 031F","Total",620,36,222,60,302
"E01006752",2011,"Liverpool 035F","Total",401,24,133,77,167
"E01006753",2011,"Liverpool 059A","Total",510,20,108,100,282
"E01006754",2011,"Liverpool 059B","Total",594,24,112,124,334
"E01006755",2011,"Liverpool 059C","Total",558,26,113,96,323
"E01006756",2011,"Liverpool 059D","Total",612,23,113,139,337
"E01006757",2011,"Liverpool 059E","Total",500,19,94,96,291
"E01006758",2011,"Liverpool 059F","Total",502,29,115,97,261
"E01006759",2011,"Liverpool 028D","Total",383,50,103,90,140
"E01006760",2011,"Liverpool 028E","Total",720,64,208,131,317
"E01006761",2011,"Liverpool 020B","Total",619,46,170,126,277
"E01006762",2011,"Liverpool 015E","Total",547,35,117,113,282
"E01006763",2011,"Liverpool 020C","Total",506,53,158,101,194
"E01006764",2011,"Liverpool 020D","Total",556,55,154,96,251
"E01006765",2011,"Liverpool 020E","Total",503,45,165,116,177
"E01006766",2011,"Liverpool 019E","Total",481,20,106,98,257
"E01006767",2011,"Liverpool 019F","Total",660,65,205,122,268
"E01006768",2011,"Liverpool 020F","Total",490,71,163,95,161
"E01006769",2011,"Liverpool 040B","Total",438,25,116,86,211
"E01006770",2011,"Liverpool 040C","Total",299,13,77,66,143
"E01006771",2011,"Liverpool 040D","Total",464,17,119,86,242
"E01006772",2011,"Liverpool 040E","Total",341,49,87,79,126
"E01006773",2011,"Liverpool 036D","Total",410,90,144,89,87
"E01006774",2011,"Liverpool 036E","Total",427,113,157,76,81
"E01006775",2011,"Liverpool 040F","Total",372,14,80,74,204
"E01006776",2011,"Liverpool 022B","Total",610,89,169,87,265
"E01006778",2011,"Liverpool 014E","Total",902,68,201,137,496
"E01006779",2011,"Liverpool 022D","Total",636,30,131,110,365
"E01006780",2011,"Liverpool 002D","Total",459,53,167,113,126
"E01006781",2011,"Liverpool 003A","Total",475,66,170,111,128
"E01006782",2011,"Liverpool 003B","Total",558,51,226,114,167
"E01006783",2011,"Liverpool 002E","Total",510,59,171,105,175
"E01006784",2011,"Liverpool 003C","Total",482,71,197,93,121
"E01006785",2011,"Liverpool 003D","Total",602,79,203,111,209
"E01006786",2011,"Liverpool 003E","Total",606,90,210,147,159
"E01006787",2011,"Liverpool 006A","Total",606,51,195,151,209
"E01006788",2011,"Liverpool 006B","Total",528,52,200,110,166
"E01006790",2011,"Liverpool 006C","Total",638,41,146,109,342
"E01006791",2011,"Liverpool 006D","Total",651,29,160,124,338
"E01006792",2011,"Liverpool 046A","Total",318,147,104,30,37
"E01006793",2011,"Liverpool 051A","Total",516,144,150,83,139
"E01006794",2011,"Liverpool 046B","Total",489,170,179,62,78
"E01006795",2011,"Liverpool 051B","Total",458,174,147,73,64
"E01006796",2011,"Liverpool 047E","Total",376,217,106,24,29
"E01006797",2011,"Liverpool 051C","Total",517,70,155,91,201
"E01006798",2011,"Liverpool 051D","Total",426,130,149,67,80
"E01006799",2011,"Liverpool 051E","Total",666,160,198,115,193
"E01006800",2011,"Liverpool 046C","Total",365,90,143,75,57
"E01006801",2011,"Liverpool 046D","Total",360,99,132,75,54
"E01032505",2011,"Liverpool 050F","Total",432,93,131,78,130
"E01032506",2011,"Liverpool 050G","Total",524,112,149,79,184
"E01032507",2011,"Liverpool 050H","Total",564,155,188,86,135
"E01032508",2011,"Liverpool 027G","Total",672,43,189,112,328
"E01032509",2011,"Liverpool 027H","Total",532,40,147,131,214
"E01032510",2011,"Liverpool 008F","Total",623,64,180,160,219
"E01032511",2011,"Liverpool 008G","Total",489,44,139,103,203
"E01033747",2011,"Liverpool 018F","Total",368,12,76,47,233
"E01033748",2011,"Liverpool 050I","Total",745,282,294,73,96
"E01033749",2011,"Liverpool 042F","Total",1029,29,964,17,19
"E01033750",2011,"Liverpool 061A","Total",872,348,371,77,76
"E01033751",2011,"Liverpool 062A","Total",542,181,221,45,95
"E01033752",2011,"Liverpool 062B","Total",785,319,353,49,64
"E01033753",2011,"Liverpool 062C","Total",706,304,311,46,45
"E01033754",2011,"Liverpool 061B","Total",748,238,320,64,126
"E01033755",2011,"Liverpool 062D","Total",667,243,327,38,59
"E01033756",2011,"Liverpool 061C","Total",713,243,380,30,60
"E01033757",2011,"Liverpool 037E","Total",693,63,482,24,124
"E01033758",2011,"Liverpool 060B","Total",452,38,266,41,107
"E01033759",2011,"Liverpool 010F","Total",358,35,98,77,148
"E01033760",2011,"Liverpool 060C","Total",522,119,290,32,81
"E01033761",2011,"Liverpool 060D","Total",826,247,453,52,74
"E01033762",2011,"Liverpool 060E","Total",410,86,222,31,71
"E01033763",2011,"Liverpool 031G","Total",621,49,186,69,317
"E01033764",2011,"Liverpool 022E","Total",844,47,175,123,499
"E01033765",2011,"Liverpool 061D","Total",536,103,126,81,226
"E01033766",2011,"Liverpool 042G","Total",361,125,138,41,57
"E01033767",2011,"Liverpool 050J","Total",454,40,127,73,214
"E01033768",2011,"Liverpool 037F","Total",776,140,320,59,257
