"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition (alternative child and adult defintions); measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: One person aged 65 and over; measures: Value","Household Composition: One person household: One person aged under 65; measures: Value","Household Composition: Other households: Total; measures: Value","Household Composition: Other households: No adults or one adult and one or more children; measures: Value","Household Composition: Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children; measures: Value","Household Composition: Other households: Two adults and one or two children; measures: Value","Household Composition: Other households: Two adults aged 16 to 64 and no children; measures: Value","Household Composition: Other households: Two adults and three or more children; measures: Value","Household Composition: Other households: Three or more adults and one or more children; measures: Value","Household Composition: Other households: Three or more adults and no children; measures: Value"
"E01006680",2011,"Liverpool 053B","Total",605,140,89,51,465,15,92,89,86,11,43,129
"E01006681",2011,"Liverpool 054D","Total",719,276,107,169,443,34,87,73,101,10,32,106
"E01006682",2011,"Liverpool 053C","Total",498,96,58,38,402,16,87,76,77,15,33,98
"E01006683",2011,"Liverpool 053D","Total",594,136,80,56,458,12,97,89,96,13,44,107
"E01006684",2011,"Liverpool 056B","Total",999,361,106,255,638,40,104,126,222,20,34,92
"E01006685",2011,"Liverpool 056C","Total",604,181,88,93,423,17,85,67,96,18,21,119
"E01006686",2011,"Liverpool 053E","Total",531,122,77,45,409,14,84,52,78,18,45,118
"E01006687",2011,"Liverpool 056D","Total",933,391,149,242,542,32,92,116,166,14,22,100
"E01006688",2011,"Liverpool 056E","Total",712,282,84,198,430,30,83,78,113,12,22,92
"E01006689",2011,"Liverpool 049D","Total",717,228,98,130,489,21,91,103,133,16,34,91
"E01006690",2011,"Liverpool 028A","Total",801,436,57,379,365,63,36,46,116,2,22,80
"E01006691",2011,"Liverpool 030A","Total",647,247,59,188,400,75,42,67,76,20,22,98
"E01006692",2011,"Liverpool 028B","Total",989,400,94,306,589,80,78,101,158,20,54,98
"E01006693",2011,"Liverpool 024D","Total",838,463,182,281,375,33,102,50,73,3,29,85
"E01006694",2011,"Liverpool 030B","Total",891,375,65,310,516,111,59,76,119,19,37,95
"E01006695",2011,"Liverpool 028C","Total",1029,637,58,579,392,78,30,48,113,8,40,75
"E01006696",2011,"Liverpool 030C","Total",768,290,78,212,478,75,50,75,118,23,36,101
"E01006697",2011,"Liverpool 030D","Total",828,319,68,251,509,91,57,78,124,21,34,104
"E01006698",2011,"Liverpool 012D","Total",725,244,70,174,481,86,57,77,97,23,32,109
"E01006699",2011,"Liverpool 014A","Total",777,322,78,244,455,94,66,72,115,13,22,73
"E01006700",2011,"Liverpool 012E","Total",653,265,61,204,388,56,58,61,84,12,36,81
"E01006701",2011,"Liverpool 014B","Total",671,290,80,210,381,50,55,51,100,5,27,93
"E01006702",2011,"Liverpool 014C","Total",740,263,84,179,477,97,69,71,120,15,24,81
"E01006703",2011,"Liverpool 014D","Total",818,447,114,333,371,51,56,48,101,13,26,76
"E01006705",2011,"Liverpool 009E","Total",689,299,57,242,390,76,45,53,103,11,25,77
"E01006706",2011,"Liverpool 045A","Total",582,186,77,109,396,65,79,50,69,9,39,85
"E01006707",2011,"Liverpool 045B","Total",553,163,89,74,390,51,84,46,84,16,31,78
"E01006708",2011,"Liverpool 045C","Total",754,249,96,153,505,52,76,99,126,17,50,85
"E01006709",2011,"Liverpool 040A","Total",685,293,118,175,392,44,67,58,93,7,33,90
"E01006710",2011,"Liverpool 045D","Total",592,136,67,69,456,73,68,59,95,12,43,106
"E01006711",2011,"Liverpool 027A","Total",685,277,83,194,408,62,55,77,89,12,44,69
"E01006712",2011,"Liverpool 029D","Total",569,194,68,126,375,47,47,82,101,22,20,56
"E01006713",2011,"Liverpool 029E","Total",604,196,95,101,408,45,54,84,108,13,25,79
"E01006716",2011,"Liverpool 032E","Total",701,285,71,214,416,91,42,71,116,13,28,55
"E01006717",2011,"Liverpool 027D","Total",576,168,67,101,408,38,56,57,83,11,53,110
"E01006718",2011,"Liverpool 027E","Total",678,245,86,159,433,35,63,79,98,16,39,103
"E01006719",2011,"Liverpool 027F","Total",638,193,69,124,445,63,61,80,97,15,43,86
"E01006720",2011,"Liverpool 035A","Total",905,361,73,288,544,89,22,80,141,38,35,139
"E01006721",2011,"Liverpool 038C","Total",912,453,136,317,459,115,33,53,173,6,16,63
"E01006722",2011,"Liverpool 038D","Total",608,155,56,99,453,33,18,33,81,14,23,251
"E01006723",2011,"Liverpool 038E","Total",749,264,63,201,485,31,41,39,112,9,27,226
"E01006724",2011,"Liverpool 038F","Total",554,113,36,77,441,13,37,25,78,8,24,256
"E01006725",2011,"Liverpool 035B","Total",739,308,84,224,431,62,54,71,121,9,21,93
"E01006726",2011,"Liverpool 035C","Total",659,226,50,176,433,56,38,43,116,14,18,148
"E01006727",2011,"Liverpool 035D","Total",665,238,63,175,427,56,48,57,136,12,27,91
"E01006728",2011,"Liverpool 035E","Total",855,399,103,296,456,104,40,65,161,14,16,56
"E01006729",2011,"Liverpool 008C","Total",539,121,74,47,418,97,49,56,79,24,37,76
"E01006730",2011,"Liverpool 011C","Total",542,165,90,75,377,56,54,51,70,16,40,90
"E01006731",2011,"Liverpool 011D","Total",486,142,61,81,344,51,53,53,64,14,34,75
"E01006732",2011,"Liverpool 011E","Total",644,170,69,101,474,117,72,62,70,26,45,82
"E01006734",2011,"Liverpool 005C","Total",625,187,79,108,438,135,57,47,85,13,21,80
"E01006735",2011,"Liverpool 005D","Total",571,207,71,136,364,71,48,57,67,11,32,78
"E01006736",2011,"Liverpool 005E","Total",582,158,57,101,424,59,55,71,80,7,42,110
"E01006737",2011,"Liverpool 005F","Total",562,142,62,80,420,55,64,71,71,8,50,101
"E01006738",2011,"Liverpool 058A","Total",662,220,97,123,442,77,65,64,101,15,36,84
"E01006739",2011,"Liverpool 058B","Total",707,225,91,134,482,84,56,87,92,24,57,82
"E01006740",2011,"Liverpool 057A","Total",604,273,83,190,331,58,41,46,78,27,22,59
"E01006741",2011,"Liverpool 058C","Total",778,251,105,146,527,73,88,87,115,7,44,113
"E01006742",2011,"Liverpool 057B","Total",591,195,75,120,396,29,68,73,88,14,30,94
"E01006743",2011,"Liverpool 058D","Total",1008,385,99,286,623,99,58,129,181,17,42,97
"E01006744",2011,"Liverpool 057C","Total",739,321,81,240,418,72,58,65,117,14,25,67
"E01006745",2011,"Liverpool 057D","Total",907,407,65,342,500,105,54,83,126,9,33,90
"E01006746",2011,"Liverpool 030E","Total",655,216,88,128,439,47,89,36,82,11,28,146
"E01006747",2011,"Liverpool 031B","Total",857,460,69,391,397,21,28,55,147,1,16,129
"E01006748",2011,"Liverpool 031C","Total",756,239,75,164,517,40,39,37,99,7,20,275
"E01006751",2011,"Liverpool 031F","Total",831,301,118,183,530,73,62,80,115,11,48,141
"E01006752",2011,"Liverpool 035F","Total",489,232,54,178,257,40,30,35,71,5,25,51
"E01006753",2011,"Liverpool 059A","Total",666,211,75,136,455,97,65,63,97,18,39,76
"E01006754",2011,"Liverpool 059B","Total",781,322,110,212,459,88,65,65,112,8,44,77
"E01006755",2011,"Liverpool 059C","Total",690,257,76,181,433,112,43,65,93,13,37,70
"E01006756",2011,"Liverpool 059D","Total",757,220,66,154,537,135,63,94,97,14,43,91
"E01006757",2011,"Liverpool 059E","Total",621,203,73,130,418,85,42,79,83,23,34,72
"E01006758",2011,"Liverpool 059F","Total",639,199,71,128,440,97,50,65,88,14,37,89
"E01006759",2011,"Liverpool 028D","Total",460,180,41,139,280,40,31,45,59,9,26,70
"E01006760",2011,"Liverpool 028E","Total",826,498,70,428,328,38,20,47,96,8,22,97
"E01006761",2011,"Liverpool 020B","Total",793,383,98,285,410,71,64,59,89,10,34,83
"E01006762",2011,"Liverpool 015E","Total",725,226,80,146,499,76,80,64,113,17,46,103
"E01006763",2011,"Liverpool 020C","Total",652,217,72,145,435,80,65,62,116,11,37,64
"E01006764",2011,"Liverpool 020D","Total",667,259,47,212,408,63,54,47,95,16,51,82
"E01006765",2011,"Liverpool 020E","Total",659,243,85,158,416,56,60,71,104,10,36,79
"E01006766",2011,"Liverpool 019E","Total",574,232,49,183,342,79,33,60,63,16,23,68
"E01006767",2011,"Liverpool 019F","Total",779,294,64,230,485,79,46,105,107,20,25,103
"E01006768",2011,"Liverpool 020F","Total",587,234,37,197,353,23,51,43,79,11,38,108
"E01006769",2011,"Liverpool 040B","Total",712,401,199,202,311,55,73,42,69,11,20,41
"E01006770",2011,"Liverpool 040C","Total",445,160,77,83,285,40,59,45,56,7,29,49
"E01006771",2011,"Liverpool 040D","Total",694,296,141,155,398,61,71,55,90,11,26,84
"E01006772",2011,"Liverpool 040E","Total",480,168,81,87,312,29,58,41,74,6,30,74
"E01006773",2011,"Liverpool 036D","Total",554,114,48,66,440,24,81,98,109,7,27,94
"E01006774",2011,"Liverpool 036E","Total",552,124,62,62,428,17,59,95,97,10,50,100
"E01006775",2011,"Liverpool 040F","Total",556,165,82,83,391,38,86,42,81,13,37,94
"E01006776",2011,"Liverpool 022B","Total",844,386,154,232,458,61,73,63,151,2,36,72
"E01006778",2011,"Liverpool 014E","Total",1124,496,132,364,628,108,70,78,211,8,39,114
"E01006779",2011,"Liverpool 022D","Total",902,334,160,174,568,118,86,67,135,12,41,109
"E01006780",2011,"Liverpool 002D","Total",619,191,80,111,428,48,69,76,100,8,37,90
"E01006781",2011,"Liverpool 003A","Total",600,163,60,103,437,29,58,95,102,8,36,109
"E01006782",2011,"Liverpool 003B","Total",691,271,79,192,420,53,44,84,103,9,29,98
"E01006783",2011,"Liverpool 002E","Total",645,199,73,126,446,56,54,89,98,20,33,96
"E01006784",2011,"Liverpool 003C","Total",586,209,57,152,377,36,40,84,96,11,30,80
"E01006785",2011,"Liverpool 003D","Total",781,275,87,188,506,65,75,86,111,15,42,112
"E01006786",2011,"Liverpool 003E","Total",764,237,67,170,527,34,80,115,135,21,41,101
"E01006787",2011,"Liverpool 006A","Total",691,312,43,269,379,57,39,60,87,12,43,81
"E01006788",2011,"Liverpool 006B","Total",681,137,62,75,544,70,74,109,102,22,44,123
"E01006790",2011,"Liverpool 006C","Total",801,350,108,242,451,116,47,71,110,8,23,76
"E01006791",2011,"Liverpool 006D","Total",873,418,127,291,455,65,79,67,124,9,27,84
"E01006792",2011,"Liverpool 046A","Total",557,138,100,38,419,13,121,74,70,6,38,97
