"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All families in households; measures: Value","Family Type: No dependent children in family; measures: Value","Family Type: One dependent child in family aged 0 to 4; measures: Value","Family Type: One dependent child in family aged 5 to 11; measures: Value","Family Type: One dependent child in family aged 12 to 18; measures: Value","Family Type: Two dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Two dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Two dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Three or more dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Three or more dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Three or more dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Total dependent children; measures: Value"
"E01006726",2011,"Liverpool 035C","Total",314,164,24,22,35,18,14,6,21,9,1,271
"E01006727",2011,"Liverpool 035D","Total",386,225,45,16,31,22,17,13,9,8,0,261
"E01006728",2011,"Liverpool 035E","Total",401,182,50,43,56,27,16,5,17,3,2,323
"E01006729",2011,"Liverpool 008C","Total",418,183,26,35,45,36,32,8,36,14,3,440
"E01006730",2011,"Liverpool 011C","Total",368,176,20,21,60,12,29,16,24,8,2,334
"E01006731",2011,"Liverpool 011D","Total",348,178,22,27,40,18,23,11,18,11,0,292
"E01006732",2011,"Liverpool 011E","Total",479,204,48,26,48,30,40,18,49,13,3,533
"E01006734",2011,"Liverpool 005C","Total",426,184,49,37,47,40,23,15,13,18,0,399
"E01006735",2011,"Liverpool 005D","Total",364,169,37,23,47,24,24,11,18,9,2,327
"E01006736",2011,"Liverpool 005E","Total",413,203,34,27,49,19,26,23,20,10,2,354
"E01006737",2011,"Liverpool 005F","Total",415,211,26,32,45,27,29,21,10,8,6,342
"E01006738",2011,"Liverpool 058A","Total",442,224,42,27,41,32,30,13,15,15,3,370
"E01006739",2011,"Liverpool 058B","Total",481,207,40,37,67,39,23,16,29,21,2,481
"E01006740",2011,"Liverpool 057A","Total",315,142,31,25,39,13,16,10,13,25,1,310
"E01006741",2011,"Liverpool 058C","Total",514,270,31,36,58,32,47,9,20,9,2,404
"E01006742",2011,"Liverpool 057B","Total",391,220,28,21,38,29,19,13,15,5,3,288
"E01006743",2011,"Liverpool 058D","Total",600,285,65,52,66,49,33,14,21,13,2,501
"E01006744",2011,"Liverpool 057C","Total",409,218,41,30,33,32,24,8,20,1,2,305
"E01006745",2011,"Liverpool 057D","Total",489,238,58,43,45,34,26,10,16,16,3,407
"E01006746",2011,"Liverpool 030E","Total",347,203,19,23,40,20,17,7,10,6,2,237
"E01006747",2011,"Liverpool 031B","Total",248,145,23,15,24,21,7,6,1,5,1,153
"E01006748",2011,"Liverpool 031C","Total",268,152,19,13,34,18,14,3,8,6,1,189
"E01006751",2011,"Liverpool 031F","Total",448,212,34,39,48,35,22,20,18,16,4,424
"E01006752",2011,"Liverpool 035F","Total",239,121,16,20,27,18,17,7,12,1,0,196
"E01006753",2011,"Liverpool 059A","Total",448,209,53,40,36,29,23,16,30,12,0,419
"E01006754",2011,"Liverpool 059B","Total",431,209,49,27,48,26,27,16,16,7,6,360
"E01006755",2011,"Liverpool 059C","Total",428,184,36,46,48,32,26,9,28,19,0,429
"E01006756",2011,"Liverpool 059D","Total",533,223,67,36,56,42,41,17,34,14,3,531
"E01006757",2011,"Liverpool 059E","Total",415,168,37,34,49,47,18,17,28,14,3,456
"E01006758",2011,"Liverpool 059F","Total",434,198,52,22,43,33,28,17,24,13,4,420
"E01006759",2011,"Liverpool 028D","Total",262,127,22,13,35,19,23,7,6,10,0,232
"E01006760",2011,"Liverpool 028E","Total",278,150,33,9,30,7,17,13,11,8,0,215
"E01006761",2011,"Liverpool 020B","Total",398,206,38,35,36,24,28,9,9,13,0,310
