"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006610",2011,"Liverpool 009C","Total",669,283,134,149,348,25,126,37,50,39,45,24,18,3,152,114,38,38,13,0,3,22
"E01006611",2011,"Liverpool 012A","Total",742,411,82,329,305,20,85,36,32,17,46,16,28,2,154,112,42,26,7,0,4,15
"E01006612",2011,"Liverpool 008B","Total",740,346,124,222,353,39,123,33,44,46,54,22,28,4,137,92,45,41,16,0,2,23
"E01006613",2011,"Liverpool 009D","Total",611,240,114,126,331,43,154,45,54,55,40,11,23,6,94,55,39,40,19,2,4,15
"E01006614",2011,"Liverpool 012B","Total",667,292,67,225,348,34,117,42,41,34,67,29,32,6,130,86,44,27,7,0,2,18
"E01006615",2011,"Liverpool 012C","Total",663,279,72,207,362,22,108,34,41,33,68,41,24,3,164,124,40,22,6,0,0,16
"E01006616",2011,"Liverpool 015D","Total",613,207,88,119,363,33,160,44,68,48,55,21,29,5,115,58,57,43,13,0,3,27
"E01006617",2011,"Liverpool 021A","Total",650,211,69,142,402,57,182,57,79,46,69,41,24,4,94,55,39,37,12,0,1,24
"E01006618",2011,"Liverpool 016C","Total",692,212,132,80,425,60,198,49,82,67,43,16,22,5,124,53,71,55,20,0,5,30
"E01006619",2011,"Liverpool 021B","Total",734,256,89,167,436,72,215,74,98,43,61,35,23,3,88,52,36,42,18,2,1,21
"E01006620",2011,"Liverpool 021C","Total",625,229,145,84,365,66,208,64,86,58,30,16,13,1,61,34,27,31,13,0,2,16
"E01006621",2011,"Liverpool 021D","Total",584,163,88,75,377,62,252,72,103,77,25,10,14,1,38,21,17,44,18,2,4,20
"E01006622",2011,"Liverpool 021E","Total",586,129,76,53,434,70,275,81,123,71,43,12,25,6,46,25,21,23,9,0,2,12
"E01006623",2011,"Liverpool 013A","Total",527,69,32,37,435,61,304,98,124,82,21,8,12,1,49,26,23,23,13,0,1,9
"E01006624",2011,"Liverpool 013B","Total",702,268,90,178,375,41,173,57,69,47,55,25,27,3,106,71,35,59,21,1,5,32
"E01006625",2011,"Liverpool 016D","Total",609,185,114,71,392,64,210,65,91,54,37,16,18,3,81,55,26,32,15,0,3,14
"E01006626",2011,"Liverpool 016E","Total",593,173,101,72,372,51,226,62,91,73,39,16,18,5,56,27,29,48,25,0,4,19
"E01006627",2011,"Liverpool 013C","Total",600,195,88,107,374,42,186,52,78,56,67,32,31,4,79,40,39,31,18,0,2,11
"E01006628",2011,"Liverpool 052D","Total",651,200,77,123,367,35,178,59,82,37,82,58,24,0,72,44,28,84,17,8,3,56
"E01006629",2011,"Liverpool 052E","Total",573,203,79,124,318,38,156,54,49,53,61,35,23,3,63,37,26,52,9,2,5,36
"E01006630",2011,"Liverpool 044B","Total",555,166,45,121,323,17,87,33,39,15,38,8,25,5,181,123,58,66,32,1,4,29
"E01006632",2011,"Liverpool 044C","Total",884,344,83,261,459,39,151,52,66,33,64,37,26,1,205,131,74,81,24,3,3,51
"E01006633",2011,"Liverpool 050B","Total",699,317,145,172,322,22,86,36,28,22,48,18,30,0,166,103,63,60,29,0,4,27
"E01006637",2011,"Liverpool 017A","Total",670,208,66,142,413,23,135,41,65,29,62,25,32,5,193,155,38,49,25,0,1,23
"E01006638",2011,"Liverpool 017B","Total",518,161,60,101,320,22,107,24,51,32,46,15,24,7,145,103,42,37,21,1,1,14
"E01006639",2011,"Liverpool 017C","Total",640,199,71,128,406,33,183,51,84,48,66,23,42,1,124,86,38,35,16,0,3,16
"E01006640",2011,"Liverpool 021F","Total",760,217,91,126,497,62,282,74,147,61,60,33,26,1,93,56,37,46,20,0,3,23
"E01006641",2011,"Liverpool 025C","Total",633,154,17,137,446,11,238,65,150,23,103,44,54,5,94,73,21,33,18,1,0,14
"E01006642",2011,"Liverpool 025D","Total",590,219,81,138,327,25,98,33,37,28,53,15,36,2,151,106,45,44,19,0,6,19
"E01006643",2011,"Liverpool 025E","Total",740,198,57,141,494,28,170,50,89,31,88,34,48,6,208,142,66,48,29,0,3,16
"E01006644",2011,"Liverpool 017D","Total",963,404,114,290,489,39,187,52,87,48,92,45,42,5,171,119,52,70,33,1,3,33
"E01006645",2011,"Liverpool 017E","Total",690,299,138,161,341,37,108,35,39,34,27,9,15,3,169,117,52,50,24,0,4,22
"E01006646",2011,"Liverpool 023C","Total",1006,503,94,409,400,17,137,58,50,29,98,77,16,5,148,100,48,103,33,14,7,49
"E01006647",2011,"Liverpool 024C","Total",636,242,92,150,347,22,104,30,49,25,34,8,22,4,187,138,49,47,18,0,9,20
"E01006648",2011,"Liverpool 023D","Total",1075,428,125,303,453,26,155,49,56,50,89,65,19,5,183,107,76,194,18,38,4,134
"E01006651",2011,"Liverpool 001A","Total",592,103,27,76,459,14,295,78,165,52,67,27,37,3,83,60,23,30,17,0,0,13
"E01006652",2011,"Liverpool 002A","Total",633,193,67,126,401,41,195,58,83,54,63,25,34,4,102,71,31,39,13,1,4,21
"E01006653",2011,"Liverpool 001B","Total",656,203,74,129,413,43,171,50,92,29,60,27,29,4,139,72,67,40,17,1,4,18
"E01006654",2011,"Liverpool 005A","Total",627,217,98,119,379,30,221,61,104,56,52,28,19,5,76,60,16,31,16,0,1,14
"E01006655",2011,"Liverpool 001C","Total",706,194,88,106,463,37,211,64,90,57,75,22,45,8,140,77,63,49,18,0,4,27
"E01006656",2011,"Liverpool 002B","Total",669,222,69,153,413,34,186,62,69,55,75,41,33,1,118,80,38,34,10,2,4,18
