"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01006717",2011,"Liverpool 027D","Total",708,60,163,435,50,356,18,46,255,37,352,42,117,180,13
"E01006718",2011,"Liverpool 027E","Total",717,37,177,462,41,362,16,54,262,30,355,21,123,200,11
"E01006719",2011,"Liverpool 027F","Total",701,55,184,403,59,354,22,53,231,48,347,33,131,172,11
"E01006720",2011,"Liverpool 035A","Total",771,112,189,415,55,415,46,94,239,36,356,66,95,176,19
"E01006721",2011,"Liverpool 038C","Total",643,88,158,347,50,328,43,60,190,35,315,45,98,157,15
"E01006722",2011,"Liverpool 038D","Total",729,171,189,329,40,409,72,106,198,33,320,99,83,131,7
"E01006723",2011,"Liverpool 038E","Total",717,145,183,349,40,397,64,87,217,29,320,81,96,132,11
"E01006724",2011,"Liverpool 038F","Total",675,177,140,311,47,312,53,54,179,26,363,124,86,132,21
"E01006725",2011,"Liverpool 035B","Total",691,74,144,417,56,355,33,47,232,43,336,41,97,185,13
"E01006726",2011,"Liverpool 035C","Total",686,121,150,362,53,344,48,58,201,37,342,73,92,161,16
"E01006727",2011,"Liverpool 035D","Total",745,65,167,457,56,389,23,65,260,41,356,42,102,197,15
"E01006728",2011,"Liverpool 035E","Total",627,66,137,382,42,321,29,40,220,32,306,37,97,162,10
"E01006729",2011,"Liverpool 008C","Total",473,45,155,245,28,208,18,31,139,20,265,27,124,106,8
"E01006730",2011,"Liverpool 011C","Total",461,33,125,277,26,210,13,22,153,22,251,20,103,124,4
"E01006731",2011,"Liverpool 011D","Total",426,37,100,263,26,221,12,30,159,20,205,25,70,104,6
"E01006732",2011,"Liverpool 011E","Total",478,47,152,253,26,215,16,33,142,24,263,31,119,111,2
"E01006734",2011,"Liverpool 005C","Total",454,28,155,249,22,218,10,50,141,17,236,18,105,108,5
"E01006735",2011,"Liverpool 005D","Total",455,41,137,254,23,221,8,31,164,18,234,33,106,90,5
"E01006736",2011,"Liverpool 005E","Total",569,41,144,348,36,279,11,44,201,23,290,30,100,147,13
"E01006737",2011,"Liverpool 005F","Total",522,39,150,310,23,231,8,43,163,17,291,31,107,147,6
"E01006738",2011,"Liverpool 058A","Total",571,54,151,331,35,269,18,32,194,25,302,36,119,137,10
"E01006739",2011,"Liverpool 058B","Total",615,41,170,377,27,292,10,40,219,23,323,31,130,158,4
"E01006740",2011,"Liverpool 057A","Total",428,27,116,264,21,228,6,23,183,16,200,21,93,81,5
"E01006741",2011,"Liverpool 058C","Total",673,42,173,417,41,335,13,42,250,30,338,29,131,167,11
