"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006637",2011,"Liverpool 017A","Total",1596,1230,1211,1,0,0,17,1,0,274,92
"E01006638",2011,"Liverpool 017B","Total",1219,942,918,6,0,0,16,0,2,215,62
"E01006639",2011,"Liverpool 017C","Total",1509,1228,1205,1,10,4,4,0,4,187,94
"E01006640",2011,"Liverpool 021F","Total",1880,1614,1566,6,7,0,34,0,1,175,91
"E01006641",2011,"Liverpool 025C","Total",1740,1386,1359,1,9,1,13,0,3,229,125
"E01006642",2011,"Liverpool 025D","Total",1290,984,979,1,0,2,1,1,0,211,95
"E01006643",2011,"Liverpool 025E","Total",1822,1451,1431,2,5,0,9,0,4,283,88
"E01006644",2011,"Liverpool 017D","Total",2040,1620,1584,6,4,2,20,0,4,302,118
"E01006645",2011,"Liverpool 017E","Total",1424,1126,1118,4,0,1,3,0,0,185,113
"E01006646",2011,"Liverpool 023C","Total",1899,1401,1294,16,16,2,70,1,2,326,172
"E01006647",2011,"Liverpool 024C","Total",1422,1154,1122,7,0,0,25,0,0,169,99
"E01006648",2011,"Liverpool 023D","Total",2175,1742,1635,4,24,2,67,2,8,311,122
"E01006651",2011,"Liverpool 001A","Total",1642,1385,1361,3,4,0,12,0,5,175,82
"E01006652",2011,"Liverpool 002A","Total",1505,1203,1182,1,0,0,16,0,4,192,110
"E01006653",2011,"Liverpool 001B","Total",1520,1289,1278,3,5,1,0,0,2,151,80
"E01006654",2011,"Liverpool 005A","Total",1513,1225,1215,0,6,3,0,0,1,207,81
"E01006655",2011,"Liverpool 001C","Total",1758,1468,1423,5,17,0,21,1,1,201,89
"E01006656",2011,"Liverpool 002B","Total",1493,1193,1169,2,0,4,9,0,9,210,90
"E01006657",2011,"Liverpool 002C","Total",1211,979,970,0,0,0,4,0,5,165,67
"E01006658",2011,"Liverpool 001D","Total",1300,1044,1024,3,1,0,13,0,3,188,68
"E01006659",2011,"Liverpool 005B","Total",1765,1258,1199,4,4,3,26,4,18,410,97
"E01006660",2011,"Liverpool 001E","Total",1433,1237,1222,4,3,0,7,0,1,126,70
"E01006661",2011,"Liverpool 004A","Total",1663,1394,1377,9,0,0,6,0,2,181,88
"E01006662",2011,"Liverpool 004B","Total",1775,1488,1467,0,3,3,14,0,1,185,102
"E01006663",2011,"Liverpool 004C","Total",1153,979,972,3,0,0,3,0,1,116,58
"E01006664",2011,"Liverpool 004D","Total",1795,1495,1462,3,0,0,26,0,4,215,85
"E01006665",2011,"Liverpool 007A","Total",1555,1348,1330,2,8,0,7,0,1,135,72
"E01006666",2011,"Liverpool 007B","Total",1504,1279,1231,6,13,0,23,2,4,155,70
"E01006667",2011,"Liverpool 007C","Total",1453,1217,1199,8,0,1,5,0,4,161,75
"E01006668",2011,"Liverpool 007D","Total",1534,1298,1263,6,6,1,21,0,1,167,69
"E01006669",2011,"Liverpool 004E","Total",1470,1239,1185,9,17,1,27,0,0,156,75
