"lsoa11cd","date","lsoa11nm","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"E01033756",2011,"Liverpool 061C","Total",733,9,319,343,47,7,8
"E01033757",2011,"Liverpool 037E","Total",715,17,330,201,57,15,95
"E01033758",2011,"Liverpool 060B","Total",475,2,255,129,48,9,32
"E01033759",2011,"Liverpool 010F","Total",480,1,25,49,388,15,2
"E01033760",2011,"Liverpool 060C","Total",529,3,296,110,33,28,59
"E01033761",2011,"Liverpool 060D","Total",832,5,259,509,36,7,16
"E01033762",2011,"Liverpool 060E","Total",456,4,187,163,67,8,27
"E01033763",2011,"Liverpool 031G","Total",820,6,289,230,214,43,38
"E01033764",2011,"Liverpool 022E","Total",1172,2,226,409,446,85,4
"E01033765",2011,"Liverpool 061D","Total",659,2,58,319,217,56,7
"E01033766",2011,"Liverpool 042G","Total",424,0,14,90,208,82,30
"E01033767",2011,"Liverpool 050J","Total",562,1,45,365,117,30,4
"E01033768",2011,"Liverpool 037F","Total",835,8,487,243,54,26,17
