"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01006605",2011,"Liverpool 016B","Total",586,80,208,125,32,12,5,11,12,40,61,5942.1,12.3
"E01006606",2011,"Liverpool 020A","Total",670,86,267,134,57,15,9,11,13,27,51,6569.7,11.1
"E01006607",2011,"Liverpool 008A","Total",578,69,223,131,50,14,2,6,8,17,58,4672.7,9.3
"E01006608",2011,"Liverpool 009A","Total",559,99,181,102,53,17,6,8,15,26,52,5681.9,11.8
"E01006609",2011,"Liverpool 009B","Total",553,84,211,94,49,13,4,10,15,26,47,6054.1,12.6
"E01006610",2011,"Liverpool 009C","Total",545,89,203,98,38,21,6,12,9,22,47,5052.9,10.6
"E01006611",2011,"Liverpool 012A","Total",473,70,200,80,39,20,3,5,11,7,38,5431.8,12.7
"E01006612",2011,"Liverpool 008B","Total",536,71,180,151,45,12,3,10,8,12,44,4531.8,9.4
"E01006613",2011,"Liverpool 009D","Total",491,70,202,75,37,9,5,5,11,22,55,4807.4,11.6
"E01006614",2011,"Liverpool 012B","Total",551,93,231,95,26,9,8,5,12,13,59,5798.5,12.1
"E01006615",2011,"Liverpool 012C","Total",562,92,251,73,31,11,3,9,13,22,57,5050.1,10.5
"E01006616",2011,"Liverpool 015D","Total",588,82,241,96,41,13,6,11,15,33,50,6048.3,12
"E01006617",2011,"Liverpool 021A","Total",768,114,195,224,52,22,9,19,19,51,63,8462.1,12.9
"E01006618",2011,"Liverpool 016C","Total",667,97,196,189,51,11,10,12,13,30,58,6046.5,10.4
"E01006619",2011,"Liverpool 021B","Total",767,120,146,269,50,21,7,15,26,51,62,9319.1,14.2
"E01006620",2011,"Liverpool 021C","Total",618,94,94,262,30,5,11,10,19,49,44,7507.7,14.3
"E01006621",2011,"Liverpool 021D","Total",692,101,134,232,38,21,11,27,16,72,40,8000.4,13.8
"E01006622",2011,"Liverpool 021E","Total",772,126,155,276,43,29,5,19,20,57,42,9183.1,13.6
"E01006623",2011,"Liverpool 013A","Total",779,72,180,285,68,19,13,14,19,49,60,8669.9,12.9
"E01006624",2011,"Liverpool 013B","Total",667,65,163,236,53,11,9,8,17,45,60,7201.3,12.8
"E01006625",2011,"Liverpool 016D","Total",660,68,153,235,57,16,4,10,19,45,53,9006.1,16
"E01006626",2011,"Liverpool 016E","Total",710,87,177,259,57,17,7,8,14,45,39,7527.6,12
"E01006627",2011,"Liverpool 013C","Total",683,85,152,253,44,14,9,17,15,41,53,6936.7,11.8
"E01006628",2011,"Liverpool 052D","Total",874,71,315,184,81,22,10,30,25,66,70,11162.7,15.1
"E01006629",2011,"Liverpool 052E","Total",621,63,223,126,51,28,11,15,9,47,48,6059.9,11.5
"E01006630",2011,"Liverpool 044B","Total",406,100,147,64,24,9,0,2,8,21,31,3514,9.9
"E01006632",2011,"Liverpool 044C","Total",670,120,259,112,46,11,1,8,15,43,55,6835.2,11.9
"E01006633",2011,"Liverpool 050B","Total",412,82,151,91,33,4,2,2,7,9,31,3464.2,9.3
"E01006637",2011,"Liverpool 017A","Total",552,65,122,206,48,16,5,7,12,30,41,5712.4,11.9
"E01006638",2011,"Liverpool 017B","Total",371,86,72,127,18,8,2,8,4,13,33,2872.7,8.8
"E01006639",2011,"Liverpool 017C","Total",705,92,114,302,68,18,6,6,12,35,52,6519.8,10.5
"E01006640",2011,"Liverpool 021F","Total",870,110,162,351,60,15,10,17,27,45,73,11434.4,15.2
"E01006641",2011,"Liverpool 025C","Total",899,79,176,350,82,29,11,11,22,63,76,10599.5,13.9
"E01006642",2011,"Liverpool 025D","Total",442,80,90,154,31,5,9,4,8,21,40,4446.2,11.7
"E01006643",2011,"Liverpool 025E","Total",674,82,134,263,54,8,6,12,15,31,69,8142.9,14.2
"E01006644",2011,"Liverpool 017D","Total",850,100,174,342,71,13,14,13,29,34,60,11584.3,15.3
"E01006645",2011,"Liverpool 017E","Total",435,46,89,169,29,7,5,5,12,30,43,5244.5,14.5
"E01006646",2011,"Liverpool 023C","Total",757,252,165,108,54,49,11,10,16,37,55,8624.6,13
"E01006647",2011,"Liverpool 024C","Total",337,88,123,42,14,15,2,1,7,13,32,2971.1,10.2
"E01006648",2011,"Liverpool 023D","Total",933,387,142,114,77,32,19,24,17,32,89,9696,11.9
"E01006651",2011,"Liverpool 001A","Total",920,155,144,282,98,33,18,26,24,54,86,12214.1,15.7
"E01006652",2011,"Liverpool 002A","Total",733,189,95,229,68,21,6,14,17,48,46,7657.5,12
"E01006653",2011,"Liverpool 001B","Total",620,99,131,197,68,14,3,9,10,25,64,5368.2,10.1
"E01006654",2011,"Liverpool 005A","Total",744,160,110,246,75,20,10,13,21,31,58,9294.7,14.2
"E01006655",2011,"Liverpool 001C","Total",766,163,140,187,77,26,3,20,16,92,42,8812.8,13.9
"E01006656",2011,"Liverpool 002B","Total",740,179,106,219,81,20,5,16,21,37,56,9666.2,14.9
"E01006657",2011,"Liverpool 002C","Total",550,139,91,163,52,14,3,12,15,21,40,6654.2,13.6
"E01006658",2011,"Liverpool 001D","Total",489,90,123,147,45,10,2,7,13,9,43,5920.3,13.5
"E01006659",2011,"Liverpool 005B","Total",571,111,112,110,36,9,4,9,18,100,62,6637.3,16.2
"E01006660",2011,"Liverpool 001E","Total",583,146,117,151,46,16,2,9,19,39,38,6749,13.3
"E01006661",2011,"Liverpool 004A","Total",545,107,137,158,51,12,8,6,10,19,37,4952.5,10.1
"E01006662",2011,"Liverpool 004B","Total",596,70,163,200,47,11,9,4,21,22,49,8146.2,15.5
"E01006663",2011,"Liverpool 004C","Total",514,74,104,169,65,14,4,15,7,34,28,5100,11.3
"E01006664",2011,"Liverpool 004D","Total",663,79,186,196,63,17,11,6,15,32,58,7514.5,13.1
"E01006665",2011,"Liverpool 007A","Total",855,50,169,362,87,13,13,20,16,56,69,9510.6,13
"E01006666",2011,"Liverpool 007B","Total",819,59,126,344,93,14,12,20,22,54,75,10161.8,14.7
"E01006667",2011,"Liverpool 007C","Total",661,61,162,229,60,10,8,10,14,41,66,7227.4,13
"E01006668",2011,"Liverpool 007D","Total",847,40,168,334,93,20,11,14,25,66,76,10564.6,15
"E01006669",2011,"Liverpool 004E","Total",764,61,160,265,87,23,14,11,31,43,69,12024.5,18.4
"E01006670",2011,"Liverpool 007E","Total",789,48,149,307,85,22,15,16,12,62,73,8835.7,13.5
"E01006671",2011,"Liverpool 013D","Total",636,38,138,242,71,13,11,6,14,47,56,7346.1,13.8
"E01006672",2011,"Liverpool 010E","Total",702,87,162,235,76,13,4,4,14,41,66,7059.8,11.9
"E01006673",2011,"Liverpool 037D","Total",629,214,167,76,39,26,2,7,13,26,59,5690.6,10.5
"E01006674",2011,"Liverpool 039C","Total",441,119,145,65,18,12,3,10,8,32,29,3848,10.1
"E01006675",2011,"Liverpool 043C","Total",936,168,350,131,42,27,6,45,16,88,63,9303.9,11.9
"E01006676",2011,"Liverpool 044D","Total",518,137,158,75,30,7,4,14,8,35,50,4265.9,9.9
"E01006677",2011,"Liverpool 043D","Total",274,75,88,33,19,3,0,4,3,21,28,1945,8.6
"E01006678",2011,"Liverpool 044E","Total",731,146,254,120,47,15,8,6,21,45,69,7335.6,11.9
"E01006679",2011,"Liverpool 039D","Total",473,137,121,60,27,10,4,15,12,40,47,5102.1,13.2
"E01006680",2011,"Liverpool 053B","Total",793,106,166,253,84,41,10,22,18,50,43,9601.5,13.7
"E01006681",2011,"Liverpool 054D","Total",706,83,165,244,67,16,5,17,15,51,43,7476.8,12.2
"E01006682",2011,"Liverpool 053C","Total",666,93,142,197,77,20,10,19,12,61,35,8303.6,14.6
"E01006683",2011,"Liverpool 053D","Total",749,92,165,248,88,19,10,16,14,49,48,8294.3,12.7
"E01006684",2011,"Liverpool 056B","Total",1193,98,235,417,157,47,20,39,23,89,68,14034.8,13.5
"E01006685",2011,"Liverpool 056C","Total",696,71,149,195,86,19,13,18,15,69,61,7836,13.8
"E01006686",2011,"Liverpool 053E","Total",674,96,140,225,74,14,9,15,10,51,40,6009.5,10.3
"E01006687",2011,"Liverpool 056D","Total",979,55,198,345,115,42,12,35,27,96,54,13519.3,16.3
"E01006688",2011,"Liverpool 056E","Total",766,62,143,278,87,28,9,21,11,80,47,7407.3,11.6
"E01006689",2011,"Liverpool 049D","Total",867,118,187,290,68,28,9,28,17,62,60,9420.1,12.6
"E01006690",2011,"Liverpool 028A","Total",620,142,211,92,35,15,8,10,7,45,55,5078,9.8
"E01006691",2011,"Liverpool 030A","Total",523,129,157,72,32,11,7,11,17,35,52,6085.5,14
"E01006692",2011,"Liverpool 028B","Total",828,156,288,152,35,30,10,15,18,42,82,8553.7,12.2
"E01006693",2011,"Liverpool 024D","Total",490,102,187,77,28,10,1,3,8,26,48,3421.5,8.2
"E01006694",2011,"Liverpool 030B","Total",715,136,242,128,45,18,9,12,15,33,77,7064.9,11.7
"E01006695",2011,"Liverpool 028C","Total",738,150,257,93,58,14,7,9,16,38,96,7440.9,12.3
"E01006696",2011,"Liverpool 030C","Total",630,149,211,96,36,14,5,18,19,27,55,6709.3,12.2
"E01006697",2011,"Liverpool 030D","Total",668,137,213,130,46,15,3,6,18,39,61,6544.1,11.5
"E01006698",2011,"Liverpool 012D","Total",750,140,307,101,64,21,4,6,22,29,56,9317.9,14
"E01006699",2011,"Liverpool 014A","Total",509,91,183,90,49,7,4,9,10,18,48,4754.1,10.7
