"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"E01006713",2011,"Liverpool 029E","Total",604,215,234,132,21,2
"E01006716",2011,"Liverpool 032E","Total",701,152,303,206,36,4
"E01006717",2011,"Liverpool 027D","Total",576,239,217,106,11,3
"E01006718",2011,"Liverpool 027E","Total",678,252,244,153,23,6
"E01006719",2011,"Liverpool 027F","Total",638,282,212,123,18,3
"E01006720",2011,"Liverpool 035A","Total",905,171,371,279,68,16
"E01006721",2011,"Liverpool 038C","Total",912,63,437,361,49,2
"E01006722",2011,"Liverpool 038D","Total",608,206,198,152,44,8
"E01006723",2011,"Liverpool 038E","Total",749,200,252,244,45,8
"E01006724",2011,"Liverpool 038F","Total",554,216,154,134,43,7
"E01006725",2011,"Liverpool 035B","Total",739,172,319,210,35,3
"E01006726",2011,"Liverpool 035C","Total",659,170,248,196,37,8
"E01006727",2011,"Liverpool 035D","Total",665,212,260,166,25,2
"E01006728",2011,"Liverpool 035E","Total",855,77,448,284,43,3
"E01006729",2011,"Liverpool 008C","Total",539,193,199,119,24,4
"E01006730",2011,"Liverpool 011C","Total",542,231,177,104,23,7
"E01006731",2011,"Liverpool 011D","Total",486,211,149,104,18,4
"E01006732",2011,"Liverpool 011E","Total",644,250,226,136,25,7
"E01006734",2011,"Liverpool 005C","Total",625,164,251,186,22,2
"E01006735",2011,"Liverpool 005D","Total",571,213,198,131,22,7
"E01006736",2011,"Liverpool 005E","Total",582,235,177,136,27,7
"E01006737",2011,"Liverpool 005F","Total",562,215,188,129,20,10
"E01006738",2011,"Liverpool 058A","Total",662,207,258,162,33,2
"E01006739",2011,"Liverpool 058B","Total",707,230,256,189,25,7
"E01006740",2011,"Liverpool 057A","Total",604,112,222,237,29,4
"E01006741",2011,"Liverpool 058C","Total",778,299,274,169,30,6
"E01006742",2011,"Liverpool 057B","Total",591,272,195,102,20,2
"E01006743",2011,"Liverpool 058D","Total",1008,262,433,276,34,3
"E01006744",2011,"Liverpool 057C","Total",739,172,340,201,23,3
"E01006745",2011,"Liverpool 057D","Total",907,181,348,328,41,9
"E01006746",2011,"Liverpool 030E","Total",655,194,238,177,37,9
"E01006747",2011,"Liverpool 031B","Total",857,149,286,372,46,4
"E01006748",2011,"Liverpool 031C","Total",756,219,243,220,62,12
"E01006751",2011,"Liverpool 031F","Total",831,173,279,305,56,18
"E01006752",2011,"Liverpool 035F","Total",489,66,183,204,32,4
"E01006753",2011,"Liverpool 059A","Total",666,207,236,182,37,4
"E01006754",2011,"Liverpool 059B","Total",781,197,238,291,47,8
"E01006755",2011,"Liverpool 059C","Total",690,124,222,294,42,8
"E01006756",2011,"Liverpool 059D","Total",757,187,294,235,36,5
"E01006757",2011,"Liverpool 059E","Total",621,176,247,178,18,2
"E01006758",2011,"Liverpool 059F","Total",639,210,202,192,28,7
"E01006759",2011,"Liverpool 028D","Total",460,197,132,117,10,4
"E01006760",2011,"Liverpool 028E","Total",826,168,217,394,33,14
"E01006761",2011,"Liverpool 020B","Total",793,148,271,333,34,7
"E01006762",2011,"Liverpool 015E","Total",725,214,304,175,28,4
"E01006763",2011,"Liverpool 020C","Total",652,249,260,125,13,5
"E01006764",2011,"Liverpool 020D","Total",667,192,195,243,29,8
"E01006765",2011,"Liverpool 020E","Total",659,293,223,123,16,4
"E01006766",2011,"Liverpool 019E","Total",574,113,256,171,30,4
"E01006767",2011,"Liverpool 019F","Total",779,221,297,223,27,11
"E01006768",2011,"Liverpool 020F","Total",587,230,154,180,21,2
"E01006769",2011,"Liverpool 040B","Total",712,147,338,204,20,3
"E01006770",2011,"Liverpool 040C","Total",445,150,156,118,19,2
"E01006771",2011,"Liverpool 040D","Total",694,181,278,212,23,0
"E01006772",2011,"Liverpool 040E","Total",480,189,173,102,13,3
"E01006773",2011,"Liverpool 036D","Total",554,269,197,75,12,1
"E01006774",2011,"Liverpool 036E","Total",552,253,207,83,7,2
"E01006775",2011,"Liverpool 040F","Total",556,175,229,124,24,4
"E01006776",2011,"Liverpool 022B","Total",844,188,381,236,32,7
"E01006778",2011,"Liverpool 014E","Total",1124,246,435,376,58,9
"E01006779",2011,"Liverpool 022D","Total",902,172,395,289,39,7
"E01006780",2011,"Liverpool 002D","Total",619,279,193,129,16,2
"E01006781",2011,"Liverpool 003A","Total",600,275,210,100,12,3
"E01006782",2011,"Liverpool 003B","Total",691,276,227,175,12,1
"E01006783",2011,"Liverpool 002E","Total",645,220,246,152,25,2
"E01006784",2011,"Liverpool 003C","Total",586,259,189,119,18,1
"E01006785",2011,"Liverpool 003D","Total",781,271,284,198,25,3
"E01006786",2011,"Liverpool 003E","Total",764,328,233,188,13,2
"E01006787",2011,"Liverpool 006A","Total",691,204,169,256,56,6
"E01006788",2011,"Liverpool 006B","Total",681,288,236,123,28,6
"E01006790",2011,"Liverpool 006C","Total",801,107,331,320,41,2
"E01006791",2011,"Liverpool 006D","Total",873,223,323,293,31,3
"E01006792",2011,"Liverpool 046A","Total",557,341,154,54,7,1
"E01006793",2011,"Liverpool 051A","Total",759,257,259,221,21,1
"E01006794",2011,"Liverpool 046B","Total",711,330,262,106,13,0
"E01006795",2011,"Liverpool 051B","Total",628,279,238,100,11,0
"E01006796",2011,"Liverpool 047E","Total",581,390,144,38,9,0
"E01006797",2011,"Liverpool 051C","Total",707,258,202,223,20,4
"E01006798",2011,"Liverpool 051D","Total",609,284,188,129,8,0
"E01006799",2011,"Liverpool 051E","Total",1145,163,519,432,29,2
"E01006800",2011,"Liverpool 046C","Total",679,352,257,61,8,1
"E01006801",2011,"Liverpool 046D","Total",609,300,245,59,3,2
"E01032505",2011,"Liverpool 050F","Total",563,188,240,114,21,0
"E01032506",2011,"Liverpool 050G","Total",656,226,248,165,13,4
"E01032507",2011,"Liverpool 050H","Total",666,274,226,147,15,4
"E01032508",2011,"Liverpool 027G","Total",847,199,296,300,48,4
"E01032509",2011,"Liverpool 027H","Total",665,172,302,163,20,8
"E01032510",2011,"Liverpool 008F","Total",776,212,351,180,28,5
"E01032511",2011,"Liverpool 008G","Total",616,186,239,171,19,1
"E01033747",2011,"Liverpool 018F","Total",496,105,180,187,22,2
