"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006696",2011,"Liverpool 030C","Total",1744,1292,8,20,0,68,0,4,262,90
"E01006697",2011,"Liverpool 030D","Total",1845,1228,11,15,0,141,0,5,340,105
"E01006698",2011,"Liverpool 012D","Total",1716,1402,2,6,1,11,0,3,212,79
"E01006699",2011,"Liverpool 014A","Total",1594,1270,3,0,1,6,0,3,209,102
"E01006700",2011,"Liverpool 012E","Total",1438,1097,3,2,0,28,1,4,213,90
"E01006701",2011,"Liverpool 014B","Total",1380,1122,0,4,0,15,0,2,145,92
"E01006702",2011,"Liverpool 014C","Total",1618,1222,4,5,0,15,6,4,237,125
"E01006703",2011,"Liverpool 014D","Total",1561,1238,6,9,1,17,0,0,186,104
"E01006705",2011,"Liverpool 009E","Total",1409,1088,4,0,1,22,4,4,194,92
"E01006706",2011,"Liverpool 045A","Total",1346,1071,2,1,1,8,1,3,182,77
"E01006707",2011,"Liverpool 045B","Total",1323,1049,1,3,0,2,0,7,171,90
"E01006708",2011,"Liverpool 045C","Total",1805,1381,2,0,4,12,0,4,254,148
"E01006709",2011,"Liverpool 040A","Total",1438,1116,3,0,1,4,0,2,224,88
"E01006710",2011,"Liverpool 045D","Total",1496,1147,2,6,1,0,0,1,273,66
"E01006711",2011,"Liverpool 027A","Total",1538,1117,2,2,7,58,2,3,244,103
"E01006712",2011,"Liverpool 029D","Total",1339,1015,11,7,0,3,2,5,195,101
"E01006713",2011,"Liverpool 029E","Total",1377,1087,3,4,1,7,0,2,186,87
"E01006716",2011,"Liverpool 032E","Total",1589,1147,16,4,10,40,0,4,268,100
"E01006717",2011,"Liverpool 027D","Total",1436,1089,2,0,5,25,0,3,210,102
"E01006718",2011,"Liverpool 027E","Total",1587,1152,6,0,0,25,0,6,284,114
"E01006719",2011,"Liverpool 027F","Total",1535,1182,2,0,2,11,0,0,230,108
"E01006720",2011,"Liverpool 035A","Total",2108,1126,25,12,6,343,15,11,403,167
"E01006721",2011,"Liverpool 038C","Total",1655,983,4,8,0,113,6,3,438,100
"E01006722",2011,"Liverpool 038D","Total",1793,821,4,37,10,233,9,7,551,121
"E01006723",2011,"Liverpool 038E","Total",1875,1010,7,63,4,120,9,14,539,109
"E01006724",2011,"Liverpool 038F","Total",1790,962,9,18,4,80,5,10,588,114
"E01006725",2011,"Liverpool 035B","Total",1537,1066,6,10,5,29,1,5,306,109
"E01006726",2011,"Liverpool 035C","Total",1565,924,11,14,1,105,11,6,380,113
"E01006727",2011,"Liverpool 035D","Total",1441,939,11,7,7,35,5,8,348,81
"E01006728",2011,"Liverpool 035E","Total",1623,995,10,6,6,89,1,3,399,114
"E01006729",2011,"Liverpool 008C","Total",1400,1109,1,0,0,3,0,1,213,73
"E01006730",2011,"Liverpool 011C","Total",1326,1053,0,3,0,3,3,1,182,81
"E01006731",2011,"Liverpool 011D","Total",1196,954,3,0,0,10,0,1,157,71
"E01006732",2011,"Liverpool 011E","Total",1643,1252,4,0,1,12,0,4,234,136
"E01006734",2011,"Liverpool 005C","Total",1412,1136,0,0,0,14,0,1,185,76
"E01006735",2011,"Liverpool 005D","Total",1309,1061,3,7,0,2,0,0,148,88
"E01006736",2011,"Liverpool 005E","Total",1460,1195,1,0,0,4,0,0,184,76
"E01006737",2011,"Liverpool 005F","Total",1435,1168,0,0,0,2,0,1,192,72
"E01006738",2011,"Liverpool 058A","Total",1501,1193,1,0,1,4,0,2,207,93
"E01006739",2011,"Liverpool 058B","Total",1769,1360,0,6,1,11,2,1,293,95
"E01006740",2011,"Liverpool 057A","Total",1280,960,12,2,0,43,0,3,200,60
"E01006741",2011,"Liverpool 058C","Total",1815,1398,5,0,4,2,0,5,272,129
"E01006742",2011,"Liverpool 057B","Total",1394,1057,5,1,1,9,0,1,234,86
"E01006743",2011,"Liverpool 058D","Total",2175,1626,3,6,8,20,2,2,399,109
"E01006744",2011,"Liverpool 057C","Total",1482,1124,7,4,5,10,0,1,261,70
"E01006745",2011,"Liverpool 057D","Total",1879,1314,5,4,4,5,6,4,418,119
"E01006746",2011,"Liverpool 030E","Total",1513,1017,3,16,2,64,4,3,293,111
"E01006747",2011,"Liverpool 031B","Total",3552,1710,66,78,3,289,26,10,1160,210
"E01006748",2011,"Liverpool 031C","Total",1936,1083,14,53,5,123,4,4,543,107
"E01006751",2011,"Liverpool 031F","Total",2572,1311,37,73,3,283,11,11,698,145
"E01006752",2011,"Liverpool 035F","Total",1012,599,12,15,0,147,5,3,179,52
"E01006753",2011,"Liverpool 059A","Total",1557,1165,1,0,4,6,0,1,282,98
"E01006754",2011,"Liverpool 059B","Total",1627,1297,3,0,1,4,0,5,223,94
"E01006755",2011,"Liverpool 059C","Total",1587,1131,1,0,2,27,0,2,294,130
