"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Rented from council (Local Authority); measures: Value","Tenure: Other social rented; measures: Value","Tenure: Private rented; measures: Value","Tenure: Living rent free; measures: Value"
"E01006716",2011,"Liverpool 032E","Total",114,63,0,2,24,21,4
"E01006717",2011,"Liverpool 027D","Total",145,127,0,0,3,11,4
"E01006718",2011,"Liverpool 027E","Total",165,125,0,1,25,11,3
"E01006719",2011,"Liverpool 027F","Total",144,111,0,8,16,7,2
"E01006720",2011,"Liverpool 035A","Total",107,47,0,3,36,19,2
"E01006721",2011,"Liverpool 038C","Total",178,62,0,4,93,12,7
"E01006722",2011,"Liverpool 038D","Total",84,61,2,1,7,13,0
"E01006723",2011,"Liverpool 038E","Total",113,70,0,0,24,17,2
"E01006724",2011,"Liverpool 038F","Total",83,69,0,0,6,7,1
"E01006725",2011,"Liverpool 035B","Total",155,99,0,2,42,7,5
"E01006726",2011,"Liverpool 035C","Total",88,64,0,0,12,9,3
"E01006727",2011,"Liverpool 035D","Total",118,94,0,1,5,12,6
"E01006728",2011,"Liverpool 035E","Total",151,62,0,1,68,19,1
"E01006729",2011,"Liverpool 008C","Total",138,64,0,14,52,1,7
"E01006730",2011,"Liverpool 011C","Total",160,83,0,19,52,4,2
"E01006731",2011,"Liverpool 011D","Total",125,71,0,14,30,4,6
"E01006732",2011,"Liverpool 011E","Total",152,25,0,26,94,5,2
"E01006734",2011,"Liverpool 005C","Total",149,48,0,27,70,1,3
"E01006735",2011,"Liverpool 005D","Total",143,70,1,23,40,6,3
"E01006736",2011,"Liverpool 005E","Total",135,78,0,16,38,0,3
"E01006737",2011,"Liverpool 005F","Total",149,80,0,16,50,1,2
"E01006738",2011,"Liverpool 058A","Total",176,104,0,12,55,4,1
"E01006739",2011,"Liverpool 058B","Total",154,60,0,15,72,2,5
"E01006740",2011,"Liverpool 057A","Total",134,42,0,7,81,2,2
"E01006741",2011,"Liverpool 058C","Total",206,120,0,15,62,1,8
"E01006742",2011,"Liverpool 057B","Total",153,95,0,11,40,3,4
"E01006743",2011,"Liverpool 058D","Total",167,100,0,9,47,9,2
"E01006744",2011,"Liverpool 057C","Total",143,90,18,0,21,10,4
"E01006745",2011,"Liverpool 057D","Total",128,82,0,5,21,17,3
"E01006746",2011,"Liverpool 030E","Total",197,81,0,26,73,11,6
"E01006747",2011,"Liverpool 031B","Total",103,32,0,3,45,19,4
"E01006748",2011,"Liverpool 031C","Total",123,83,1,1,21,15,2
"E01006751",2011,"Liverpool 031F","Total",211,54,1,23,119,4,10
"E01006752",2011,"Liverpool 035F","Total",88,54,0,2,21,9,2
"E01006753",2011,"Liverpool 059A","Total",156,68,2,20,58,7,1
"E01006754",2011,"Liverpool 059B","Total",187,67,1,24,84,7,4
"E01006755",2011,"Liverpool 059C","Total",132,30,0,8,86,3,5
"E01006756",2011,"Liverpool 059D","Total",145,61,0,22,57,3,2
"E01006757",2011,"Liverpool 059E","Total",121,66,1,10,37,3,4
"E01006758",2011,"Liverpool 059F","Total",137,78,0,15,38,1,5
"E01006759",2011,"Liverpool 028D","Total",77,62,0,0,4,10,1
"E01006760",2011,"Liverpool 028E","Total",106,51,0,2,30,23,0
"E01006761",2011,"Liverpool 020B","Total",174,107,0,3,44,16,4
"E01006762",2011,"Liverpool 015E","Total",178,96,0,3,63,10,6
"E01006763",2011,"Liverpool 020C","Total",146,113,0,0,8,22,3
"E01006764",2011,"Liverpool 020D","Total",111,81,0,1,17,11,1
"E01006765",2011,"Liverpool 020E","Total",156,98,5,13,27,7,6
"E01006766",2011,"Liverpool 019E","Total",93,55,0,0,19,19,0
"E01006767",2011,"Liverpool 019F","Total",119,72,0,2,29,14,2
"E01006768",2011,"Liverpool 020F","Total",97,83,1,0,4,8,1
"E01006769",2011,"Liverpool 040B","Total",274,70,11,15,161,7,10
"E01006770",2011,"Liverpool 040C","Total",146,84,1,11,46,1,3
"E01006771",2011,"Liverpool 040D","Total",230,79,0,14,119,8,10
"E01006772",2011,"Liverpool 040E","Total",139,94,13,7,17,2,6
"E01006773",2011,"Liverpool 036D","Total",144,132,0,0,4,7,1
"E01006774",2011,"Liverpool 036E","Total",125,108,0,3,6,7,1
"E01006775",2011,"Liverpool 040F","Total",184,67,0,18,86,3,10
"E01006776",2011,"Liverpool 022B","Total",234,37,3,8,175,6,5
"E01006778",2011,"Liverpool 014E","Total",221,54,1,27,105,30,4
"E01006779",2011,"Liverpool 022D","Total",266,42,0,44,155,11,14
"E01006780",2011,"Liverpool 002D","Total",160,121,0,0,19,16,4
"E01006781",2011,"Liverpool 003A","Total",125,114,1,1,4,5,0
"E01006782",2011,"Liverpool 003B","Total",133,99,0,1,13,20,0
"E01006783",2011,"Liverpool 002E","Total",135,107,0,1,3,22,2
"E01006784",2011,"Liverpool 003C","Total",104,89,2,0,2,11,0
"E01006785",2011,"Liverpool 003D","Total",179,129,0,2,8,35,5
"E01006786",2011,"Liverpool 003E","Total",158,143,0,1,10,3,1
"E01006787",2011,"Liverpool 006A","Total",85,56,0,3,6,17,3
"E01006788",2011,"Liverpool 006B","Total",153,137,0,3,4,8,1
"E01006790",2011,"Liverpool 006C","Total",163,67,0,7,77,5,7
"E01006791",2011,"Liverpool 006D","Total",222,55,0,39,91,26,11
"E01006792",2011,"Liverpool 046A","Total",239,206,8,2,20,3,0
"E01006793",2011,"Liverpool 051A","Total",243,168,1,5,46,17,6
"E01006794",2011,"Liverpool 046B","Total",222,199,0,0,2,17,4
"E01006795",2011,"Liverpool 051B","Total",170,149,0,3,1,12,5
"E01006796",2011,"Liverpool 047E","Total",205,200,0,0,0,2,3
"E01006797",2011,"Liverpool 051C","Total",190,130,0,14,39,1,6
"E01006798",2011,"Liverpool 051D","Total",183,172,0,2,2,6,1
"E01006799",2011,"Liverpool 051E","Total",478,178,2,7,260,21,10
"E01006800",2011,"Liverpool 046C","Total",314,306,1,0,1,3,3
"E01006801",2011,"Liverpool 046D","Total",249,243,0,0,0,4,2
"E01032505",2011,"Liverpool 050F","Total",131,102,0,2,22,3,2
"E01032506",2011,"Liverpool 050G","Total",132,96,0,1,28,6,1
"E01032507",2011,"Liverpool 050H","Total",102,84,0,0,8,10,0
"E01032508",2011,"Liverpool 027G","Total",175,73,0,19,65,13,5
"E01032509",2011,"Liverpool 027H","Total",133,91,0,1,23,16,2
"E01032510",2011,"Liverpool 008F","Total",153,106,0,11,18,13,5
"E01032511",2011,"Liverpool 008G","Total",127,99,0,7,16,5,0
"E01033747",2011,"Liverpool 018F","Total",128,20,1,3,88,11,5
"E01033748",2011,"Liverpool 050I","Total",27,17,0,0,2,8,0
"E01033749",2011,"Liverpool 042F","Total",10,8,0,0,1,1,0
"E01033750",2011,"Liverpool 061A","Total",33,21,0,0,2,9,1
"E01033751",2011,"Liverpool 062A","Total",61,22,0,7,24,7,1
"E01033752",2011,"Liverpool 062B","Total",5,2,0,1,0,1,1
"E01033753",2011,"Liverpool 062C","Total",8,4,0,0,0,4,0
"E01033754",2011,"Liverpool 061B","Total",90,30,0,12,40,6,2
"E01033755",2011,"Liverpool 062D","Total",8,7,0,0,1,0,0
"E01033756",2011,"Liverpool 061C","Total",20,16,0,0,0,3,1
"E01033757",2011,"Liverpool 037E","Total",22,2,0,0,17,3,0
