"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All categories: Hours worked; measures: Value","Hours Worked: Part-time: Total; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: Total; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value"
"E01006658",2011,"Liverpool 001D","Total",489,179,28,151,310,288,22
"E01006659",2011,"Liverpool 005B","Total",571,170,53,117,401,325,76
"E01006660",2011,"Liverpool 001E","Total",583,193,57,136,390,333,57
"E01006661",2011,"Liverpool 004A","Total",545,177,39,138,368,331,37
"E01006662",2011,"Liverpool 004B","Total",596,187,50,137,409,366,43
"E01006663",2011,"Liverpool 004C","Total",514,165,25,140,349,316,33
"E01006664",2011,"Liverpool 004D","Total",663,201,46,155,462,408,54
"E01006665",2011,"Liverpool 007A","Total",855,235,53,182,620,522,98
"E01006666",2011,"Liverpool 007B","Total",819,248,71,177,571,491,80
"E01006667",2011,"Liverpool 007C","Total",661,193,52,141,468,417,51
"E01006668",2011,"Liverpool 007D","Total",847,230,55,175,617,529,88
"E01006669",2011,"Liverpool 004E","Total",764,214,50,164,550,478,72
"E01006670",2011,"Liverpool 007E","Total",789,229,62,167,560,479,81
"E01006671",2011,"Liverpool 013D","Total",636,191,49,142,445,368,77
"E01006672",2011,"Liverpool 010E","Total",702,245,50,195,457,406,51
"E01006673",2011,"Liverpool 037D","Total",629,232,79,153,397,348,49
"E01006674",2011,"Liverpool 039C","Total",441,179,55,124,262,213,49
"E01006675",2011,"Liverpool 043C","Total",936,267,92,175,669,558,111
"E01006676",2011,"Liverpool 044D","Total",518,202,54,148,316,269,47
"E01006677",2011,"Liverpool 043D","Total",274,130,33,97,144,124,20
"E01006678",2011,"Liverpool 044E","Total",731,243,78,165,488,416,72
"E01006679",2011,"Liverpool 039D","Total",473,204,56,148,269,218,51
"E01006680",2011,"Liverpool 053B","Total",793,239,63,176,554,463,91
"E01006681",2011,"Liverpool 054D","Total",706,218,59,159,488,412,76
"E01006682",2011,"Liverpool 053C","Total",666,184,61,123,482,411,71
"E01006683",2011,"Liverpool 053D","Total",749,209,64,145,540,475,65
"E01006684",2011,"Liverpool 056B","Total",1193,267,89,178,926,773,153
"E01006685",2011,"Liverpool 056C","Total",696,198,67,131,498,419,79
"E01006686",2011,"Liverpool 053E","Total",674,189,55,134,485,435,50
"E01006687",2011,"Liverpool 056D","Total",979,224,72,152,755,593,162
"E01006688",2011,"Liverpool 056E","Total",766,225,71,154,541,451,90
"E01006689",2011,"Liverpool 049D","Total",867,245,92,153,622,550,72
"E01006690",2011,"Liverpool 028A","Total",620,216,67,149,404,352,52
"E01006691",2011,"Liverpool 030A","Total",523,203,49,154,320,273,47
"E01006692",2011,"Liverpool 028B","Total",828,260,67,193,568,492,76
"E01006693",2011,"Liverpool 024D","Total",490,171,49,122,319,285,34
"E01006694",2011,"Liverpool 030B","Total",715,268,50,218,447,402,45
"E01006695",2011,"Liverpool 028C","Total",738,248,95,153,490,432,58
"E01006696",2011,"Liverpool 030C","Total",630,215,55,160,415,382,33
"E01006697",2011,"Liverpool 030D","Total",668,264,78,186,404,354,50
"E01006698",2011,"Liverpool 012D","Total",750,234,61,173,516,466,50
"E01006699",2011,"Liverpool 014A","Total",509,193,34,159,316,280,36
"E01006700",2011,"Liverpool 012E","Total",539,171,30,141,368,320,48
"E01006701",2011,"Liverpool 014B","Total",599,196,38,158,403,346,57
"E01006702",2011,"Liverpool 014C","Total",542,201,44,157,341,303,38
"E01006703",2011,"Liverpool 014D","Total",522,152,33,119,370,323,47
"E01006705",2011,"Liverpool 009E","Total",635,198,41,157,437,384,53
"E01006706",2011,"Liverpool 045A","Total",445,188,59,129,257,230,27
"E01006707",2011,"Liverpool 045B","Total",418,131,32,99,287,266,21
"E01006708",2011,"Liverpool 045C","Total",738,215,50,165,523,463,60
"E01006709",2011,"Liverpool 040A","Total",599,175,45,130,424,384,40
"E01006710",2011,"Liverpool 045D","Total",668,213,60,153,455,415,40
"E01006711",2011,"Liverpool 027A","Total",610,186,40,146,424,360,64
"E01006712",2011,"Liverpool 029D","Total",581,154,30,124,427,384,43
"E01006713",2011,"Liverpool 029E","Total",650,199,46,153,451,404,47
