"lsoa11cd","date","lsoa11nm","Rural Urban","Household Type: All categories: Household type; measures: Value","Household Type: One person household; measures: Value","Household Type: Married couple household: With dependent children; measures: Value","Household Type: Married couple household: No dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: With dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: No dependent children; measures: Value","Household Type: Cohabiting couple household: With dependent children; measures: Value","Household Type: Cohabiting couple household: No dependent children; measures: Value","Household Type: Lone parent household: With dependent children; measures: Value","Household Type: Lone parent household: No dependent children; measures: Value","Household Type: Multi-person household: All full-time students; measures: Value","Household Type: Multi-person household: Other; measures: Value"
"E01006752",2011,"Liverpool 035F","Total",489,232,47,68,0,0,15,25,55,23,8,16
"E01006753",2011,"Liverpool 059A","Total",666,211,45,118,0,0,44,28,141,59,0,20
"E01006754",2011,"Liverpool 059B","Total",781,322,56,122,0,0,35,30,129,55,0,32
"E01006755",2011,"Liverpool 059C","Total",690,257,46,90,0,2,38,31,154,58,0,14
"E01006756",2011,"Liverpool 059D","Total",757,220,65,132,0,0,53,32,183,57,0,15
"E01006757",2011,"Liverpool 059E","Total",621,203,59,107,0,0,50,23,133,36,0,10
"E01006758",2011,"Liverpool 059F","Total",639,199,50,114,0,0,38,27,140,57,0,14
"E01006759",2011,"Liverpool 028D","Total",460,180,54,84,0,0,19,24,56,19,2,22
"E01006760",2011,"Liverpool 028E","Total",826,498,45,70,0,1,21,49,59,17,12,54
"E01006761",2011,"Liverpool 020B","Total",793,383,68,132,0,0,29,26,91,45,2,17
"E01006762",2011,"Liverpool 015E","Total",725,226,68,159,0,0,36,36,121,67,0,12
"E01006763",2011,"Liverpool 020C","Total",652,217,64,126,0,0,33,35,108,49,0,20
"E01006764",2011,"Liverpool 020D","Total",667,259,60,103,0,1,32,36,106,38,2,30
"E01006765",2011,"Liverpool 020E","Total",659,243,78,126,0,0,19,36,96,50,0,11
"E01006766",2011,"Liverpool 019E","Total",574,232,43,69,0,0,40,27,111,35,1,16
"E01006767",2011,"Liverpool 019F","Total",779,294,72,99,1,0,54,45,125,43,6,40
"E01006768",2011,"Liverpool 020F","Total",587,234,79,132,0,0,15,32,40,25,1,29
"E01006769",2011,"Liverpool 040B","Total",712,401,38,83,0,1,25,26,79,47,0,12
"E01006770",2011,"Liverpool 040C","Total",445,160,40,81,0,0,24,18,67,45,0,10
"E01006771",2011,"Liverpool 040D","Total",694,296,41,105,0,0,24,35,114,67,0,12
"E01006772",2011,"Liverpool 040E","Total",480,168,57,133,0,0,14,18,46,39,1,4
"E01006773",2011,"Liverpool 036D","Total",554,114,112,179,0,1,23,35,43,41,0,6
"E01006774",2011,"Liverpool 036E","Total",552,124,141,166,0,1,15,22,39,35,1,8
"E01006775",2011,"Liverpool 040F","Total",556,165,36,131,0,0,17,23,85,86,0,13
"E01006776",2011,"Liverpool 022B","Total",844,386,56,140,0,1,26,45,93,63,2,32
"E01006778",2011,"Liverpool 014E","Total",1124,496,49,123,0,1,31,56,182,112,2,72
"E01006779",2011,"Liverpool 022D","Total",902,334,49,115,0,0,22,40,186,110,1,45
"E01006780",2011,"Liverpool 002D","Total",619,191,80,152,0,0,34,42,68,33,0,19
"E01006781",2011,"Liverpool 003A","Total",600,163,100,187,0,0,36,32,49,25,0,8
"E01006782",2011,"Liverpool 003B","Total",691,271,86,138,0,1,30,35,77,37,2,14
"E01006783",2011,"Liverpool 002E","Total",645,199,93,139,1,1,32,37,90,38,0,15
"E01006784",2011,"Liverpool 003C","Total",586,209,92,113,0,0,25,48,54,37,0,8
"E01006785",2011,"Liverpool 003D","Total",781,275,83,157,0,1,36,56,97,38,0,38
"E01006786",2011,"Liverpool 003E","Total",764,237,134,190,0,1,33,65,58,35,0,11
"E01006787",2011,"Liverpool 006A","Total",691,312,86,93,0,0,24,22,76,20,5,53
"E01006788",2011,"Liverpool 006B","Total",681,137,107,170,0,0,50,34,111,46,1,25
"E01006790",2011,"Liverpool 006C","Total",801,350,51,102,0,0,35,32,152,53,0,26
"E01006791",2011,"Liverpool 006D","Total",873,418,49,144,0,0,27,33,100,68,0,34
"E01006792",2011,"Liverpool 046A","Total",557,138,108,234,0,0,12,29,20,11,0,5
"E01006793",2011,"Liverpool 051A","Total",759,337,71,177,0,0,21,45,60,32,0,16
