"lsoa11cd","date","lsoa11nm","Rural Urban","Persons Per Room: All categories: Number of persons per bedroom in household; measures: Value","Persons Per Room: Up to 0.5 persons per bedroom; measures: Value","Persons Per Room: Over 0.5 and up to 1.0 persons per bedroom; measures: Value","Persons Per Room: Over 1.0 and up to 1.5 persons per bedroom; measures: Value","Persons Per Room: Over 1.5 persons per bedroom; measures: Value"
"E01006732",2011,"Liverpool 011E","Total",644,171,315,93,65
"E01006734",2011,"Liverpool 005C","Total",625,159,347,76,43
"E01006735",2011,"Liverpool 005D","Total",571,210,250,73,38
"E01006736",2011,"Liverpool 005E","Total",582,159,290,93,40
"E01006737",2011,"Liverpool 005F","Total",562,138,302,81,41
"E01006738",2011,"Liverpool 058A","Total",662,222,289,104,47
"E01006739",2011,"Liverpool 058B","Total",707,193,342,103,69
"E01006740",2011,"Liverpool 057A","Total",604,182,305,67,50
"E01006741",2011,"Liverpool 058C","Total",778,236,379,109,54
"E01006742",2011,"Liverpool 057B","Total",591,179,299,77,36
"E01006743",2011,"Liverpool 058D","Total",1008,343,462,147,56
"E01006744",2011,"Liverpool 057C","Total",739,293,306,97,43
"E01006745",2011,"Liverpool 057D","Total",907,287,448,98,74
"E01006746",2011,"Liverpool 030E","Total",655,194,338,81,42
"E01006747",2011,"Liverpool 031B","Total",857,282,441,77,57
"E01006748",2011,"Liverpool 031C","Total",756,225,379,113,39
"E01006751",2011,"Liverpool 031F","Total",831,220,422,105,84
"E01006752",2011,"Liverpool 035F","Total",489,143,240,57,49
"E01006753",2011,"Liverpool 059A","Total",666,184,337,91,54
"E01006754",2011,"Liverpool 059B","Total",781,208,404,85,84
"E01006755",2011,"Liverpool 059C","Total",690,129,396,92,73
"E01006756",2011,"Liverpool 059D","Total",757,200,352,138,67
"E01006757",2011,"Liverpool 059E","Total",621,178,300,86,57
"E01006758",2011,"Liverpool 059F","Total",639,184,301,95,59
"E01006759",2011,"Liverpool 028D","Total",460,157,229,50,24
"E01006760",2011,"Liverpool 028E","Total",826,244,469,44,69
"E01006761",2011,"Liverpool 020B","Total",793,218,426,86,63
"E01006762",2011,"Liverpool 015E","Total",725,208,362,101,54
"E01006763",2011,"Liverpool 020C","Total",652,222,317,75,38
"E01006764",2011,"Liverpool 020D","Total",667,174,359,70,64
"E01006765",2011,"Liverpool 020E","Total",659,240,302,78,39
"E01006766",2011,"Liverpool 019E","Total",574,199,252,70,53
"E01006767",2011,"Liverpool 019F","Total",779,263,350,104,62
"E01006768",2011,"Liverpool 020F","Total",587,171,333,46,37
"E01006769",2011,"Liverpool 040B","Total",712,309,321,43,39
"E01006770",2011,"Liverpool 040C","Total",445,136,223,59,27
"E01006771",2011,"Liverpool 040D","Total",694,217,371,73,33
"E01006772",2011,"Liverpool 040E","Total",480,147,252,54,27
"E01006773",2011,"Liverpool 036D","Total",554,135,315,86,18
"E01006774",2011,"Liverpool 036E","Total",552,146,288,96,22
"E01006775",2011,"Liverpool 040F","Total",556,160,295,67,34
"E01006776",2011,"Liverpool 022B","Total",844,298,418,85,43
"E01006778",2011,"Liverpool 014E","Total",1124,391,547,106,80
"E01006779",2011,"Liverpool 022D","Total",902,289,456,104,53
"E01006780",2011,"Liverpool 002D","Total",619,180,330,79,30
"E01006781",2011,"Liverpool 003A","Total",600,172,317,85,26
"E01006782",2011,"Liverpool 003B","Total",691,225,356,87,23
"E01006783",2011,"Liverpool 002E","Total",645,195,304,91,55
"E01006784",2011,"Liverpool 003C","Total",586,183,295,83,25
"E01006785",2011,"Liverpool 003D","Total",781,237,401,109,34
"E01006786",2011,"Liverpool 003E","Total",764,183,435,108,38
"E01006787",2011,"Liverpool 006A","Total",691,161,371,90,69
"E01006788",2011,"Liverpool 006B","Total",681,159,349,121,52
"E01006790",2011,"Liverpool 006C","Total",801,255,376,115,55
"E01006791",2011,"Liverpool 006D","Total",873,291,459,75,48
"E01006792",2011,"Liverpool 046A","Total",557,202,288,54,13
"E01006793",2011,"Liverpool 051A","Total",759,268,382,60,49
"E01006794",2011,"Liverpool 046B","Total",711,274,343,65,29
"E01006795",2011,"Liverpool 051B","Total",628,216,325,57,30
"E01006796",2011,"Liverpool 047E","Total",581,213,297,56,15
"E01006797",2011,"Liverpool 051C","Total",707,191,394,83,39
"E01006798",2011,"Liverpool 051D","Total",609,178,340,68,23
"E01006799",2011,"Liverpool 051E","Total",1145,432,600,68,45
"E01006800",2011,"Liverpool 046C","Total",679,296,321,44,18
"E01006801",2011,"Liverpool 046D","Total",609,213,327,55,14
"E01032505",2011,"Liverpool 050F","Total",563,210,248,78,27
"E01032506",2011,"Liverpool 050G","Total",656,220,349,58,29
"E01032507",2011,"Liverpool 050H","Total",666,212,362,61,31
"E01032508",2011,"Liverpool 027G","Total",847,272,403,93,79
"E01032509",2011,"Liverpool 027H","Total",665,244,282,99,40
"E01032510",2011,"Liverpool 008F","Total",776,256,335,128,57
"E01032511",2011,"Liverpool 008G","Total",616,158,341,74,43
"E01033747",2011,"Liverpool 018F","Total",496,151,260,41,44
"E01033748",2011,"Liverpool 050I","Total",772,350,363,38,21
"E01033749",2011,"Liverpool 042F","Total",1039,147,867,8,17
"E01033750",2011,"Liverpool 061A","Total",905,357,452,44,52
"E01033751",2011,"Liverpool 062A","Total",603,227,311,27,38
"E01033752",2011,"Liverpool 062B","Total",790,250,435,31,74
"E01033753",2011,"Liverpool 062C","Total",714,245,367,28,74
"E01033754",2011,"Liverpool 061B","Total",838,271,448,45,74
"E01033755",2011,"Liverpool 062D","Total",675,217,364,32,62
"E01033756",2011,"Liverpool 061C","Total",733,165,449,30,89
"E01033757",2011,"Liverpool 037E","Total",715,239,425,18,33
"E01033758",2011,"Liverpool 060B","Total",475,118,283,15,59
"E01033759",2011,"Liverpool 010F","Total",480,120,263,66,31
"E01033760",2011,"Liverpool 060C","Total",529,102,350,17,60
"E01033761",2011,"Liverpool 060D","Total",832,209,535,30,58
"E01033762",2011,"Liverpool 060E","Total",456,147,233,25,51
"E01033763",2011,"Liverpool 031G","Total",820,245,465,59,51
"E01033764",2011,"Liverpool 022E","Total",1172,433,578,95,66
"E01033765",2011,"Liverpool 061D","Total",659,241,311,61,46
"E01033766",2011,"Liverpool 042G","Total",424,104,252,61,7
"E01033767",2011,"Liverpool 050J","Total",562,227,236,70,29
"E01033768",2011,"Liverpool 037F","Total",835,165,573,33,64
