"lsoa11cd","date","lsoa11nm","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006619",2011,"Liverpool 021B","Total",1599,163,166,1270,72,82,881,768,544,194,73,20,1399,114,33,53
"E01006620",2011,"Liverpool 021C","Total",1417,176,161,1080,61,62,726,674,416,237,69,21,1220,120,26,51
"E01006621",2011,"Liverpool 021D","Total",1468,160,125,1183,72,65,826,774,442,167,67,18,1221,159,28,60
"E01006622",2011,"Liverpool 021E","Total",1519,122,149,1248,50,58,832,831,439,172,61,16,1333,129,26,31
"E01006623",2011,"Liverpool 013A","Total",1462,114,140,1208,53,78,858,758,464,168,61,11,1258,137,27,40
"E01006624",2011,"Liverpool 013B","Total",1556,260,152,1144,128,96,807,644,503,227,136,46,1361,88,28,79
"E01006625",2011,"Liverpool 016D","Total",1416,181,131,1104,59,55,754,666,429,209,84,28,1206,122,30,58
"E01006626",2011,"Liverpool 016E","Total",1448,189,139,1120,85,69,813,669,461,197,92,29,1219,131,39,59
"E01006627",2011,"Liverpool 013C","Total",1378,155,151,1072,78,78,758,684,404,194,73,23,1192,115,24,47
"E01006628",2011,"Liverpool 052D","Total",1874,146,143,1585,67,71,1290,995,587,213,64,15,1718,92,20,44
"E01006629",2011,"Liverpool 052E","Total",1255,181,143,931,92,75,710,577,370,196,79,33,1067,91,51,46
"E01006630",2011,"Liverpool 044B","Total",1338,236,149,953,147,111,628,553,395,185,163,42,1199,57,25,57
"E01006632",2011,"Liverpool 044C","Total",1842,297,227,1318,162,153,905,837,487,302,161,55,1647,84,46,65
"E01006633",2011,"Liverpool 050B","Total",1432,322,178,932,169,114,608,531,388,285,173,55,1272,70,42,48
"E01006637",2011,"Liverpool 017A","Total",1596,203,141,1252,115,102,791,744,488,211,117,36,1443,53,37,63
"E01006638",2011,"Liverpool 017B","Total",1219,209,126,884,123,84,569,523,368,195,106,27,1092,60,23,44
"E01006639",2011,"Liverpool 017C","Total",1509,164,128,1217,90,69,829,729,471,198,84,27,1341,89,27,52
"E01006640",2011,"Liverpool 021F","Total",1880,206,172,1502,107,73,1024,934,596,211,99,40,1633,139,33,75
