"lsoa11cd","date","lsoa11nm","Rural Urban","Persons per Room: All categories: Number of persons per room in household; measures: Value","Persons per Room: Up to 0.5 persons per room; measures: Value","Persons per Room: Over 0.5 and up to 1.0 persons per room; measures: Value","Persons per Room: Over 1.0 and up to 1.5 persons per room; measures: Value","Persons per Room: Over 1.5 persons per room; measures: Value"
"E01032510",2011,"Liverpool 008F","Total",1809,830,935,36,8
"E01032511",2011,"Liverpool 008G","Total",1378,747,601,25,5
"E01033747",2011,"Liverpool 018F","Total",1035,524,457,47,7
"E01033748",2011,"Liverpool 050I","Total",1276,679,570,27,0
"E01033749",2011,"Liverpool 042F","Total",1151,770,374,0,7
"E01033750",2011,"Liverpool 061A","Total",1448,974,455,15,4
"E01033751",2011,"Liverpool 062A","Total",1039,678,315,32,14
"E01033752",2011,"Liverpool 062B","Total",1195,585,577,11,22
"E01033753",2011,"Liverpool 062C","Total",1051,535,485,18,13
"E01033754",2011,"Liverpool 061B","Total",1448,719,669,50,10
"E01033755",2011,"Liverpool 062D","Total",1082,485,562,17,18
"E01033756",2011,"Liverpool 061C","Total",1136,470,597,33,36
"E01033757",2011,"Liverpool 037E","Total",1015,658,303,25,29
"E01033758",2011,"Liverpool 060B","Total",703,391,281,10,21
"E01033759",2011,"Liverpool 010F","Total",1147,511,593,30,13
"E01033760",2011,"Liverpool 060C","Total",856,384,416,19,37
"E01033761",2011,"Liverpool 060D","Total",1340,686,638,3,13
"E01033762",2011,"Liverpool 060E","Total",722,371,336,7,8
"E01033763",2011,"Liverpool 031G","Total",1471,801,605,56,9
"E01033764",2011,"Liverpool 022E","Total",2191,1180,913,64,34
"E01033765",2011,"Liverpool 061D","Total",1351,729,548,51,23
"E01033766",2011,"Liverpool 042G","Total",1072,592,473,0,7
"E01033767",2011,"Liverpool 050J","Total",1067,627,406,26,8
"E01033768",2011,"Liverpool 037F","Total",1219,811,393,15,0
