"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006769",2011,"Liverpool 040B","Total",721,721,0
"E01006770",2011,"Liverpool 040C","Total",457,457,0
"E01006771",2011,"Liverpool 040D","Total",703,703,0
"E01006772",2011,"Liverpool 040E","Total",482,482,0
"E01006773",2011,"Liverpool 036D","Total",567,567,0
"E01006774",2011,"Liverpool 036E","Total",554,554,0
"E01006775",2011,"Liverpool 040F","Total",558,558,0
"E01006776",2011,"Liverpool 022B","Total",870,870,0
"E01006778",2011,"Liverpool 014E","Total",1218,1218,0
"E01006779",2011,"Liverpool 022D","Total",917,917,0
"E01006780",2011,"Liverpool 002D","Total",640,639,1
"E01006781",2011,"Liverpool 003A","Total",607,607,0
"E01006782",2011,"Liverpool 003B","Total",709,705,4
"E01006783",2011,"Liverpool 002E","Total",664,664,0
"E01006784",2011,"Liverpool 003C","Total",602,601,1
"E01006785",2011,"Liverpool 003D","Total",804,804,0
"E01006786",2011,"Liverpool 003E","Total",778,778,0
"E01006787",2011,"Liverpool 006A","Total",714,711,3
"E01006788",2011,"Liverpool 006B","Total",693,693,0
"E01006790",2011,"Liverpool 006C","Total",842,842,0
"E01006791",2011,"Liverpool 006D","Total",895,893,2
"E01006792",2011,"Liverpool 046A","Total",592,592,0
"E01006793",2011,"Liverpool 051A","Total",790,790,0
"E01006794",2011,"Liverpool 046B","Total",737,737,0
"E01006795",2011,"Liverpool 051B","Total",649,649,0
"E01006796",2011,"Liverpool 047E","Total",590,590,0
"E01006797",2011,"Liverpool 051C","Total",722,722,0
"E01006798",2011,"Liverpool 051D","Total",621,621,0
"E01006799",2011,"Liverpool 051E","Total",1205,1205,0
"E01006800",2011,"Liverpool 046C","Total",693,693,0
"E01006801",2011,"Liverpool 046D","Total",625,625,0
"E01032505",2011,"Liverpool 050F","Total",585,585,0
"E01032506",2011,"Liverpool 050G","Total",682,679,3
"E01032507",2011,"Liverpool 050H","Total",711,711,0
"E01032508",2011,"Liverpool 027G","Total",913,913,0
"E01032509",2011,"Liverpool 027H","Total",694,694,0
"E01032510",2011,"Liverpool 008F","Total",796,796,0
"E01032511",2011,"Liverpool 008G","Total",625,625,0
"E01033747",2011,"Liverpool 018F","Total",519,519,0
"E01033748",2011,"Liverpool 050I","Total",829,829,0
"E01033749",2011,"Liverpool 042F","Total",546,539,7
"E01033750",2011,"Liverpool 061A","Total",990,990,0
"E01033751",2011,"Liverpool 062A","Total",640,640,0
"E01033752",2011,"Liverpool 062B","Total",903,899,4
"E01033753",2011,"Liverpool 062C","Total",753,750,3
"E01033754",2011,"Liverpool 061B","Total",1024,1022,2
"E01033755",2011,"Liverpool 062D","Total",749,749,0
"E01033756",2011,"Liverpool 061C","Total",933,932,1
"E01033757",2011,"Liverpool 037E","Total",640,630,10
"E01033758",2011,"Liverpool 060B","Total",536,530,6
"E01033759",2011,"Liverpool 010F","Total",486,486,0
"E01033760",2011,"Liverpool 060C","Total",575,574,1
"E01033761",2011,"Liverpool 060D","Total",909,906,3
"E01033762",2011,"Liverpool 060E","Total",467,466,1
"E01033763",2011,"Liverpool 031G","Total",851,849,2
"E01033764",2011,"Liverpool 022E","Total",1210,1209,1
"E01033765",2011,"Liverpool 061D","Total",715,715,0
"E01033766",2011,"Liverpool 042G","Total",442,440,2
"E01033767",2011,"Liverpool 050J","Total",595,595,0
"E01033768",2011,"Liverpool 037F","Total",834,815,19
