"lsoa11cd","lsoa11nm","r_rank","h_rank","g_rank","e_rank","r_exp","h_exp","g_exp","e_exp","ahah","r_ahah","d_ahah","r_dec","h_dec","g_dec","e_dec","gpp_dist","ed_dist","dent_dist","pharm_dist","gamb_dist","ffood_dist","pubs_dist","leis_dist","blue_dist","off_dist","tobac_dist","green_pas","green_act","ur","no2_mean","pm10_mean","so2_mean","d_gpp_dist","d_ed_dist","d_pharm_dist","d_dent_dist","d_gamb_dist","d_ffood_dist","d_pubs_dist","d_leis_dist","d_blue_dist","d_off_dist","d_tobac_dist","d_green_pas","d_green_act","d_no2_mean","d_pm10_mean","d_so2_mean"
"E01006762","Liverpool 015E",30308,9353,10667,35349,29.0258410076072,5.75113078848267,6.68791668136842,41.6026943844224,20.7668957154702,21404,6,8,3,3,9,0.681851851851852,3.93962962962963,1.01222222222222,0.581481481481481,0.841851851851852,0.799259259259259,1.04518518518519,1.22814814814815,3.24481481481481,0.894074074074074,1.67259259259259,1.02232800578,0.33,1,14.3880623472467,11.4003690144871,1.90034656487859,3,3,3,5,7,7,6,3,8,9,8,1,3,8,4,10
"E01006763","Liverpool 020C",34009,15626,8054,35882,37.535172956194,10.6129522025901,4.86109053954078,43.4442760763899,24.1133729436787,28081,7,9,4,2,9,0.934761904761905,4.39809523809524,0.979047619047619,0.798095238095238,0.537142857142857,0.683333333333333,0.601428571428571,2.18571428571429,1.48095238095238,0.756666666666667,2.12285714285714,0.63972233313,0.36,1,14.5528373718262,11.4449052810669,1.93514406681061,5,3,5,5,9,8,8,5,4,9,7,2,4,8,5,10
"E01006764","Liverpool 020D",36613,5128,15514,36064,46.2366973382769,2.97413363669194,10.51649373585,44.1084679418395,25.9589481631646,31012,8,9,2,4,9,0.452727272727273,3.89090909090909,0.547272727272727,0.388181818181818,0.568181818181818,0.280454545454545,0.616363636363636,2.205,0.976363636363636,0.603636363636364,1.88454545454545,0.69333114883,0.905,1,14.6984966677428,11.4461427189409,1.93952188521504,1,3,1,2,9,10,8,5,2,10,7,2,9,9,5,10
"E01006765","Liverpool 020E",32732,10489,11755,34795,34.2313680980765,6.55875925086538,7.4935401283942,39.8330414641641,22.0291772353751,24099,6,8,3,3,9,0.708421052631579,4.17052631578947,0.72421052631579,0.581578947368421,0.711052631578947,0.554210526315789,0.721052631578947,2.21526315789474,1.25315789473684,0.828947368421053,2.12105263157895,0.74684989159,0.59,1,14.2193019704403,11.3548445828594,1.86546341189355,3,3,3,3,8,8,7,5,3,9,7,2,7,8,4,10
"E01006766","Liverpool 019E",40153,133,2492,36182,68.8036662548109,0.0724721823320115,1.39736440370179,44.549579030404,28.7057704678122,34416,9,10,1,1,9,0.249090909090909,3.34727272727273,0.387272727272727,0.133181818181818,0.263636363636364,0.261818181818182,0.87,0.623181818181818,2.60181818181818,0.263636363636364,1.06727272727273,1.41960014298,0.185,1,14.7174024581909,11.3863229751587,1.96291649341583,1,2,1,1,10,10,7,1,7,10,9,1,1,9,4,10
"E01006767","Liverpool 019F",33511,14483,17201,35397,36.1897655362151,9.64706038573434,12.0140710009501,41.7626293459243,24.903381567206,29399,8,9,4,5,9,1.07391304347826,3.94913043478261,1.00695652173913,0.681304347826087,0.640434782608696,0.661304347826087,0.689565217391304,1.95869565217391,1.75652173913043,0.679130434782609,2.00782608695652,0.7452661352,0.69,1,14.420127298714,11.4082249669323,1.90118052748414,5,3,4,5,8,8,8,5,5,9,7,2,8,8,4,10
"E01006768","Liverpool 020F",27240,12986,11462,35515,23.7769250087943,8.44042803420872,7.27379323680163,42.1605961901426,20.4129356174868,20593,5,7,4,3,9,0.781666666666667,4.51833333333333,0.953333333333333,0.78625,1.23875,0.7275,1.10166666666667,1.56666666666667,1.60541666666667,1.40875,1.63666666666667,0.42502398332,0.36,1,14.516072299365,11.4341318416503,1.9002318955583,4,3,5,5,5,7,6,4,4,8,8,4,4,8,4,10
"E01006769","Liverpool 040B",26708,7625,7914,31797,22.9772017238232,4.57455807393951,4.76719050208986,32.0817392444942,16.1001723860867,10605,3,7,2,2,8,0.433243243243243,8.00297297297297,1.11432432432432,0.326756756756757,1.50378378378378,0.955405405405405,0.819459459459459,1.52243243243243,4.34918918918919,1.58162162162162,1.52243243243243,0.83903620699,0.2,1,13.5474246330762,11.1011574860971,1.74958952786391,1,6,1,5,5,6,7,4,9,7,8,2,1,8,4,10
"E01006770","Liverpool 040C",28185,12161,24691,31821,25.2698957545239,7.80154826753711,20.1751125186857,32.1344772792747,21.3452584550053,22671,6,7,3,6,8,0.762666666666667,8.52766666666667,0.791333333333333,0.722333333333333,0.956666666666667,0.851333333333333,1.397,0.956666666666667,3.24533333333333,1.78566666666667,0.956666666666667,0.61475316099,0.63,1,13.5007157434505,11.1790762807447,1.74484629069792,4,6,4,4,7,7,4,2,8,7,9,2,8,8,4,10
"E01006771","Liverpool 040D",26315,21400,19767,32136,22.4037890868262,16.2293383568068,14.4970787922043,32.8381123401687,21.4920796440015,22986,6,7,6,5,8,1.2105,7.3955,1.20575,1.1855,0.74975,0.65975,2.24775,1.341,7.81025,2.091,1.34175,1.13872830418,0.34,1,13.4132040290831,11.2431120060587,1.75649699797556,6,5,7,6,8,8,3,3,10,6,8,1,3,8,4,10
"E01006772","Liverpool 040E",33058,8822,27842,31551,35.030737849594,5.38313218281648,24.7167338100829,31.5480340368457,24.1696594698348,28174,7,8,3,7,8,0.504166666666667,8.54916666666667,0.676666666666667,0.665,0.7325,0.691666666666667,1.0425,0.965416666666667,3.98666666666667,0.890833333333333,0.965416666666667,0.4170024945,0.545,1,13.169791373624,11.1418026774702,1.75871360222791,2,6,4,3,8,8,6,2,9,9,9,4,7,8,4,10
"E01006773","Liverpool 036D",21033,14296,29172,32950,15.8285083143934,9.49282655358976,26.9401478728465,34.7628266514575,21.7560773480718,23536,6,6,4,7,8,0.899473684210526,6.66789473684211,0.339473684210526,1.24631578947368,1.89894736842105,2.17684210526316,0.768421052631579,2.52105263157895,5.38315789473684,1.43526315789474,2.32473684210526,0.54530644669,0.57,1,14.0788547377018,11.2502617371116,1.75777331688081,4,5,8,1,4,3,7,6,9,7,6,3,7,8,4,10
"E01006774","Liverpool 036E",17432,15900,25279,32649,12.2269387793902,10.8506505245663,20.9573364262179,34.0322084256261,19.5167835389501,18517,5,5,4,7,8,0.829130434782609,7.12173913043478,0.631304347826087,0.940869565217391,2.09739130434783,2.18130434782609,1.22565217391304,2.17434782608696,5.55347826086957,1.85086956521739,2.17434782608696,0.67162496409,0.47,1,14.0040955848442,11.2342526490837,1.7473211441843,4,5,6,3,3,3,5,5,10,7,6,2,6,8,4,10
"E01006775","Liverpool 040F",27796,10550,25372,31891,24.6435503653797,6.6029394274203,21.0835289483604,32.2889908823893,21.1547524058874,22270,6,7,3,7,8,0.68,8.34741935483871,0.764516129032258,0.646774193548387,0.920645161290323,0.872903225806452,1.64,0.920645161290323,5.80064516129032,1.73838709677419,0.920645161290323,0.96886459246,0.56,1,13.5233547399181,11.1907422149134,1.74493341115181,3,6,4,3,7,7,4,2,10,7,9,1,7,8,4,10
"E01006776","Liverpool 022B",26940,15135,30006,36208,23.3225393928117,10.1930535774693,28.4526538810064,44.6479209579359,26.6540419523058,31941,8,7,4,8,9,1.04826530612245,3.45642857142857,1.23142857142857,0.766224489795918,0.806938775510204,0.992040816326531,1.02775510204082,1.79530612244898,0.715,1.32173469387755,2.4330612244898,0.02694906354,0.65,1,15.4205792799433,10.9964649633006,2.00173389842924,5,2,5,6,7,6,6,4,2,8,6,10,8,9,4,10
"E01006778","Liverpool 014E",28683,17714,25243,36943,26.0974765482079,12.4895026012745,20.9086729880961,47.6176558003362,26.7783269844787,32097,8,7,5,7,9,0.999913793103448,4.33344827586207,1.63974137931034,0.987241379310345,0.880172413793103,0.673965517241379,1.23327586206897,1.29706896551724,0.582068965517241,0.953534482758621,2.23663793103448,0.07261947305,0.785,1,15.7101578712463,10.8538417816162,2.11168158054352,5,3,6,7,7,8,5,3,1,9,6,9,9,9,4,10
"E01006779","Liverpool 022D",27677,7499,17454,35868,24.4553013487387,4.49107541387612,12.2473150295749,43.3939701097895,21.1469154754948,22259,6,7,2,5,9,0.583382352941176,3.44941176470588,0.902205882352941,0.567794117647059,0.799705882352941,0.871176470588235,0.970294117647059,1.18529411764706,0.669558823529412,1.29117647058824,2.50720588235294,0.13687912299,0.545,1,15.2116349957329,11.1318252870865,1.94407221188694,2,2,3,4,7,7,6,3,2,8,6,7,7,9,4,10
"E01006780","Liverpool 002D",38863,6819,26104,32872,57.8834712090175,4.04569104798036,22.1017245441142,34.5712578077347,29.6505361522117,35243,9,10,2,7,8,0.652142857142857,2.74285714285714,0.628928571428571,0.678571428571429,0.713571428571429,0.333571428571429,0.545,1.25821428571429,2.55464285714286,0.349285714285714,0.685,0.42655028965,0.69,1,13.6564447497273,11.0503407213395,1.81108789650743,3,2,4,3,8,10,9,3,7,10,10,4,8,8,4,10
