propid,price,lnprice,advance,age,bathroom,bedroom,buyage,centheat,chelec,chepart,chgas,chgpart,chnone,floorm2,ftbuyer,greastings,grnorthing,laarea,labad,lagood,lea,pdetach,pflat,psemi,pterrace,popdens,prkdouble,prknone,prksingle,prkspace,tenfree,tenlease
507,615000,13,316000,96,2,6,39,1,0,0,1,0,0,201,0,520162,175446,0,0,0,318,0,0,1,0,38,0,1,0,0,1,0
508,134950,12,80000,71,1,3,40,1,0,0,1,0,0,86,0,520200,191167,1,0,1,302,0,0,0,1,41,0,0,0,1,1,0
509,135000,12,121500,91,1,2,33,1,0,0,1,0,0,74,1,520257,179692,0,0,0,307,0,1,0,0,63,0,1,0,0,0,1
510,212000,12,190800,101,1,3,31,1,0,0,1,0,0,93,1,520276,180578,0,0,0,307,0,1,0,0,59,0,0,0,1,0,1
511,186000,12,70000,71,1,3,28,1,0,0,1,0,0,117,1,520278,186787,0,0,0,304,0,0,1,0,14,0,1,0,0,1,0
512,182500,12,164250,101,1,2,31,1,0,0,1,0,0,76,1,520298,180317,0,0,0,307,0,1,0,0,83,0,0,1,0,0,1
513,142000,12,133000,76,1,2,29,1,0,0,1,0,0,73,1,520319,177113,0,0,0,313,0,1,0,0,34,0,0,0,1,0,1
514,155000,12,90000,101,1,1,36,1,0,0,1,0,0,69,1,520342,180546,0,0,0,307,0,1,0,0,59,0,1,0,0,1,0
515,165000,12,105000,101,1,1,36,1,0,0,1,0,0,69,1,520342,180546,0,0,0,307,0,1,0,0,59,0,1,0,0,1,0
516,155000,12,139500,11,1,1,31,1,0,0,1,0,0,56,0,520361,177558,0,0,0,313,0,1,0,0,11,0,1,0,0,0,1
517,115000,12,109250,101,1,1,27,1,0,0,1,0,0,59,1,520370,180255,0,0,0,307,0,1,0,0,83,0,1,0,0,0,1
518,160000,12,144000,71,1,1,24,2,1,0,0,0,0,57,1,520390,178258,0,0,0,313,0,1,0,0,111,0,1,0,0,0,1
519,137950,12,12650,66,1,3,63,1,0,0,1,0,0,83,0,520400,166067,0,0,0,314,0,0,0,1,37,0,0,1,0,1,0
520,443500,13,220000,67,1,4,32,1,0,0,1,0,0,162,0,520401,169538,0,0,0,314,1,0,0,0,14,0,0,1,0,1,0
521,425000,13,190000,71,1,4,41,5,0,0,0,1,0,171,0,520401,169538,0,0,0,314,1,0,0,0,14,0,0,0,1,1,0
522,815000,14,220000,3,3,5,36,1,0,0,1,0,0,226,0,520403,177754,0,0,0,313,0,0,1,0,24,0,0,0,1,1,0
523,115000,12,57000,71,1,2,37,1,0,0,1,0,0,68,1,520481,188837,0,0,0,304,0,1,0,0,50,0,1,0,0,0,1
524,215000,12,193500,91,1,2,30,1,0,0,1,0,0,62,1,520489,179087,0,0,0,307,0,1,0,0,38,0,1,0,0,0,1
525,387500,13,100000,66,1,4,60,1,0,0,1,0,0,148,0,520515,169609,0,0,0,314,1,0,0,0,14,0,0,1,0,1,0
526,249950,12,212470,111,1,2,25,1,0,0,1,0,0,99,1,520535,180453,0,0,0,307,0,0,0,1,61,0,1,0,0,1,0
527,107500,12,27500,51,1,1,32,1,0,0,1,0,0,38,0,520613,179805,0,0,0,307,0,1,0,0,57,0,0,0,1,0,1
